uid	category	severity	reasons	src_noisy	hyp_noisy
B-HOM-047	HOM	52.09	xcomet/kiwi Δ disagree by 52.1	窝五碎！！！	I'm five!
B-HOM-073	HOM	46.16	xcomet/kiwi Δ disagree by 46.2; xcomet_noisy 93.3 but NTA miss	哈哈哈哈哈哈哈夺笋呐	Hahahaha, how could you say that?
B-NEO-059	NEO	45.44	xcomet/kiwi Δ disagree by 45.4; xcomet_noisy 81.5 but NTA miss	破防了	I'm touched.
B-PYA-038	PYA	42.46	xcomet/kiwi Δ disagree by 42.5	一个会调情的男生真的YYDS	A flirty boy is truly the GOAT.
B-MIX-132	MIX	41.64	xcomet/kiwi Δ disagree by 41.6	天磊：what can I say	Tianlei: What can I say
B-HOM-023	HOM	38.88	xcomet/kiwi Δ disagree by 38.9	你想peach呢，哪有这么好的事	You want peach, but there's no such good thing.
B-PYA-059	PYA	38.66	xcomet/kiwi Δ disagree by 38.7	山航yyds	Shandong Airlines is the GOAT.
B-HOM-051	HOM	37.47	xcomet/kiwi Δ disagree by 37.5	看完女排比赛我直接鸭梨山大	After watching the women's volleyball game, I'm under immense pressure.
B-PYA-079	PYA	37.41	xcomet/kiwi Δ disagree by 37.4; xcomet_noisy 85.3 but NTA miss	8u🚪什么意思	What does 8u🚪 mean?
B-MIX-043	MIX	36.71	xcomet/kiwi Δ disagree by 36.7	用来换做成AGI的概率	The probability of exchanging it for AGI
B-PYA-034	PYA	36.68	xcomet/kiwi Δ disagree by 36.7	会聊天的男生真的yyds	
B-PYA-110	PYA	36.68	xcomet/kiwi Δ disagree by 36.7	万恶的zi ben jia	Evil capitalist
B-PYA-036	PYA	36.60	xcomet/kiwi Δ disagree by 36.6	减脂党狂喜！番茄鸡蛋燕麦粥yyds	Fat-loss enthusiasts rejoice! Tomato Egg Oatmeal is the GOAT!
B-NEO-054	NEO	35.96	xcomet/kiwi Δ disagree by 36.0; xcomet_noisy 81.7 but NTA miss	被种草了	I've been influenced to buy it.
B-HOM-070	HOM	34.54	xcomet/kiwi Δ disagree by 34.5; xcomet_noisy 87.6 but NTA miss	这个特效针不戛！	This special effect is really cool!
B-HOM-032	HOM	32.62	xcomet/kiwi Δ disagree by 32.6	你就耗子尾汁吧，别折腾了	You're just asking for trouble, stop making things worse.
B-PYA-055	PYA	32.53	xcomet/kiwi Δ disagree by 32.5	这操作nb啊，大佬带带我	This is amazing, master, please guide me.
B-PYA-070	PYA	32.42	xcomet/kiwi Δ disagree by 32.4	nsdd，你说得对	You're right.
B-MIX-105	MIX	32.17	xcomet/kiwi Δ disagree by 32.2	回答我，鸟为什么会飞？ Look at my eye, tell me why!	Answer me, why do birds fly? Look at my eye, tell me why!
B-NEO-036	NEO	29.89	xcomet/kiwi Δ disagree by 29.9	别搁这凡尔赛了，显摆啥呢	Stop showing off with your humblebragging.
B-NEO-057	NEO	29.63	xcomet/kiwi Δ disagree by 29.6; xcomet_noisy 84.7 but NTA miss	这个太炸了	This is too lit.
B-PYA-056	PYA	29.02	xcomet/kiwi Δ disagree by 29.0	这个cp太好磕了	
B-PYA-073	PYA	28.99	xcomet/kiwi Δ disagree by 29.0	pyq，朋友圈见	See you on WeChat Moments.
B-NEO-056	NEO	28.60	xcomet/kiwi Δ disagree by 28.6; xcomet_noisy 83.7 but NTA miss	他好会整活	He's really good at creating a buzz.
B-PYA-071	PYA	28.56	xcomet/kiwi Δ disagree by 28.6	xswl一人血书求这个短剧拍真人版	XSWL, I'm writing a blood letter begging for a live-action version of this short drama.
B-HOM-044	HOM	28.02	xcomet/kiwi Δ disagree by 28.0; xcomet_noisy 84.0 but NTA miss	这个操作太虾仁了	This operation is too cruel.
B-HOM-127	HOM	27.67	xcomet/kiwi Δ disagree by 27.7	可以四了这游戏	This game can be played by four people.
B-NEO-084	NEO	27.35	xcomet/kiwi Δ disagree by 27.4; xcomet_noisy 91.9 but NTA miss	基操	Basic operation
B-HOM-052	HOM	27.35	xcomet/kiwi Δ disagree by 27.3	笑鼠了！一会抛梗一会接梗	The mouse laughed! Throwing out jokes one moment, picking them up the next.
B-PYA-103	PYA	27.35	xcomet/kiwi Δ disagree by 27.3; xcomet_noisy 86.9 but NTA miss	好装好假好ex	So pretentious, so fake, so extra.
B-NEO-055	NEO	27.00	xcomet/kiwi Δ disagree by 27.0; xcomet_noisy 95.7 but NTA miss	拔草了不买	I've decided against buying it.
B-PYA-005	PYA	26.73	xcomet/kiwi Δ disagree by 26.7; xcomet_noisy 95.0 but NTA miss	看到别人去欧洲旅游的照片，xmsl	Seeing other people's photos of their trips to Europe, I'm so jealous.
