uid	category	xcomet_noisy	xcomet_clean	xcomet_d	kiwi_noisy	kiwi_clean	kiwi_d	nta_noisy	nta_clean	nta_d	src_noisy	hyp_noisy	src_clean	hyp_clean	ref_en
B-HOM-001	HOM	95.31	96.89	1.58	52.98	78.57	25.59	0	0	0	酱紫也行？那我也试试	I'll try it too.	这样子也行？那我也试试	I'll try it too.	this works? then let me try too
B-HOM-002	HOM	95.24	97.48	2.25	59.78	76.28	16.50	0	0	0	你怎么酱紫说话，人家会误会的	How can you say that, people will misunderstand	你怎么这样子说话，人家会误会的	How can you talk like that, people will misunderstand	why do you talk like that, people will misunderstand
B-HOM-003	HOM	73.25	94.57	21.32	55.27	79.49	24.22	0	0	0	各位童鞋注意了，期末考试要来了	The final exams are coming, so beware of the shoes.	各位同学注意了，期末考试要来了	The students are aware that the final exams are coming.	attention classmates, final exams are coming
B-HOM-004	HOM	51.52	96.74	45.22	54.18	78.66	24.47	0	100	100	童鞋们帮我看看这道题怎么做	The shoes show me how to do this.	同学们帮我看看这道题怎么做	My classmates showed me how to do this.	classmates help me figure out this problem
B-HOM-005	HOM	62.53	99.12	36.59	51.21	85.97	34.76	0	100	100	我真的好稀饭这个博主，太搞笑了	I'm really a weird blogger, and it's so funny.	我真的好喜欢这个博主，太搞笑了	I really like this blogger, it's so funny	I really like this creator, too funny
B-HOM-006	HOM	75.07	100.00	24.93	41.77	77.22	35.45	0	100	100	你是不是稀饭我？直说嘛	Are you trying to scare me?	你是不是喜欢我？直说嘛	Do you like me?	do you like me? just say it
B-HOM-007	HOM	66.25	93.51	27.26	66.42	79.55	13.12	0	100	100	今天又是杯具的一天，出门忘带钥匙	Today is another day of cups, leaving the house without the keys	今天又是悲剧的一天，出门忘带钥匙	Today is another tragic day, leaving home without the keys.	another tragic day, forgot my keys going out
B-HOM-008	HOM	76.49	99.97	23.48	75.16	84.90	9.74	0	100	100	人生就是一个杯具接着一个杯具	Life is one cup after another.	人生就是一个悲剧接着一个悲剧	Life is one tragedy after another.	life is one tragedy after another
B-HOM-009	HOM	91.08	86.48	-4.60	68.38	71.16	2.78	0	0	0	游戏过于神金，不确定先从哪里笑起	The game is too good to be true, and I'm not sure where to start laughing.	游戏过于神经，不确定先从哪里笑起	The game is so nervous, I'm not sure where to start laughing	this game is so unhinged, not sure where to start laughing
B-HOM-010	HOM	76.46	62.55	-13.91	41.69	50.07	8.39	0	0	0	都说我做饭神金，今天就做神金给你们吃	I'm going to cook for you today.	都说我做饭神经，今天就做神经给你们吃	They all say I cook nerves, today I will cook nerves for you	y'all say I'm crazy in the kitchen, so today I'm cooking crazy for you
B-HOM-011	HOM	81.95	86.14	4.19	65.55	81.60	16.05	0	0	0	世界上最神金的行为	The world's most glamorous act	世界上最神经的行为	The most nervous behavior in the world	the most unhinged behavior in the world
B-HOM-012	HOM	32.26	20.83	-11.43	31.75	36.38	4.63	0	0	0	被这离谱的主播笑拥了	The BBC's 'Show of the Year' is a great example of this.	被这离谱的主播笑晕了	The BBC's 'Show Me the Way' is a comedy about a man who is a radio host.	I'm dead from this absurd streamer
B-HOM-013	HOM	66.91	71.74	4.83	56.64	66.64	10.00	0	0	0	笑拥了！带货主播推荐的迷惑水果太离谱了吧	Laughing! The fruit of the conjuring that the host recommended is so bizarre	笑晕了！带货主播推荐的迷惑水果太离谱了吧	Laughing! The magic fruit recommended by the host is so bizarre	I’m dying laughing! Those weird fruits promoted by live stream sales hosts are ridiculous.
B-HOM-014	HOM	79.17	80.07	0.90	58.46	61.10	2.65	0	0	0	新来的00后程序员写的代码，看到这段注释真的快把我笑拥了	I'm a new programmer who wrote code after 00, and this comment really made me laugh.	新来的00后程序员写的代码，看到这段注释真的快把我笑晕了	I'm a new programmer who wrote code after 00, and this comment really made me laugh.	the new Gen Z programmer's code, seeing this comment almost killed me laughing
B-HOM-016	NEO	70.40	69.25	-1.15	43.76	62.55	18.78	0	0	0	考试没复习直接寄，明年再来	I'm not going to write a review, I'll come back next year.	考试没复习直接完了，明年再来	The exam is not a review, just a quick one, come back next year	didn't study for the exam, it's over, see you next year
B-HOM-018	HOM	68.49	31.92	-36.57	45.94	33.75	-12.19	0	0	0	火钳流明，这帖子要火	The fire is lit, this post is on fire	火前留名，这帖子要火	This post is for you.	leaving a name before this blows up, this post is about to go viral
B-HOM-019	HOM	70.52	89.58	19.06	69.97	82.02	12.06	0	0	0	雀食好笑，不骗你	The birds are funny, they don't lie to you.	确实好笑，不骗你	It's funny, I'm not lying to you.	it's genuinely funny, no cap
B-HOM-021	HOM	97.73	93.37	-4.36	80.41	76.69	-3.72	0	0	0	沃草，这无人机表演太震撼了	Wow, this drone show is so amazing.	我操，这无人机表演太震撼了	I'm so excited about this drone show.	holy crap, this drone show is insane
B-HOM-023	HOM	74.82	75.26	0.44	74.16	50.79	-23.37	0	0	0	你想peach呢，哪有这么好的事	You want peach, what's so good about it?	你想屁吃呢，哪有这么好的事	You want to eat, what's so good?	you're dreaming, how can something that good happen
B-HOM-024	HOM	91.65	82.24	-9.41	76.68	64.00	-12.68	0	0	0	别虾扯蛋了，老师说的都是真的吗	Don't be silly, is everything the teacher said true?	别瞎扯淡了，老师说的都是真的吗	Don't be blind, is everything the teacher says true?	stop talking BS, is what the teacher said even true
