uid	category	xcomet_noisy	xcomet_clean	xcomet_d	kiwi_noisy	kiwi_clean	kiwi_d	nta_noisy	nta_clean	nta_d	src_noisy	hyp_noisy	src_clean	hyp_clean	ref_en
A-HOM-001	HOM	55.51	72.78	17.27	44.45	69.21	24.76	0	100	100	广0王，我也是	Broadway, I'm also one	广陵王，我也是	Marquise of Guangling, I am also.	Prince of Guangling, same here.
A-HOM-002	HOM	92.48	100.00	7.52	83.37	85.30	1.93	0	100	100	3Q 祝你新年快乐 🎊🐍	3Q Wishing you a happy new year 🎊🐍	谢谢 祝你新年快乐 🎊🐍	Thank you, Happy New Year! 🎊🐍	Thanks! Happy New Year 🎊🐍
A-HOM-003	HOM	89.47	92.16	2.69	80.85	85.02	4.17	0	100	100	我的玛雅太美了	My Maya is too beautiful	我的妈呀太美了	My goodness, she's so beautiful!	Oh my God, mine is so beautiful!
A-HOM-004	HOM	76.88	71.78	-5.11	62.65	62.01	-0.64	100	0	-100	有顺风顺水顺财神的郝性头像吗？	Are there any profile pictures of people with the surname Hao who are smooth, lucky, and blessed with wealth?	有顺风顺水顺财神的郝姓头像吗？	Is there a portrait of a surname Hao person who has favorable winds, smooth waters, and the god of wealth?	Does anyone have a profile picture with the surname Hao that brings smooth sailing and the God of Wealth?
A-HOM-005	HOM	88.78	90.29	1.52	82.97	80.71	-2.25	0	0	0	➗25家政 15洗衣  10洗车	25 home services 15 laundry 10 car wash	出售25家政 15洗衣  10洗车	Sell 25 housekeeping services, 15 laundry services, 10 car washes	Selling: housekeeping 25, laundry 15, car wash 10.
A-HOM-006	HOM	78.35	98.64	20.29	49.80	85.13	35.33	0	100	100	马牙，谢谢劳斯🥺❤️❤️❤️	Thanks for the labor, Ma Ya 🥺❤️❤️❤️	妈呀，谢谢老师🥺❤️❤️❤️	Oh my goodness, thank you, teacher! 🥺❤️❤️❤️	Oh my God, thank you, teacher 🥺❤️❤️❤️
A-HOM-007	HOM	91.13	92.40	1.27	58.81	75.21	16.40	0	100	100	似吧我不拦你	I don't mind if you do.	死吧我不拦你	Die, I won't stop you.	Go die if you want—I won't stop you.
A-HOM-008	HOM	84.14	94.17	10.03	64.23	73.14	8.91	0	100	100	哈雷哈雷，欢迎欢迎热烈欢迎	Hally Hally, welcome welcome warm welcome	你好你好，欢迎欢迎热烈欢迎	Hello hello, welcome welcome, warm welcome	Hello, hello—a very warm welcome!
A-HOM-009	HOM	36.50	92.38	55.87	51.97	73.23	21.26	0	0	0	国际大厦比	The International Building is taller than	国际大傻逼	International Idiot	A world-class dumbass.
A-HOM-010	HOM	76.56	84.31	7.75	63.78	78.41	14.62	0	0	0	啊啊啊啊给青兰ee吃	Ah ah ah ah give Qinglan ee to eat	啊啊啊啊给青兰阿姨吃	Oh oh oh oh, give it to Aunt Qinglan!	Give Auntie Qinglan something to eat!
A-HOM-011	HOM	54.62	76.48	21.86	39.24	70.69	31.45	0	100	100	啊啊啊啊啊豆儿康康我	Ah ah ah ah ah Dou'er Kangkang I	啊啊啊啊啊豆儿看看我	Oh oh oh oh oh, Bean, look at me!	Dou'er, take a look at me!!!
A-HOM-012	HOM	89.76	97.02	7.26	57.42	84.38	26.95	100	100	0	蟹蟹宝宝夸奖	Thank you, baby, for the compliment	谢谢宝宝夸奖	Thank you for your compliment, baby.	Thanks, babe, for the compliment.
A-HOM-013	HOM	84.80	100.00	15.20	63.71	85.85	22.14	0	100	100	啊！谢谢劳斯！	Oh! Thanks, Laosi!	啊！谢谢老师！	Ah! Thank you, teacher!	Ah, thank you, teacher!
A-HOM-014	HOM	63.80	83.54	19.75	47.28	54.69	7.41	100	100	0	大鸡毛（大金毛）	Big chicken feathers (big golden retriever)	大金毛（大金毛）	Large Golden Retriever (Large Golden Retriever)	A big golden retriever (a big golden retriever).
A-HOM-015	HOM	94.60	98.68	4.08	79.98	85.13	5.14	100	0	-100	每个月不用给chatgpt交20刀了	You no longer need to pay 20 dollars every month for chatgpt	每个月不用给chatgpt交20美元了	You no longer need to pay $20 to ChatGPT every month.	Now I don’t have to pay ChatGPT $20 a month.
A-HOM-017	HOM	80.89	98.97	18.08	80.22	78.98	-1.25	0	0	0	这就是史	This is the history	这就是屎	That's crap.	This is literally shit.
