uid	category	xcomet_noisy	xcomet_clean	xcomet_d	kiwi_noisy	kiwi_clean	kiwi_d	nta_noisy	nta_clean	nta_d	src_noisy	hyp_noisy	src_clean	hyp_clean	ref_en
B-HOM-001	HOM	87.97	94.18	6.21	54.90	83.64	28.74	100	0	-100	酱紫也行？那我也试试	Like this? Then I'll try too.	这样子也行？那我也试试	Is this okay too? Then I'll try it as well.	this works? then let me try too
B-HOM-002	HOM	96.80	98.48	1.68	60.79	81.33	20.54	0	0	0	你怎么酱紫说话，人家会误会的	How come you speak like that, it might cause misunderstanding.	你怎么这样子说话，人家会误会的	How can you speak like that? People might get the wrong impression.	why do you talk like that, people will misunderstand
B-HOM-003	HOM	98.49	98.29	-0.20	82.40	82.75	0.35	0	0	0	各位童鞋注意了，期末考试要来了	Students, please take note, the final exam is coming.	各位同学注意了，期末考试要来了	Students, please take note that the final exam is coming.	attention classmates, final exams are coming
B-HOM-004	HOM	96.54	93.75	-2.79	83.01	81.17	-1.84	0	100	100	童鞋们帮我看看这道题怎么做	Kids, help me figure out how to solve this problem.	同学们帮我看看这道题怎么做	Classmates, help me see how to do this problem.	classmates help me figure out this problem
B-HOM-005	HOM	97.92	97.01	-0.91	75.05	82.53	7.47	100	100	0	我真的好稀饭这个博主，太搞笑了	I really like this blogger, he's so funny.	我真的好喜欢这个博主，太搞笑了	I really like this blogger, they're so funny.	I really like this creator, too funny
B-HOM-006	HOM	95.64	100.00	4.36	59.90	86.19	26.29	100	100	0	你是不是稀饭我？直说嘛	Do you like me? Just say it.	你是不是喜欢我？直说嘛	Do you like me? Just say it.	do you like me? just say it
B-HOM-007	HOM	94.29	97.88	3.59	75.18	80.69	5.51	0	100	100	今天又是杯具的一天，出门忘带钥匙	Another day of misfortune, forgot to bring the keys when going out.	今天又是悲剧的一天，出门忘带钥匙	Another tragic day, forgot to bring the keys when going out.	another tragic day, forgot my keys going out
B-HOM-008	HOM	91.77	100.00	8.23	53.73	84.30	30.57	100	100	0	人生就是一个杯具接着一个杯具	Life is just one tragedy after another.	人生就是一个悲剧接着一个悲剧	Life is just one tragedy after another.	life is one tragedy after another
B-HOM-009	HOM	95.74	89.62	-6.12	67.47	80.16	12.69	0	0	0	游戏过于神金，不确定先从哪里笑起	The game is too absurd; I'm not sure where to start laughing first.	游戏过于神经，不确定先从哪里笑起	The game is too nerve-wracking; I'm not sure where to start laughing first.	this game is so unhinged, not sure where to start laughing
B-HOM-010	HOM	78.01	85.01	7.00	71.03	70.48	-0.55	0	100	100	都说我做饭神金，今天就做神金给你们吃	They all say I'm a god of cooking, today I'll cook some divine cuisine for you.	都说我做饭神经，今天就做神经给你们吃	They all say I cook crazy, so today I'll cook something crazy for you to eat.	y'all say I'm crazy in the kitchen, so today I'm cooking crazy for you
B-HOM-011	HOM	85.05	94.40	9.35	61.23	78.79	17.56	0	0	0	世界上最神金的行为	The most god-like behavior in the world.	世界上最神经的行为	The most nerve-wracking behavior in the world.	the most unhinged behavior in the world
B-HOM-012	HOM	71.50	83.24	11.75	48.95	53.26	4.31	0	0	0	被这离谱的主播笑拥了	Laughed at by this absurd streamer.	被这离谱的主播笑晕了	Laughed myself silly at this absurd streamer.	I'm dead from this absurd streamer
B-HOM-013	HOM	86.73	87.84	1.11	63.60	71.89	8.30	0	0	0	笑拥了！带货主播推荐的迷惑水果太离谱了吧	That's ridiculous! The confusing fruits recommended by the live-streaming salesperson are way too absurd.	笑晕了！带货主播推荐的迷惑水果太离谱了吧	Laughed until I cried! The confusing fruits recommended by the live-streaming salesperson are way too absurd!	I’m dying laughing! Those weird fruits promoted by live stream sales hosts are ridiculous.
B-HOM-014	HOM	91.70	90.88	-0.81	75.30	78.36	3.07	0	0	0	新来的00后程序员写的代码，看到这段注释真的快把我笑拥了	The code written by the new Gen Z programmer, seeing this comment really made me laugh out loud.	新来的00后程序员写的代码，看到这段注释真的快把我笑晕了	The code written by the new Gen Z programmer, seeing this comment really made me almost laugh myself to death.	the new Gen Z programmer's code, seeing this comment almost killed me laughing
B-HOM-016	NEO	78.23	74.62	-3.61	54.67	68.75	14.07	0	0	0	考试没复习直接寄，明年再来	Didn't study for the exam, directly failed, come back next year.	考试没复习直接完了，明年再来	The exam wasn't reviewed and it's completely over, I'll have to try again next year.	didn't study for the exam, it's over, see you next year
B-HOM-018	HOM	63.14	74.44	11.30	52.80	67.55	14.75	0	0	0	火钳流明，这帖子要火	Fire tongs illuminate, this post is going to be hot.	火前留名，这帖子要火	Leave a name before the fire, this post is going to be hot.	leaving a name before this blows up, this post is about to go viral
B-HOM-019	HOM	81.76	96.75	14.99	51.33	84.80	33.46	0	0	0	雀食好笑，不骗你	It's really funny, I'm not joking with you.	确实好笑，不骗你	It's really funny, I'm not kidding you.	it's genuinely funny, no cap
B-HOM-021	HOM	97.88	95.74	-2.14	80.60	84.51	3.91	0	0	0	沃草，这无人机表演太震撼了	Wow, this drone performance is amazing!	我操，这无人机表演太震撼了	My God, this drone performance is so amazing.	holy crap, this drone show is insane
B-HOM-023	HOM	74.02	83.69	9.67	71.85	50.14	-21.71	0	0	0	你想peach呢，哪有这么好的事	Do you want peach? There's no such good thing.	你想屁吃呢，哪有这么好的事	What makes you think you can get something for nothing? There's no such good thing.	you're dreaming, how can something that good happen
