uid	category	severity	reasons	src_noisy	hyp_noisy
A-NEO-068	NEO	60.91	xcomet/kiwi Δ disagree by 60.9	借楼蹲！！！	Rent a room and squat!
A-PYA-011	PYA	47.76	xcomet/kiwi Δ disagree by 47.8	💙15w左右女生建议入手的BBA二手车	Around 15 weeks old girls should consider buying used BBA cars.
A-NEO-007	NEO	40.57	xcomet/kiwi Δ disagree by 40.6	巴拉巴拉说的啥	What did Balala say?
A-HOM-009	HOM	35.66	xcomet/kiwi Δ disagree by 35.7	国际大厦比	International Building is better than
A-NEO-018	NEO	34.83	xcomet/kiwi Δ disagree by 34.8	老六，666	Old Six, 666
A-NEO-033	NEO	33.57	xcomet/kiwi Δ disagree by 33.6	人不开心，也要咪哄	One must still soothe (or pacify) someone who isn't happy.
A-MIX-051	MIX	32.99	xcomet/kiwi Δ disagree by 33.0	GRWM*🦹🏻‍♀️🏳️‍⚧️毛绒穿出街👊🏻	Get Ready With Me* warrior makeup going out* fighting back👊🏻
A-NEO-053	NEO	32.75	xcomet/kiwi Δ disagree by 32.8	我我我蹲蹲蹲	I I I squat squat squat
A-NEO-072	NEO	30.44	xcomet/kiwi Δ disagree by 30.4	什么刀子都有[doge]	What knife, what.
A-NEO-050	NEO	28.91	xcomet/kiwi Δ disagree by 28.9	05辽宁的	Liaoning Province
A-NEO-004	NEO	28.57	xcomet/kiwi Δ disagree by 28.6	来了中中中	Came Zhong Zhong Zhong
A-MIX-044	MIX	28.50	xcomet/kiwi Δ disagree by 28.5	想大海和sun kissed life	Longing for the sea and a sun-kissed life.
A-NEO-046	NEO	28.22	xcomet/kiwi Δ disagree by 28.2	接接接 借你吉言	Take my best wishes.
A-NEO-019	NEO	26.12	xcomet/kiwi Δ disagree by 26.1	直接多少，🐟跳转不了	It’s all about the details, fish can’t jump over them.
A-NEO-149	NEO	25.27	xcomet/kiwi Δ disagree by 25.3; xcomet_noisy 92.4 but NTA miss	曼谷外卖别把我好吃晕了…	Don't overwhelm me with deliciousness in Bangkok!
A-NEO-058	NEO	24.56	xcomet/kiwi Δ disagree by 24.6	看预算，直接r1+r52+大三元最优	Based on the budget, directly r1+r52+best large three-yuan.
A-NEO-133	NEO	24.52	xcomet/kiwi Δ disagree by 24.5; xcomet_noisy 85.1 but NTA miss	今日份晒澳白珍珠戒指	Today’s white pearl ring (presumably Australian).
A-NEO-233	NEO	24.42	xcomet/kiwi Δ disagree by 24.4	吃瓜吃到自己身上……	Sitting on the melon and getting hit by it.
A-NEO-041	NEO	24.29	xcomet/kiwi Δ disagree by 24.3; xcomet_noisy 90.2 but NTA miss	老师我也想要你	I also want you, teacher.
A-NEO-009	NEO	24.14	xcomet/kiwi Δ disagree by 24.1	交?已关[doge]	Closed. [doge]
A-NEO-148	NEO	22.91	xcomet/kiwi Δ disagree by 22.9	老夫子周边🥹	Old Fox Qi’s merchandise🥹
A-NEO-113	NEO	22.82	xcomet/kiwi Δ disagree by 22.8; xcomet_noisy 93.9 but NTA miss	需要我#互关吗，兄弟	Do you need me to follow you back, bro?
A-NEO-021	NEO	22.67	xcomet/kiwi Δ disagree by 22.7	重庆，九龙坡蹲	Chongqing, Jinyong (Jin-yong) area squatting/loitering.
A-NEO-047	NEO	22.59	xcomet/kiwi Δ disagree by 22.6	瑶瑶公主，蹲蹲蹲蹲	Princess Yaoyao, squat, squat, squat, squat.
A-HOM-019	HOM	22.52	xcomet/kiwi Δ disagree by 22.5	固体香薰挂！！有7.8个香味都好特别 不是那种浓郁型的，挂在衣柜里淡淡的香灰常舒心！每次来小韩都要囤一堆！！！！	Solid fragrance pendants! There are 7.8 different scents that are really unique – not a strong, heavy type. Hanging in the closet, they give off a light, subtle fragrance that’s very relaxing! Xiao Han always stocks up every time she comes!
A-NEO-089	NEO	22.20	xcomet/kiwi Δ disagree by 22.2	不可能！在这里，女孩出生后就是家庭的中心，她们是家里的女王。喝点鸡汤吧！	It's impossible! Here, girls are the center of the family from birth, they are the queens of the house. Have some chicken soup!
A-NEO-082	NEO	22.19	xcomet/kiwi Δ disagree by 22.2	天天收藏，从未开始	Collect every day, never starting.
A-NEO-055	NEO	21.89	xcomet/kiwi Δ disagree by 21.9	！蹲蹲！	Kneel, kneel!
A-PYA-008	PYA	21.58	xcomet/kiwi Δ disagree by 21.6	说 WOC 和 NB 欢迎来中国旅游和交朋友	Let everyone, especially women of color (WOC) and non-binary people (NB), welcome to travel and make friends in China.
