table	metric	stratum	n	diff	ci_lo	ci_hi	p_boot
A	XCOMET	all	267	5.15	3.63	6.77	0.0000
A	XCOMET	miss	59	5.10	2.16	8.05	0.0010
A	XCOMET	fp_only	57	5.17	2.34	8.22	0.0000
A	XCOMET	partial	92	6.03	2.86	9.34	0.0000
A	XCOMET	exact	59	3.83	0.91	6.99	0.0060
A	XCOMET	cand	21	9.30	3.66	15.09	0.0000
A	XCOMET	nocand	187	4.71	2.75	6.65	0.0000
A	XCOMET	HOM	17	1.51	-2.81	5.60	0.4950
A	XCOMET	PYA	15	3.78	-0.27	8.03	0.0740
A	XCOMET	NEO	191	5.28	3.37	7.28	0.0000
A	XCOMET	MIX	44	6.47	2.53	10.96	0.0000
A	NTA	all	267	11.24	5.24	17.23	0.0000
A	NTA	miss	59	15.25	1.69	28.81	0.0370
A	NTA	fp_only	57	8.77	-3.51	21.05	0.1960
A	NTA	partial	92	9.78	1.09	18.48	0.0300
A	NTA	exact	59	11.86	-1.69	23.73	0.0880
A	NTA	cand	21	0.00	-19.05	23.81	1.0000
A	NTA	nocand	187	11.23	4.81	17.65	0.0000
A	NTA	HOM	17	35.29	5.88	64.71	0.0190
A	NTA	PYA	15	20.00	0.00	40.00	0.0790
A	NTA	NEO	191	8.90	2.09	15.71	0.0120
A	NTA	MIX	44	9.09	-6.82	25.00	0.3210
B	XCOMET	all	492	0.41	-0.51	1.36	0.4090
B	XCOMET	miss	30	3.42	-0.51	6.85	0.0930
B	XCOMET	fp_only	13	3.82	-0.42	8.41	0.0800
B	XCOMET	partial	155	1.51	-0.30	3.30	0.0940
B	XCOMET	exact	294	-0.63	-1.75	0.58	0.2980
B	XCOMET	cand	61	4.82	1.14	9.14	0.0130
B	XCOMET	nocand	401	-0.49	-1.37	0.48	0.3230
B	XCOMET	HOM	123	3.50	1.24	6.09	0.0030
B	XCOMET	PYA	108	-2.12	-4.41	-0.03	0.0460
B	XCOMET	NEO	117	1.15	-0.62	3.02	0.1810
B	XCOMET	MIX	144	-0.94	-1.88	-0.09	0.0270
B	NTA	all	492	5.69	1.42	9.55	0.0090
B	NTA	miss	30	13.33	-10.00	36.67	0.2920
B	NTA	fp_only	13	23.08	-15.38	61.54	0.3170
B	NTA	partial	155	7.74	0.65	14.84	0.0440
B	NTA	exact	294	3.06	-1.70	7.48	0.2110
B	NTA	cand	61	16.39	3.28	29.51	0.0210
B	NTA	nocand	401	3.49	-0.75	7.73	0.1110
B	NTA	HOM	123	18.70	9.76	27.64	0.0000
B	NTA	PYA	108	4.63	-1.85	12.04	0.2300
B	NTA	NEO	117	9.40	0.85	17.95	0.0350
B	NTA	MIX	144	-7.64	-13.89	-1.39	0.0210
