tier	scope	n	xcomet	delta_vs_clean	recovery	kiwi	nta
a0	HOM	17	77.21	13.38	0.00	70.63	11.76
a1	HOM	17	79.13	11.46	1.92	71.51	23.53
a2	HOM	17	79.60	10.99	2.39	71.71	23.53
a3	HOM	17	85.39	5.20	8.18	72.33	35.29
a4	HOM	17	90.59	0.00	13.38	75.85	70.59
a0	PYA	15	77.08	6.92	0.00	66.70	33.33
a1	PYA	15	78.06	5.94	0.99	69.97	46.67
a2	PYA	15	75.17	8.83	-1.90	66.33	33.33
a3	PYA	15	77.69	6.31	0.61	69.80	46.67
a4	PYA	15	84.00	0.00	6.92	71.48	60.00
a0	NEO	191	78.89	6.81	0.00	66.42	19.90
a1	NEO	191	78.98	6.73	0.09	69.11	20.94
a2	NEO	191	78.52	7.19	-0.38	69.41	18.32
a3	NEO	191	80.87	4.84	1.97	72.36	17.80
a4	NEO	191	85.71	0.00	6.81	74.77	31.41
a0	MIX	44	83.21	4.07	0.00	68.25	68.18
a1	MIX	44	82.53	4.74	-0.67	71.36	47.73
a2	MIX	44	80.64	6.64	-2.57	69.65	40.91
a3	MIX	44	83.17	4.11	-0.04	71.66	40.91
a4	MIX	44	87.28	0.00	4.07	74.61	50.00
