uid	category	xcomet_noisy	xcomet_clean	xcomet_d	kiwi_noisy	kiwi_clean	kiwi_d	nta_noisy	nta_clean	nta_d	src_noisy	hyp_noisy	src_clean	hyp_clean	ref_en
A-HOM-001	HOM	34.24	30.68	-3.56	38.53	38.99	0.46	0	0	0	广0王，我也是	"""Guang0 Wang, I am also.""

Note: The term ""广0王"" (Guang0 Wang) seems to be a combination of characters with a possible typo or special context, so I've left it as is. If it's a proper name or has a specific meaning, please provide additional context for a more accurate translation."	广陵王，我也是	"""Guangling King, I am also.""

Note: This translation assumes a context where ""广陵王"" (Guangling Wang) refers to a specific title or person, and ""我也是"" (Wǒ yě shì) means ""I am also"" or ""I too."""	Prince of Guangling, same here.
A-HOM-002	HOM	86.52	99.53	13.01	73.63	84.77	11.15	0	100	100	3Q 祝你新年快乐 🎊🐍	"""Wishing you a happy New Year in the 3rd quarter (3Q) 🎊🐍"""	谢谢 祝你新年快乐 🎊🐍	Thank you, wish you a happy New Year 🎊🐍	Thanks! Happy New Year 🎊🐍
A-HOM-003	HOM	89.98	87.14	-2.84	81.09	87.22	6.13	0	0	0	我的玛雅太美了	My Maya is too beautiful.	我的妈呀太美了	My mother is so beautiful.	Oh my God, mine is so beautiful!
A-HOM-004	HOM	67.13	71.72	4.60	64.54	64.08	-0.46	0	0	0	有顺风顺水顺财神的郝性头像吗？	Do you have an image of Hao Xing with favorable wind, smooth sailing, and good fortune?	有顺风顺水顺财神的郝姓头像吗？	Is there a Hao (Hao surname) profile picture with favorable wind, smooth sailing, and good fortune?	Does anyone have a profile picture with the surname Hao that brings smooth sailing and the God of Wealth?
A-HOM-005	HOM	89.96	91.93	1.97	83.09	81.42	-1.66	0	0	0	➗25家政 15洗衣  10洗车	**25 Household Services, 15 Laundry, 10 Car Washing**	出售25家政 15洗衣  10洗车	Selling 25 household services, 15 laundry services, and 10 car washing services.	Selling: housekeeping 25, laundry 15, car wash 10.
A-HOM-006	HOM	71.19	97.61	26.42	60.71	85.01	24.30	0	100	100	马牙，谢谢劳斯🥺❤️❤️❤️	Myo, thank you so much 🥺❤️❤️❤️	妈呀，谢谢老师🥺❤️❤️❤️	Oh my god, thank you teacher 🥺❤️❤️❤️	Oh my God, thank you, teacher 🥺❤️❤️❤️
A-HOM-007	HOM	96.58	92.40	-4.17	73.69	75.21	1.51	0	100	100	似吧我不拦你	"""Go ahead, I won't stop you."""	死吧我不拦你	Die, I won't stop you.	Go die if you want—I won't stop you.
A-HOM-008	HOM	85.22	86.25	1.03	75.54	76.76	1.22	0	100	100	哈雷哈雷，欢迎欢迎热烈欢迎	Hurray, welcome, hearty welcome!	你好你好，欢迎欢迎热烈欢迎	Hello, hello, welcome, welcome, hearty welcome.	Hello, hello—a very warm welcome!
A-HOM-009	HOM	40.28	90.50	50.22	58.78	71.18	12.40	0	0	0	国际大厦比	The International Tower is taller.	国际大傻逼	International Big Fool	A world-class dumbass.
A-HOM-010	HOM	88.15	88.29	0.14	62.16	75.90	13.73	0	0	0	啊啊啊啊给青兰ee吃	Ah ah ah, give Qinglan the food.	啊啊啊啊给青兰阿姨吃	Ah ah ah, give Aunt Qinglan to eat.	Give Auntie Qinglan something to eat!
A-HOM-011	HOM	35.56	77.98	42.42	30.67	66.65	35.98	0	100	100	啊啊啊啊啊豆儿康康我	Ah ah ah ah ah, shake the beans, shake them well.	啊啊啊啊啊豆儿看看我	Ah ah ah ah, look at me, little bean!	Dou'er, take a look at me!!!
A-HOM-012	HOM	26.19	97.36	71.16	37.18	84.53	47.34	0	100	100	蟹蟹宝宝夸奖	"""蟹蟹宝宝夸奖"" translates to ""Dearest baby, you are praised.""

Here's a breakdown:
- 蟹蟹 (jī jī) = Dearest
- 宝宝 (bǎo bāo) = Baby
- 夸奖 (kuā zǎng) = Praise"	谢谢宝宝夸奖	Thank you for the compliment, baby.	Thanks, babe, for the compliment.
A-HOM-013	HOM	86.15	100.00	13.85	83.61	85.85	2.24	0	100	100	啊！谢谢劳斯！	Ah! Thank you, Laus!	啊！谢谢老师！	Ah! Thank you, teacher!	Ah, thank you, teacher!
A-HOM-014	HOM	33.46	72.83	39.38	31.98	57.07	25.09	0	100	100	大鸡毛（大金毛）	"""Big chicken feather (big golden feather)"" 

Note: In a literal translation, ""大鸡毛"" (dà jī máo) can be broken down as ""big chicken feather,"" but ""大金毛"" (dà jīn máo) translates to ""big golden feather."" The context would determine which is appropriate."	大金毛（大金毛）	Golden Retriever (Golden Retriever)	A big golden retriever (a big golden retriever).
A-HOM-015	HOM	97.47	99.85	2.38	82.76	85.00	2.24	0	0	0	每个月不用给chatgpt交20刀了	You no longer need to pay $20 per month for ChatGPT.	每个月不用给chatgpt交20美元了	You no longer need to pay $20 per month for ChatGPT.	Now I don’t have to pay ChatGPT $20 a month.
A-HOM-017	HOM	86.52	99.70	13.18	83.83	77.47	-6.36	0	100	100	这就是史	This is history.	这就是屎	This is shit.	This is literally shit.
A-NEO-253	NEO	86.27	85.88	-0.39	72.39	69.94	-2.45	0	0	0	知道为什么他父母接受他是0还配合拍视频吗 原因竟是...	Do you know why his parents accepted and cooperated in filming him as 0? The reason turned out to be...	知道为什么他父母接受他是受还配合拍视频吗 原因竟是...	Do you know why his parents accepted him filming and cooperating? The reason turns out to be...	Do you know why his parents accept that he’s a bottom and even cooperate in making videos? The reason turns out to be...
A-HOM-019	HOM	66.04	64.15	-1.88	73.14	75.27	2.13	0	100	100	固体香薰挂！！有7.8个香味都好特别 不是那种浓郁型的，挂在衣柜里淡淡的香灰常舒心！每次来小韩都要囤一堆！！！！	Solid fragrance hanger!! There are 7.8 unique scents, not the heavy type. Hanging it in the closet gives a subtle, soothing fragrance. I always stock up whenever I visit Xiaohan!!	固体香薰挂！！有7.8个香味都好特别 不是那种浓郁型的，挂在衣柜里淡淡的香非常舒心！每次来小韩都要囤一堆！！！！	Solid fragrance hanger!! There are 7.8 unique scents, not the heavy type, and it emits a subtle scent that is very soothing when hung in a closet. I always stock up on them whenever I visit Xiaohan!!	Solid fragrance hangers!! There are seven or eight scents, and every one is so unique. They’re not overpowering; hanging one in the wardrobe leaves a soft scent that feels incredibly soothing! I stock up on a bunch every time I visit Xiao Han!!!!
A-PYA-001	PYA	41.44	78.14	36.70	38.19	71.05	32.87	0	100	100	小窗口dd你吧	"The translation of ""小窗口dd你吧"" into English is: ""Small window, show you.""

However, the sentence structure and meaning don't seem to make complete sense in English. It might be a fragment or a phrase from a larger context."	小窗口联系你吧	Let a small window contact you.	I'll DM you.
A-PYA-002	PYA	22.59	87.35	64.75	46.31	82.21	35.90	0	0	0	350 q安	"350 qan (This appears to be a term specific to a context, possibly related to units of measurement or currency, as ""qan"" isn't a standard term in English. Without additional context, a literal translation might not convey the intended meaning accurately.)"	350 QQ安卓区	350 QQ Android Zone	Offering ¥350 on the QQ Android server.
A-PYA-003	PYA	76.44	100.00	23.56	73.84	87.50	13.66	0	100	100	我喜欢你 CPDD	I like your CPDD.	我喜欢你 想和你谈恋爱	I like you and want to date you.	I like you—want to date?
A-PYA-004	PYA	46.22	95.92	49.70	44.57	74.10	29.53	0	0	0	好可爱cpdd...	"""好可爱cpdd..."" translates to ""Such a cute puppy..."" in English."	好可爱想找对象...	"""So cute, looking for a partner..."""	So cute—looking for someone to date...
A-PYA-005	PYA	80.78	93.00	12.21	59.22	77.32	18.10	0	100	100	Chuan搭🔴⚪️红白配	Chuan with red and white combination 🔴⚪️	穿搭🔴⚪️红白配	Outfit: Red and White Combination 🔴⚪️	Outfit 🔴⚪️ red and white.
A-PYA-006	PYA	81.59	84.33	2.74	79.21	70.00	-9.21	100	100	0	xhs是得加个翻译功能了	XHS has gained a translation feature.	小红书是得加个翻译功能了	Xiaohongshu (Little Red Book) needs an added translation feature.	Xiaohongshu really needs to add a translation feature.
A-PYA-007	PYA	78.26	65.35	-12.91	65.78	60.17	-5.61	100	0	-100	愿逆风如解意，蛇年多挣RMB	May the headwinds ease, and may the snake year bring more RMB.	愿逆风如解意，蛇年多挣人民币	May the headwinds ease, and may the snake year bring more Renminbi.	May even the headwinds understand your wishes, and may you make lots of RMB in the Year of the Snake.
A-PYA-008	PYA	75.03	43.33	-31.69	81.19	42.59	-38.60	100	0	-100	说 WOC 和 NB 欢迎来中国旅游和交朋友	"""WOC and NB welcome you to tour China and make friends."""	说 我操 和 NB 欢迎来中国旅游和交朋友	"""Say '我操' and NB, welcome to China for tourism and making friends.""

**Note:** ""我操"" (wǒ ào) is a vulgar phrase in Chinese, roughly equivalent to ""fuck"" in English, and should be used with extreme caution. The rest of the sentence encourages a friendly and open attitude towards tourism and social interaction."	Just say “holy crap” and “awesome.” Welcome to China—come travel and make friends!
A-PYA-009	PYA	29.57	28.61	-0.96	59.96	57.27	-2.69	100	0	-100	还是得看对口白话 对口白话兄弟yyds	It still depends on the local dialect; the local dialect brothers (yyds) know best.	还是得看对口白话 对口白话兄弟永远的神	It still depends on the dialect; dialect brothers are always divine.	You’ve got to watch Duikou Baihua. The Duikou Baihua guys are the GOAT.
A-PYA-010	PYA	87.07	87.75	0.68	76.53	78.07	1.54	100	100	0	一打开小红书发现变成国际版le	As soon as I opened Xiaohongshu (Little Red Book), I found it had become the international version.	一打开小红书发现变成国际版了	As soon as I opened Xiaohongshu (Little Red Book), I found it had become the international version.	I opened Xiaohongshu and found it had turned into an international app.
A-PYA-011	PYA	60.20	83.55	23.35	65.29	60.27	-5.01	100	100	0	💙15w左右女生建议入手的BBA二手车	"""Recommended for girls around 15 weeks pregnant to consider purchasing: a used BBA car."""	💙15万左右女生建议入手的BBA二手车	💙 Around 150,000 yuan (BBA) used car recommendations for girls.	💙 Recommended used BBA cars for women with a budget of around ¥150,000.
A-PYA-012	PYA	77.78	88.77	10.99	64.40	69.56	5.16	0	100	100	上次还有人说瘦的是P的 搞不懂根本搞不懂	Last time someone said that being thin is a sign of P, I just don't get it at all.	上次还有人说瘦的是修图的 搞不懂根本搞不懂	Last time someone said that the slim one was photoshopped - I just don't get it.	Last time someone even said the slim look was photoshopped. I don’t get it—seriously, I just don’t.
A-NEO-001	NEO	25.48	48.03	22.54	29.29	39.61	10.32	0	0	0	中中中哦[doge]	"""中中中哦[doge]"" translates to ""Middle middle middle oh [doge]"" in English. 

Note: The ""[doge]"" part seems to be a reference to the ""doge"" meme, but it doesn't have a direct translation. It's often used humorously in online contexts."	好好好哦[doge]	"""Good good good [doge]"" in English.

Note: ""[doge]"" is a reference to the popular internet meme, not a literal translation. The complete sentence conveys enthusiasm or agreement."	Okay, okay, okay [doge].
A-NEO-002	NEO	50.97	75.63	24.66	57.04	67.94	10.89	0	0	0	噗哈哈哈还是你6666	"""Paha ha ha ha or is it 6666?"""	噗哈哈哈还是你最厉害	"""Paha ha ha ha, or is it you who are the most powerful?"""	Pfft, hahaha—you're still the best!
A-NEO-003	NEO	92.50	91.99	-0.50	64.93	70.76	5.83	0	100	100	想到他们的“快乐水”	"Thinking about their ""happy water"""	想到他们的“可乐”	"Thinking about their ""Coke"""	Thinking about their so-called “happy water”—Coke.
A-NEO-004	NEO	17.04	50.28	33.24	35.92	46.88	10.97	0	0	0	来了中中中	"The sentence ""来了中中中"" translates to ""It came, middle, middle, middle"" in English. However, this translation is quite literal and may not make sense out of context. If the sentence is meant to convey a specific meaning, additional context would be needed for a more accurate translation."	来了好好好	"""来了好好好"" translates to ""It's great that you came."" in English."	I'm here—okay, okay, okay!
A-NEO-005	NEO	61.53	67.28	5.75	59.38	62.74	3.36	0	0	0	割肉？22年1.1买的，1.7算割肉吗	"""Chop meat? Bought 22 years ago for 1.1, is 1.7 considered chopping?"""	亏本卖出？22年1.1买的，1.7算亏本卖出吗	Loss-making sale? Bought at 1.1 in 2002, is selling at 1.7 loss-making?	Selling at a loss? I bought it for 1.1 in 2022; does selling at 1.7 really count as taking a loss?
A-NEO-006	NEO	43.52	74.25	30.73	46.47	65.68	19.21	0	0	0	不在鱼上了吗	Didn't the fish get away?	不在闲鱼上了吗	"""Aren't you on Shiyou (a popular Chinese online marketplace) anymore?"""	Aren't you selling it on Xianyu anymore?
A-NEO-007	NEO	56.98	92.91	35.93	77.67	80.21	2.54	0	0	0	巴拉巴拉说的啥	"""What does Barabar say?"""	说了这么多，到底在说什么	Saying all this, what is the main point?	After all that rambling, what are you even talking about?
A-NEO-008	NEO	44.19	99.86	55.68	37.93	80.96	43.04	0	0	0	这是老广啊	"This is an old broad (informal, colloquial translation). 

Note: ""老广"" (lǎo guǎng) is a Chinese phrase that literally translates to ""old broad"" but is often used in a more playful or affectionate way to refer to an older person, usually a man. The translation provided captures the informal tone of the original phrase."	这是广东本地人啊	This is a local person from Guangdong.	That's a true Guangdong local.
