pair	scope	metric	n	mean_hi	mean_lo	diff	ci_lo	ci_hi	p_boot
a2-a0	HOM	kiwi	17	71.71	70.63	1.07	-3.89	6.72	0.6910
a2-a1	HOM	kiwi	17	71.71	71.51	0.20	-4.24	4.73	0.9210
a3-a2	HOM	kiwi	17	72.33	71.71	0.63	-4.57	6.00	0.8430
a4-a3	HOM	kiwi	17	75.85	72.33	3.51	-0.45	7.88	0.0910
a2-a0	PYA	kiwi	15	66.33	66.70	-0.37	-6.49	6.09	0.9480
a2-a1	PYA	kiwi	15	66.33	69.97	-3.64	-7.09	-0.42	0.0240
a3-a2	PYA	kiwi	15	69.80	66.33	3.47	-0.42	7.35	0.0790
a4-a3	PYA	kiwi	15	71.48	69.80	1.68	-2.75	7.08	0.5180
a2-a0	NEO	kiwi	191	69.41	66.42	2.99	1.73	4.28	0.0000
a2-a1	NEO	kiwi	191	69.41	69.11	0.30	-1.09	1.73	0.6830
a3-a2	NEO	kiwi	191	72.36	69.41	2.95	1.55	4.34	0.0000
a4-a3	NEO	kiwi	191	74.77	72.36	2.41	1.26	3.68	0.0000
a2-a0	MIX	kiwi	44	69.65	68.25	1.40	-0.55	3.31	0.1530
a2-a1	MIX	kiwi	44	69.65	71.36	-1.71	-4.74	1.16	0.2510
a3-a2	MIX	kiwi	44	71.66	69.65	2.01	-0.93	5.01	0.1660
a4-a3	MIX	kiwi	44	74.61	71.66	2.96	1.51	4.69	0.0000
