uid	category	xcomet_noisy	xcomet_clean	xcomet_d	kiwi_noisy	kiwi_clean	kiwi_d	nta_noisy	nta_clean	nta_d	src_noisy	hyp_noisy	src_clean	hyp_clean	ref_en
B-HOM-001	HOM	88.81	94.68	5.87	61.32	83.75	22.43	0	0	0	酱紫也行？那我也试试	Is that okay too? Then I'll give it a try.	这样子也行？那我也试试	Is this okay too? Then I'll give it a try.	this works? then let me try too
B-HOM-002	HOM	98.15	99.12	0.97	60.43	79.78	19.36	0	0	0	你怎么酱紫说话，人家会误会的	Why are you talking like that? People might get the wrong idea.	你怎么这样子说话，人家会误会的	Why are you talking like that? People might get the wrong idea.	why do you talk like that, people will misunderstand
B-HOM-003	HOM	97.87	99.87	2.00	79.14	84.16	5.02	0	0	0	各位童鞋注意了，期末考试要来了	Attention, everyone—final exams are coming.	各位同学注意了，期末考试要来了	Attention, students, the final exams are coming.	attention classmates, final exams are coming
B-HOM-004	HOM	99.51	97.95	-1.56	83.72	82.87	-0.85	100	100	0	童鞋们帮我看看这道题怎么做	Classmates, help me figure out how to solve this problem.	同学们帮我看看这道题怎么做	Classmates, help me take a look at how to solve this problem.	classmates help me figure out this problem
B-HOM-005	HOM	90.16	95.04	4.88	72.13	80.92	8.79	100	100	0	我真的好稀饭这个博主，太搞笑了	I really like this blogger, they're so hilarious.	我真的好喜欢这个博主，太搞笑了	I really love this blogger, they're absolutely hilarious.	I really like this creator, too funny
B-HOM-006	HOM	88.42	100.00	11.58	67.18	86.19	19.02	0	100	100	你是不是稀饭我？直说嘛	Are you into me? Just say it.	你是不是喜欢我？直说嘛	Do you like me? Just say it.	do you like me? just say it
B-HOM-007	HOM	95.23	98.05	2.82	73.00	83.69	10.69	100	100	0	今天又是杯具的一天，出门忘带钥匙	Today is another tragic day—I forgot my keys when I went out.	今天又是悲剧的一天，出门忘带钥匙	Today is another tragic day—I forgot my keys when I went out.	another tragic day, forgot my keys going out
B-HOM-008	HOM	90.38	99.97	9.59	53.31	84.90	31.60	100	100	0	人生就是一个杯具接着一个杯具	Life is one tragedy after another.	人生就是一个悲剧接着一个悲剧	Life is one tragedy after another.	life is one tragedy after another
B-HOM-009	HOM	94.38	94.28	-0.10	66.67	76.11	9.45	0	100	100	游戏过于神金，不确定先从哪里笑起	The game is so absurdly hilarious, I'm not sure where to start laughing.	游戏过于神经，不确定先从哪里笑起	The game is so unhinged, I'm not sure where to start laughing.	this game is so unhinged, not sure where to start laughing
B-HOM-010	HOM	80.86	89.15	8.29	55.93	70.41	14.49	100	100	0	都说我做饭神金，今天就做神金给你们吃	They say I'm crazy for cooking, so today I'll cook crazy for you to eat.	都说我做饭神经，今天就做神经给你们吃	Everyone says my cooking is crazy, so today I'll cook crazy for you to eat.	y'all say I'm crazy in the kitchen, so today I'm cooking crazy for you
B-HOM-011	HOM	95.32	95.56	0.24	54.76	82.51	27.75	0	0	0	世界上最神金的行为	The most baffling behavior in the world	世界上最神经的行为	The most neurotic behavior in the world.	the most unhinged behavior in the world
B-HOM-012	HOM	73.07	77.11	4.04	48.81	55.97	7.15	0	0	0	被这离谱的主播笑拥了	I'm cracking up at this ridiculous streamer.	被这离谱的主播笑晕了	I was laughing my head off at this ridiculous streamer.	I'm dead from this absurd streamer
B-HOM-013	HOM	91.43	94.81	3.38	72.21	75.30	3.10	0	0	0	笑拥了！带货主播推荐的迷惑水果太离谱了吧	I'm cracking up! The bizarre fruits recommended by these livestream sellers are just too ridiculous.	笑晕了！带货主播推荐的迷惑水果太离谱了吧	I'm dying of laughter! The bizarre fruits recommended by the livestream host are just too ridiculous.	I’m dying laughing! Those weird fruits promoted by live stream sales hosts are ridiculous.
B-HOM-014	HOM	86.00	85.29	-0.71	70.98	73.77	2.79	0	0	0	新来的00后程序员写的代码，看到这段注释真的快把我笑拥了	The code written by the new post-2000s programmer—seeing this comment really cracked me up.	新来的00后程序员写的代码，看到这段注释真的快把我笑晕了	The code written by the new post-00s programmer—seeing this comment almost made me laugh to death.	the new Gen Z programmer's code, seeing this comment almost killed me laughing
B-HOM-016	NEO	88.44	77.43	-11.01	51.12	62.40	11.28	0	0	0	考试没复习直接寄，明年再来	I didn't study for the exam and totally bombed it—I'll try again next year.	考试没复习直接完了，明年再来	I didn't study for the exam and I'm completely done for—I'll try again next year.	didn't study for the exam, it's over, see you next year
B-HOM-018	HOM	58.16	76.38	18.22	52.21	43.00	-9.20	0	0	0	火钳流明，这帖子要火	Fire tongs lumens, this post is about to blow up.	火前留名，这帖子要火	Marking my spot before this post blows up.	leaving a name before this blows up, this post is about to go viral
B-HOM-019	HOM	94.32	89.95	-4.36	52.73	83.06	30.34	0	0	0	雀食好笑，不骗你	It's really funny, no kidding.	确实好笑，不骗你	It's really funny, no joke.	it's genuinely funny, no cap
B-HOM-021	HOM	98.44	97.99	-0.45	83.71	83.78	0.07	0	0	0	沃草，这无人机表演太震撼了	Whoa, that drone show was absolutely stunning!	我操，这无人机表演太震撼了	Holy shit, this drone show is absolutely mind-blowing!	holy crap, this drone show is insane
