uid	category	severity	reasons	src_noisy	hyp_noisy
A-NEO-007	NEO	47.44	xcomet/kiwi Δ disagree by 47.4	巴拉巴拉说的啥	What did Balabala say?
A-NEO-009	NEO	45.71	xcomet/kiwi Δ disagree by 45.7	交?已关[doge]	The submission period has ended. [doge]
A-NEO-082	NEO	33.00	xcomet/kiwi Δ disagree by 33.0; xcomet_noisy 84.0 but NTA miss	天天收藏，从未开始	Collect every day, never started
A-NEO-031	NEO	30.93	xcomet/kiwi Δ disagree by 30.9; xcomet_noisy 95.6 but NTA miss	！！！！同担啊！！！！！	We're on the same wavelength!!!
A-NEO-043	NEO	30.84	xcomet/kiwi Δ disagree by 30.8	敦门永恒！	Dunmen Forever!
A-NEO-072	NEO	30.53	xcomet/kiwi Δ disagree by 30.5	什么刀子都有[doge]	They have all kinds of knives. [doge]
A-NEO-236	NEO	29.25	xcomet/kiwi Δ disagree by 29.2	全是大漏勺	All large strainers
A-MIX-003	MIX	27.66	xcomet/kiwi Δ disagree by 27.7	erguotou二锅头[doge]	Erguotou Erguotou [doge]
A-NEO-051	NEO	26.72	xcomet/kiwi Δ disagree by 26.7	番禺 我司招聘前台。真实有效。🉑️滴滴	Panyu: Our company is hiring a receptionist. This is a genuine and valid application. Didi (ride-hailing service) is available.
A-MIX-040	MIX	26.68	xcomet/kiwi Δ disagree by 26.7	小wieiad vlog 🖤	Little Wieiad vlog 🖤
A-MIX-029	MIX	25.52	xcomet/kiwi Δ disagree by 25.5	#ENFJ型人格	#ENFJ personality type
A-NEO-130	NEO	25.12	xcomet/kiwi Δ disagree by 25.1	血脉觉醒！高颜值高能量水晶手串分享*8📿	Awaken your bloodline! Sharing high-value, high-energy crystal bracelets *8📿
A-NEO-018	NEO	24.12	xcomet/kiwi Δ disagree by 24.1	老六，666	Sixth brother, 666
A-NEO-004	NEO	22.11	xcomet/kiwi Δ disagree by 22.1	来了中中中	Arrived in China
A-NEO-090	NEO	21.97	xcomet/kiwi Δ disagree by 22.0; xcomet_noisy 95.2 but NTA miss	永远抄底	Always buy at the bottom
A-NEO-023	NEO	21.62	xcomet/kiwi Δ disagree by 21.6; xcomet_noisy 94.5 but NTA miss	耳朵动起来好可爱啊QQ弹弹	The ears are so cute when they move! They're so bouncy and cute!
A-HOM-009	HOM	21.55	xcomet/kiwi Δ disagree by 21.6	国际大厦比	International Building
A-MIX-002	MIX	21.48	xcomet/kiwi Δ disagree by 21.5; xcomet_noisy 80.0 but NTA miss	图fine秒mine[doge]	Picture fine second mine[doge]
A-NEO-204	NEO	21.18	xcomet/kiwi Δ disagree by 21.2	对喜欢的人消息轰炸，其他已读不回	Message bombard the person you like, and ignore the messages on others.
A-NEO-014	NEO	21.06	xcomet/kiwi Δ disagree by 21.1	蹲了很久[doge]	I've been waiting for this for a long time [doge]
A-NEO-162	NEO	20.96	xcomet/kiwi Δ disagree by 21.0	我的病娇猫，爱得太沉重。	My yandere cat, I love too much.
A-MIX-010	MIX	20.16	xcomet/kiwi Δ disagree by 20.2	主页ep和隐藏	Homepage and Hide
A-NEO-005	NEO	20.13	xcomet/kiwi Δ disagree by 20.1; xcomet_noisy 92.0 but NTA miss	割肉？22年1.1买的，1.7算割肉吗	Selling at a loss? I bought it on 1.1 in 2022, is selling it on 1.7 considered a loss?
