uid	category	xcomet_noisy	xcomet_clean	xcomet_d	kiwi_noisy	kiwi_clean	kiwi_d	nta_noisy	nta_clean	nta_d	src_noisy	hyp_noisy	src_clean	hyp_clean	ref_en
B-HOM-001	HOM	93.43	95.32	1.89	64.40	83.72	19.32	0	0	0	酱紫也行？那我也试试	That's okay? Then I'll try it too.	这样子也行？那我也试试	That's okay? Then I'll try too.	this works? then let me try too
B-HOM-002	HOM	96.63	99.45	2.82	67.28	81.82	14.54	0	0	0	你怎么酱紫说话，人家会误会的	How could you talk like that? People might misunderstand you.	你怎么这样子说话，人家会误会的	Why do you speak like that? Others might misunderstand.	why do you talk like that, people will misunderstand
B-HOM-003	HOM	95.75	97.62	1.87	78.52	83.17	4.65	0	0	0	各位童鞋注意了，期末考试要来了	Please note that the final exam is coming.	各位同学注意了，期末考试要来了	Everyone, pay attention, the final exam is coming.	attention classmates, final exams are coming
B-HOM-004	HOM	87.31	78.68	-8.63	78.31	66.32	-11.99	0	0	0	童鞋们帮我看看这道题怎么做	Please help me check how to solve this problem	同学们帮我看看这道题怎么做	Please help me check how to solve this problem,同学们.	classmates help me figure out this problem
B-HOM-005	HOM	89.85	96.44	6.59	69.19	83.11	13.92	100	100	0	我真的好稀饭这个博主，太搞笑了	I really like this blogger, they're too funny	我真的好喜欢这个博主，太搞笑了	I really like this blogger a lot; they're so funny.	I really like this creator, too funny
B-HOM-006	HOM	77.23	98.72	21.49	69.00	85.58	16.58	0	100	100	你是不是稀饭我？直说嘛	Are you into me? Just say it straight.	你是不是喜欢我？直说嘛	Do you like me? Just say it straight.	do you like me? just say it
B-HOM-007	HOM	81.19	98.36	17.17	63.30	82.81	19.51	0	100	100	今天又是杯具的一天，出门忘带钥匙	"Today was another day of ""cupware,"" forgetting to bring the keys when leaving the house."	今天又是悲剧的一天，出门忘带钥匙	Today is another tragic day, I forgot my keys when I went out.	another tragic day, forgot my keys going out
B-HOM-008	HOM	83.28	96.81	13.53	47.43	83.83	36.39	0	100	100	人生就是一个杯具接着一个杯具	Life is just one cup disaster after another.	人生就是一个悲剧接着一个悲剧	Life is a tragedy after another tragedy.	life is one tragedy after another
B-HOM-009	HOM	91.77	91.17	-0.60	67.07	79.37	12.30	0	0	0	游戏过于神金，不确定先从哪里笑起	The game is too over-the-top, unsure where to start laughing.	游戏过于神经，不确定先从哪里笑起	The game is too nerve-wracking; unsure where to start laughing.	this game is so unhinged, not sure where to start laughing
B-HOM-010	HOM	78.98	93.35	14.37	70.53	70.64	0.11	0	100	100	都说我做饭神金，今天就做神金给你们吃	"They always say I'm a cooking god, so today I'll cook ""shenjin"" for you all to eat."	都说我做饭神经，今天就做神经给你们吃	They all say I'm crazy when it comes to cooking, so today I'll cook something really crazy for you.	y'all say I'm crazy in the kitchen, so today I'm cooking crazy for you
B-HOM-011	HOM	90.73	91.75	1.03	62.53	82.61	20.08	0	0	0	世界上最神金的行为	The most amazing and impressive behavior in the world	世界上最神经的行为	The most neurotic behavior in the world	the most unhinged behavior in the world
B-HOM-012	HOM	70.47	77.64	7.17	52.46	70.33	17.87	0	0	0	被这离谱的主播笑拥了	Was laughed at by this absurd streamer	被这离谱的主播笑晕了	I was so stunned by this ridiculous streamer's laughter that I fainted.	I'm dead from this absurd streamer
B-HOM-013	HOM	75.38	92.65	17.27	61.58	74.41	12.83	0	0	0	笑拥了！带货主播推荐的迷惑水果太离谱了吧	Laughed it off! The confusing fruits recommended by live-streaming sellers are absolutely ridiculous.	笑晕了！带货主播推荐的迷惑水果太离谱了吧	I'm laughing so hard! The confusing fruits recommended by the live-streaming sales host are absolutely ridiculous!	I’m dying laughing! Those weird fruits promoted by live stream sales hosts are ridiculous.
