pair	scope	metric	n	mean_hi	mean_lo	diff	ci_lo	ci_hi	p_boot
a2-a0	HOM	nta	123	27.64	17.89	9.76	3.25	17.07	0.0090
a2-a1	HOM	nta	123	27.64	25.20	2.44	-3.25	8.13	0.5030
a3-a2	HOM	nta	123	30.08	27.64	2.44	-3.25	8.13	0.4890
a4-a3	HOM	nta	123	41.46	30.08	11.38	5.69	17.89	0.0000
a2-a0	PYA	nta	108	24.07	11.11	12.96	6.48	19.44	0.0000
a2-a1	PYA	nta	108	24.07	16.67	7.41	2.78	12.96	0.0000
a3-a2	PYA	nta	108	21.30	24.07	-2.78	-6.48	0.00	0.0980
a4-a3	PYA	nta	108	37.04	21.30	15.74	8.33	23.15	0.0000
a2-a0	NEO	nta	117	13.68	18.80	-5.13	-11.97	1.71	0.2060
a2-a1	NEO	nta	117	13.68	16.24	-2.56	-9.40	4.27	0.5570
a3-a2	NEO	nta	117	19.66	13.68	5.98	1.71	11.11	0.0210
a4-a3	NEO	nta	117	23.93	19.66	4.27	-1.71	11.11	0.2270
a2-a0	MIX	nta	144	41.67	72.92	-31.25	-39.58	-22.92	0.0000
a2-a1	MIX	nta	144	41.67	44.44	-2.78	-8.33	2.78	0.3780
a3-a2	MIX	nta	144	43.75	41.67	2.08	-2.78	6.94	0.4850
a4-a3	MIX	nta	144	45.83	43.75	2.08	-4.86	9.03	0.6150
