uid	category	xcomet_noisy	xcomet_clean	xcomet_d	kiwi_noisy	kiwi_clean	kiwi_d	nta_noisy	nta_clean	nta_d	src_noisy	hyp_noisy	src_clean	hyp_clean	ref_en
A-HOM-001	HOM	73.93	83.60	9.67	72.64	74.44	1.80	0	0	0	广0王，我也是	Guang 0 Wang, me too.	广陵王，我也是	King Guangling, me too.	Prince of Guangling, same here.
A-HOM-002	HOM	98.59	100.00	1.41	69.36	85.66	16.30	0	100	100	3Q 祝你新年快乐 🎊🐍	Happy New Year! 🎊🐍	谢谢 祝你新年快乐 🎊🐍	Thank you, I wish you a Happy New Year! 🎊🐍	Thanks! Happy New Year 🎊🐍
A-HOM-003	HOM	89.99	97.81	7.82	83.22	84.71	1.49	0	100	100	我的玛雅太美了	My Maya is so beautiful.	我的妈呀太美了	Oh my god, it's so beautiful!	Oh my God, mine is so beautiful!
A-HOM-004	HOM	63.69	89.20	25.51	60.83	63.38	2.54	0	0	0	有顺风顺水顺财神的郝性头像吗？	Do you have a profile picture of Hao Xing that brings good luck, smooth sailing, and wealth from the God of Wealth?	有顺风顺水顺财神的郝姓头像吗？	Do you have an avatar with the Hao surname that brings good luck, smooth sailing, and wealth from the God of Wealth?	Does anyone have a profile picture with the surname Hao that brings smooth sailing and the God of Wealth?
A-HOM-005	HOM	89.71	90.56	0.84	78.65	80.62	1.97	0	100	100	➗25家政 15洗衣  10洗车	25 for home services, 15 for laundry, 10 for car wash	出售25家政 15洗衣  10洗车	For sale: 25 home services, 15 laundries, 10 car washes.	Selling: housekeeping 25, laundry 15, car wash 10.
A-HOM-006	HOM	65.07	98.65	33.58	59.00	84.05	25.05	0	100	100	马牙，谢谢劳斯🥺❤️❤️❤️	Horse teeth, thank you, Rolls🥺❤️❤️❤️	妈呀，谢谢老师🥺❤️❤️❤️	Oh my god, thank you, teacher!	Oh my God, thank you, teacher 🥺❤️❤️❤️
A-HOM-007	HOM	97.00	92.40	-4.60	63.12	75.21	12.08	0	100	100	似吧我不拦你	I won't stop you.	死吧我不拦你	Die, I won't stop you.	Go die if you want—I won't stop you.
A-HOM-008	HOM	82.90	89.88	6.98	79.22	74.10	-5.12	0	100	100	哈雷哈雷，欢迎欢迎热烈欢迎	Haré Haré, welcome, welcome, a warm welcome!	你好你好，欢迎欢迎热烈欢迎	Hello, hello, welcome, welcome, a warm welcome.	Hello, hello—a very warm welcome!
A-HOM-009	HOM	39.54	92.36	52.82	44.95	68.25	23.31	0	0	0	国际大厦比	International Building is more	国际大傻逼	International big idiot	A world-class dumbass.
A-HOM-010	HOM	81.66	86.81	5.15	74.53	76.36	1.82	0	0	0	啊啊啊啊给青兰ee吃	Ahhh, give it to Qinglan-ee to eat!	啊啊啊啊给青兰阿姨吃	Ahhh, give it to Aunt Qinglan.	Give Auntie Qinglan something to eat!
A-HOM-011	HOM	87.98	89.98	2.00	37.87	60.43	22.56	100	100	0	啊啊啊啊啊豆儿康康我	Ahhh, Dou'er, look at me!	啊啊啊啊啊豆儿看看我	Ahhh, Dou'er, look at me!	Dou'er, take a look at me!!!
A-HOM-012	HOM	94.77	97.03	2.26	58.76	83.93	25.17	100	100	0	蟹蟹宝宝夸奖	Thank you for the compliment, baby.	谢谢宝宝夸奖	Thank you, baby, for the compliment.	Thanks, babe, for the compliment.
A-HOM-013	HOM	86.64	99.12	12.48	81.95	86.82	4.88	0	100	100	啊！谢谢劳斯！	Ah! Thank you, Rolls!	啊！谢谢老师！	Oh! Thank you, Teacher!	Ah, thank you, teacher!
A-HOM-014	HOM	78.36	72.81	-5.55	44.71	49.82	5.11	100	100	0	大鸡毛（大金毛）	Golden Retriever	大金毛（大金毛）	Golden Retriever	A big golden retriever (a big golden retriever).
A-HOM-015	HOM	98.23	99.02	0.79	82.23	83.97	1.75	0	0	0	每个月不用给chatgpt交20刀了	No need to pay $20 for ChatGPT every month anymore.	每个月不用给chatgpt交20美元了	No longer need to pay $20 for ChatGPT every month.	Now I don’t have to pay ChatGPT $20 a month.
A-HOM-017	HOM	86.52	99.09	12.57	83.83	69.91	-13.92	0	100	100	这就是史	This is history.	这就是屎	That's shit	This is literally shit.
A-NEO-253	NEO	85.89	87.33	1.44	73.72	75.33	1.61	100	0	-100	知道为什么他父母接受他是0还配合拍视频吗 原因竟是...	Do you know why his parents accepted him as a zero and even cooperated in filming videos? The reason is...	知道为什么他父母接受他是受还配合拍视频吗 原因竟是...	Do you know why his parents accepted him and cooperated with filming the video? The reason is actually...	Do you know why his parents accept that he’s a bottom and even cooperate in making videos? The reason turns out to be...
A-HOM-019	HOM	63.00	60.25	-2.74	69.39	71.27	1.88	100	100	0	固体香薰挂！！有7.8个香味都好特别 不是那种浓郁型的，挂在衣柜里淡淡的香灰常舒心！每次来小韩都要囤一堆！！！！	Solid air freshener sachets!! There are 7-8 unique scents, not the strong kind. They give off a light, pleasant fragrance in the wardrobe, which is very comforting! Every time I come to Little Han's, I have to stock up on a bunch!!!!	固体香薰挂！！有7.8个香味都好特别 不是那种浓郁型的，挂在衣柜里淡淡的香非常舒心！每次来小韩都要囤一堆！！！！	Solid air freshener sachets!! There are 7-8 unique scents, not the strong kind. Hanging them in the closet gives off a light, very comforting fragrance! Every time I come to Little Han's, I have to stock up!!!!	Solid fragrance hangers!! There are seven or eight scents, and every one is so unique. They’re not overpowering; hanging one in the wardrobe leaves a soft scent that feels incredibly soothing! I stock up on a bunch every time I visit Xiao Han!!!!
A-PYA-001	PYA	68.62	90.51	21.88	60.53	73.13	12.60	0	100	100	小窗口dd你吧	I'll drag you to the small window.	小窗口联系你吧	I'll contact you through the small window.	I'll DM you.
A-PYA-002	PYA	69.71	87.35	17.63	83.07	82.21	-0.86	0	0	0	350 q安	350 qian	350 QQ安卓区	350 QQ Android Zone	Offering ¥350 on the QQ Android server.
