uid	category	severity	reasons	src_noisy	hyp_noisy
A-MIX-001	MIX	45.00	xcomet/kiwi Δ disagree by 45.0	K宝，冰上的精灵	K-Bao, the sprite on ice
A-NEO-090	NEO	42.24	xcomet/kiwi Δ disagree by 42.2	永远抄底	Always buy the dip
A-MIX-025	MIX	39.31	xcomet/kiwi Δ disagree by 39.3	“我是ENTP”接下来，生成一朵关于它的花：	I am an ENTP.
A-NEO-004	NEO	38.17	xcomet/kiwi Δ disagree by 38.2	来了中中中	Here comes Zhong Zhong Zhong.
A-NEO-162	NEO	37.52	xcomet/kiwi Δ disagree by 37.5	我的病娇猫，爱得太沉重。	My yandere cat, loves too heavily.
A-NEO-001	NEO	35.70	xcomet/kiwi Δ disagree by 35.7	中中中哦[doge]	Zhong Zhong Zhong Oh [doge]
A-MIX-040	MIX	35.48	xcomet/kiwi Δ disagree by 35.5	小wieiad vlog 🖤	Xiaowei's vlog 🖤
A-NEO-043	NEO	30.80	xcomet/kiwi Δ disagree by 30.8	敦门永恒！	Dortmund Forever!
A-NEO-031	NEO	30.76	xcomet/kiwi Δ disagree by 30.8	！！！！同担啊！！！！！	OMG, you're a fellow fan!
A-NEO-030	NEO	30.76	xcomet/kiwi Δ disagree by 30.8	滴我滴我[doge]	DM me, DM me [doge]
A-MIX-006	MIX	29.96	xcomet/kiwi Δ disagree by 30.0	请你说英语，speeekyingyu	Please speak English.
A-NEO-103	NEO	29.93	xcomet/kiwi Δ disagree by 29.9	网友的成功让人宫寒	The success of netizens makes people feel disheartened/cold.
A-HOM-009	HOM	29.51	xcomet/kiwi Δ disagree by 29.5	国际大厦比	International Building is more
A-NEO-007	NEO	29.05	xcomet/kiwi Δ disagree by 29.1	巴拉巴拉说的啥	What are you talking about?
A-NEO-072	NEO	28.43	xcomet/kiwi Δ disagree by 28.4	什么刀子都有[doge]	There are all kinds of knives [doge]
A-MIX-003	MIX	27.66	xcomet/kiwi Δ disagree by 27.7	erguotou二锅头[doge]	Erguotou Erguotou [doge]
A-NEO-178	NEO	27.62	xcomet/kiwi Δ disagree by 27.6	分享一个桃花的玄学真相	Sharing a metaphysical truth about peach blossoms.
A-NEO-047	NEO	27.24	xcomet/kiwi Δ disagree by 27.2	瑶瑶公主，蹲蹲蹲蹲	Princess Yaoyao, squat, squat, squat, squat.
A-HOM-017	HOM	26.49	xcomet/kiwi Δ disagree by 26.5; xcomet_noisy 86.5 but NTA miss	这就是史	This is history.
A-NEO-019	NEO	25.23	xcomet/kiwi Δ disagree by 25.2	直接多少，🐟跳转不了	How much directly? The fish can't jump.
A-MIX-002	MIX	25.22	xcomet/kiwi Δ disagree by 25.2; xcomet_noisy 82.8 but NTA miss	图fine秒mine[doge]	The picture is fine, the seconds are mine [doge]
A-NEO-017	NEO	25.04	xcomet/kiwi Δ disagree by 25.0; xcomet_noisy 85.0 but NTA miss	体育西路，珠江新城可带，3号线都可以带	Tiyu Xilu, Zhujiang New Town are accessible, Line 3 is also accessible.
A-NEO-069	NEO	23.32	xcomet/kiwi Δ disagree by 23.3	我！要！原！图！关啦	I! Want! The! Original! Picture! It's closed!
A-HOM-004	HOM	22.97	xcomet/kiwi Δ disagree by 23.0	有顺风顺水顺财神的郝性头像吗？	Do you have a profile picture of Hao Xing that brings good luck, smooth sailing, and wealth from the God of Wealth?
A-HOM-012	HOM	22.91	xcomet/kiwi Δ disagree by 22.9	蟹蟹宝宝夸奖	Thank you for the compliment, baby.
A-NEO-009	NEO	21.82	xcomet/kiwi Δ disagree by 21.8	交?已关[doge]	The transaction has been closed [doge]
A-NEO-053	NEO	21.79	xcomet/kiwi Δ disagree by 21.8	我我我蹲蹲蹲	I-I-I squat-squat-squat
A-NEO-145	NEO	21.60	xcomet/kiwi Δ disagree by 21.6; xcomet_noisy 94.1 but NTA miss	这个建构我是真整不了一点	I really can't deal with this construct.
A-MIX-044	MIX	20.88	xcomet/kiwi Δ disagree by 20.9	想大海和sun kissed life	Longing for the ocean and a sun-kissed life.
A-NEO-010	NEO	20.84	xcomet/kiwi Δ disagree by 20.8	多的不说，给我中中中	Enough talk, just give me a hit!
A-MIX-052	MIX	20.75	xcomet/kiwi Δ disagree by 20.8	轻松熊ascii art⊹ ࣪𓍢ִ໋⋆🍰ೀ⋆	Rilakkuma ASCII art ⊹ ࣪𓍢ִ໋⋆🍰ೀ⋆
A-NEO-205	NEO	20.69	xcomet/kiwi Δ disagree by 20.7	梦女&追星女发的文案	Captions posted by dream girls and fangirls
A-MIX-075	MIX	20.60	xcomet/kiwi Δ disagree by 20.6	宝宝脸颊肉回来啦 状态也挺好哒 活泼的小女孩终于回来啦 可爱！live怼脸get！	The baby's chubby cheeks are back, and she's in great spirits! My lively little girl is finally back, so cute! Live close-up get!
