uid	category	severity	reasons	src_noisy	hyp_noisy
B-HOM-071	HOM	48.86	xcomet/kiwi Δ disagree by 48.9	要泥寡,雨女无瓜!	If you want dates, the rain goddess won't give you melons! (or, a more colloquial rendering: If you want something for nothing, you'll get nothing at all!)
B-MIX-132	MIX	44.50	xcomet/kiwi Δ disagree by 44.5	天磊：what can I say	Tian Lei: What can I say?
B-PYA-058	PYA	41.91	xcomet/kiwi Δ disagree by 41.9; xcomet_noisy 85.4 but NTA miss	kdl，这对CP太甜了	Oh my god, this pairing is so sweet!
B-NEO-059	NEO	39.47	xcomet/kiwi Δ disagree by 39.5; xcomet_noisy 91.5 but NTA miss	破防了	I'm broken.
B-PYA-103	PYA	38.51	xcomet/kiwi Δ disagree by 38.5	好装好假好ex	Easy to install, easy to fake, good ex.
B-PYA-070	PYA	38.36	xcomet/kiwi Δ disagree by 38.4	nsdd，你说得对	You're right.
B-NEO-067	NEO	36.64	xcomet/kiwi Δ disagree by 36.6	摆烂了，爱咋咋地	"I've given up, and I don't care what happens. 

(Alternatively, depending on context and desired tone: I'm just letting it all fall apart, whatever.)"
B-PYA-050	PYA	34.80	xcomet/kiwi Δ disagree by 34.8; xcomet_noisy 92.8 but NTA miss	dd我一下	Poke me.
B-MIX-093	MIX	33.93	xcomet/kiwi Δ disagree by 33.9	不会侵蚀后全是boss吧	It'll probably be all bosses after the corrosion is gone, right?
B-HOM-012	HOM	32.89	xcomet/kiwi Δ disagree by 32.9	被这离谱的主播笑拥了	Was hilariously embraced by this outrageous streamer.
B-HOM-051	HOM	32.79	xcomet/kiwi Δ disagree by 32.8; xcomet_noisy 81.8 but NTA miss	看完女排比赛我直接鸭梨山大	After watching the women's volleyball match, I was completely overwhelmed with anxiety/stress.
B-HOM-134	HOM	32.32	xcomet/kiwi Δ disagree by 32.3	我真怕药水一拳给向左打晕过去	I'm really worried that Yaoshui will knock Xiang Zuo unconscious with one punch.
B-MIX-105	MIX	32.29	xcomet/kiwi Δ disagree by 32.3	回答我，鸟为什么会飞？ Look at my eye, tell me why!	Answer me, why do birds fly? Look at my eye, tell me why!
B-MIX-123	MIX	31.99	xcomet/kiwi Δ disagree by 32.0; xcomet_noisy 85.9 but NTA miss	记者会？不，个人show time	Press conference? No, it's my time to shine.
B-HOM-052	HOM	30.82	xcomet/kiwi Δ disagree by 30.8	笑鼠了！一会抛梗一会接梗	"Laughing at the mouse! One moment throwing out a joke, the next catching it. 

(Or, more colloquially: That's hilarious! It's a constant back-and-forth of jokes.)"
B-HOM-054	HOM	30.66	xcomet/kiwi Δ disagree by 30.7; xcomet_noisy 91.2 but NTA miss	窝巢，这也太厉害了吧	"Wow, this is amazing! 

(or, depending on context/tone: Holy cow, that's incredible! / Oh my god, that's awesome!)"
B-PYA-104	PYA	30.43	xcomet/kiwi Δ disagree by 30.4	死yxh滚远点	Die, get lost, and go far away.
B-NEO-084	NEO	30.33	xcomet/kiwi Δ disagree by 30.3; xcomet_noisy 93.3 but NTA miss	基操	Basic operation.
B-NEO-042	NEO	29.53	xcomet/kiwi Δ disagree by 29.5; xcomet_noisy 90.8 but NTA miss	这手机信号拉胯到离谱	"This phone has terrible signal. 

(Alternatively, more colloquially: This phone has shockingly bad signal.)"
B-PYA-055	PYA	29.27	xcomet/kiwi Δ disagree by 29.3	这操作nb啊，大佬带带我	This move is amazing, please guide me, master!
B-HOM-127	HOM	28.27	xcomet/kiwi Δ disagree by 28.3; xcomet_noisy 96.4 but NTA miss	可以四了这游戏	Let's end this game.
B-PYA-106	PYA	27.55	xcomet/kiwi Δ disagree by 27.6; xcomet_noisy 88.7 but NTA miss	牛啊，我怎么幻听出歌词了(bushi)	Wow, I could have sworn I heard lyrics (or am I imagining things?).
B-HOM-043	HOM	27.32	xcomet/kiwi Δ disagree by 27.3	耗子尾汁，好自为之吧	Rat tail juice, fend for yourself.
B-NEO-010	NEO	27.07	xcomet/kiwi Δ disagree by 27.1; xcomet_noisy 93.6 but NTA miss	选择你的躲藏点，被抓到就芭比Q了	Choose your hiding spot, getting caught means you're toast!
B-NEO-085	NEO	26.19	xcomet/kiwi Δ disagree by 26.2	你这肯定是低段位炸鱼罢了	You're definitely just boosting your rank by playing against low-skilled players.
B-HOM-038	HOM	25.89	xcomet/kiwi Δ disagree by 25.9; xcomet_noisy 98.3 but NTA miss	这个颜色灰常好看	This color is very beautiful.
B-PYA-111	PYA	25.49	xcomet/kiwi Δ disagree by 25.5	就说问啥听不到，nnd只带了一个耳机	Just saying, I can't hear what's being asked, damn it, I only brought one earphone.
B-HOM-090	HOM	25.10	xcomet/kiwi Δ disagree by 25.1	香精煎鱼食不食	Fragrant-broth-braised fish—will you eat it or not?
