model	n	xcomet_noisy	xcomet_clean	xcomet_delta	xcomet_ci	rel_delta	kiwi_delta	nta_noisy	nta_clean	nta_delta
nllb-3.3b	492	71.01	75.18	4.17	[2.57, 5.74]	0.055	5.70	22.56	24.59	2.03
google-translate	492	85.34	89.90	4.57	[3.64, 5.48]	0.051	6.17	37.40	41.46	4.07
qwen3-1.7b	492	78.65	82.83	4.18	[2.87, 5.43]	0.050	7.10	26.02	29.07	3.05
qwen3-8b	492	82.36	86.43	4.07	[3.05, 5.15]	0.047	6.46	32.32	34.76	2.44
qwen3-32b	492	83.49	87.77	4.28	[3.33, 5.25]	0.049	6.55	32.72	37.60	4.88
gpt-4o	492	86.00	89.39	3.39	[2.56, 4.24]	0.038	7.32	39.63	40.04	0.41
gemini	492	85.49	88.50	3.01	[2.20, 3.87]	0.034	7.94	40.85	41.06	0.20
aya-101	492	75.78	81.38	5.60	[4.36, 6.90]	0.069	6.74	20.73	17.68	-3.05
aya-expanse-8b	492	77.57	84.44	6.86	[5.47, 8.20]	0.081	7.45	27.85	34.76	6.91
deepseek	492	87.30	89.65	2.35	[1.59, 3.12]	0.026	8.09	48.98	42.89	-6.10
gemma3-12b	492	83.47	87.69	4.21	[3.24, 5.19]	0.048	7.28	31.91	36.38	4.47
gemma3-27b	492	80.46	86.45	5.99	[4.76, 7.26]	0.069	8.41	35.16	40.04	4.88
gemma3-4b	492	80.49	85.13	4.64	[3.45, 5.82]	0.055	8.14	28.66	35.57	6.91
gemmax2-9b	492	81.86	87.15	5.30	[4.28, 6.26]	0.061	6.21	29.07	38.21	9.15
hunyuan-mt-7b	492	83.22	88.44	5.22	[4.22, 6.20]	0.059	6.05	28.25	35.16	6.91
qwen3-0.6b	492	72.82	76.04	3.23	[1.89, 4.60]	0.042	5.30	22.15	21.34	-0.81
qwen3-14b	492	83.41	87.66	4.25	[3.35, 5.17]	0.048	6.56	34.35	36.99	2.64
qwen3-4b	492	81.30	85.74	4.44	[3.34, 5.52]	0.052	6.99	29.67	33.94	4.27
