tier	scope	n	xcomet	delta_vs_clean	recovery	kiwi	nta
a0	HOM	123	78.33	9.62	0.00	63.30	17.89
a1	HOM	123	82.52	5.42	4.19	72.28	25.20
a2	HOM	123	82.40	5.55	4.07	71.15	27.64
a3	HOM	123	84.29	3.65	5.96	73.38	30.08
a4	HOM	123	87.94	0.00	9.62	73.85	41.46
a0	PYA	108	82.68	3.65	0.00	68.78	11.11
a1	PYA	108	83.56	2.77	0.88	73.62	16.67
a2	PYA	108	84.10	2.22	1.42	72.72	24.07
a3	PYA	108	84.22	2.10	1.55	72.76	21.30
a4	PYA	108	86.32	0.00	3.65	72.44	37.04
a0	NEO	117	81.61	6.09	0.00	66.39	18.80
a1	NEO	117	83.63	4.06	2.03	72.39	16.24
a2	NEO	117	84.46	3.23	2.85	72.71	13.68
a3	NEO	117	85.88	1.81	4.28	74.70	19.66
a4	NEO	117	87.69	0.00	6.09	75.13	23.93
a0	MIX	144	90.04	-1.27	0.00	72.19	72.92
a1	MIX	144	88.35	0.42	-1.69	76.05	44.44
a2	MIX	144	87.73	1.04	-2.31	75.10	41.67
a3	MIX	144	88.38	0.39	-1.66	75.56	43.75
a4	MIX	144	88.77	0.00	-1.27	75.73	45.83
