uid	category	xcomet_noisy	xcomet_clean	xcomet_d	kiwi_noisy	kiwi_clean	kiwi_d	nta_noisy	nta_clean	nta_d	src_noisy	hyp_noisy	src_clean	hyp_clean	ref_en
B-HOM-001	HOM	93.79	97.81	4.02	58.52	83.54	25.02	0	0	0	酱紫也行？那我也试试	"""Would that work? Then I'll give it a try, too."""	这样子也行？那我也试试	Will this work? I'll give it a try too.	this works? then let me try too
B-HOM-002	HOM	98.07	99.82	1.75	65.00	81.26	16.26	0	0	0	你怎么酱紫说话，人家会误会的	How can you talk like that? People will misunderstand.	你怎么这样子说话，人家会误会的	Why do you speak like that? People will misunderstand.	why do you talk like that, people will misunderstand
B-HOM-003	HOM	97.23	96.96	-0.26	81.58	83.53	1.95	0	0	0	各位童鞋注意了，期末考试要来了	Pay close attention, all you students, the final exams are approaching.	各位同学注意了，期末考试要来了	Pay close attention, fellow students, the final exams are approaching.	attention classmates, final exams are coming
B-HOM-004	HOM	49.35	92.92	43.57	61.04	79.69	18.65	0	100	100	童鞋们帮我看看这道题怎么做	Can the little shoes help me figure out how to do this problem?	同学们帮我看看这道题怎么做	"""Can my classmates help me figure out how to do this problem?"""	classmates help me figure out this problem
B-HOM-005	HOM	94.69	97.33	2.65	71.02	82.47	11.45	100	100	0	我真的好稀饭这个博主，太搞笑了	I really like this blogger, they're so funny.	我真的好喜欢这个博主，太搞笑了	I really like this blogger, they're so funny!	I really like this creator, too funny
B-HOM-006	HOM	80.47	84.86	4.39	54.77	76.70	21.94	100	100	0	你是不是稀饭我？直说嘛	Don't you like me? Be straightforward.	你是不是喜欢我？直说嘛	Don't you like me? Be straightforward.	do you like me? just say it
B-HOM-007	HOM	91.49	95.07	3.58	74.53	83.51	8.97	0	100	100	今天又是杯具的一天，出门忘带钥匙	"Today is another ""disappointing"" day, I forgot my keys when I left home."	今天又是悲剧的一天，出门忘带钥匙	Today is another tragic day; I forgot my keys when I left home.	another tragic day, forgot my keys going out
B-HOM-008	HOM	73.49	99.97	26.49	74.20	84.90	10.70	0	100	100	人生就是一个杯具接着一个杯具	Life is just one cup after another.	人生就是一个悲剧接着一个悲剧	Life is one tragedy after another.	life is one tragedy after another
B-HOM-009	HOM	96.82	89.71	-7.11	67.21	78.74	11.53	0	0	0	游戏过于神金，不确定先从哪里笑起	The game is too ridiculous, I'm not sure where to start laughing.	游戏过于神经，不确定先从哪里笑起	The game is too nerve-wracking, unsure where to start laughing first.	this game is so unhinged, not sure where to start laughing
B-HOM-010	HOM	86.99	75.00	-11.99	75.09	67.04	-8.05	0	0	0	都说我做饭神金，今天就做神金给你们吃	They all say I'm a cooking genius, so today I'll make a genius dish for you.	都说我做饭神经，今天就做神经给你们吃	They say I'm a nervous cook, so today I'm cooking nervously for you.	y'all say I'm crazy in the kitchen, so today I'm cooking crazy for you
B-HOM-011	HOM	77.85	95.56	17.71	63.29	82.51	19.22	0	0	0	世界上最神金的行为	The world's most divine act of kindness.	世界上最神经的行为	The most neurotic behavior in the world.	the most unhinged behavior in the world
B-HOM-012	HOM	71.66	77.89	6.23	57.63	76.75	19.12	0	0	0	被这离谱的主播笑拥了	Laughed off by this absurd host.	被这离谱的主播笑晕了	I was laughed silly by this absurd host.	I'm dead from this absurd streamer
