uid	category	severity	reasons	src_noisy	hyp_noisy
A-NEO-066	NEO	54.33	xcomet/kiwi Δ disagree by 54.3	狼青土松弟弟	Lang Qing Tu Song's younger brother
A-NEO-031	NEO	39.57	xcomet/kiwi Δ disagree by 39.6; xcomet_noisy 94.6 but NTA miss	！！！！同担啊！！！！！	Same favorite character!
A-MIX-025	MIX	37.33	xcomet/kiwi Δ disagree by 37.3	“我是ENTP”接下来，生成一朵关于它的花：	"""I am an ENTP"""
A-NEO-090	NEO	34.88	xcomet/kiwi Δ disagree by 34.9	永远抄底	Always buy the dip.
A-NEO-236	NEO	34.37	xcomet/kiwi Δ disagree by 34.4	全是大漏勺	All are big slotted spoons.
A-HOM-009	HOM	34.20	xcomet/kiwi Δ disagree by 34.2	国际大厦比	International Building is more than
A-NEO-130	NEO	33.70	xcomet/kiwi Δ disagree by 33.7	血脉觉醒！高颜值高能量水晶手串分享*8📿	Bloodline awakening! Sharing high-value, high-energy crystal bracelets *8📿
A-PYA-004	PYA	32.75	xcomet/kiwi Δ disagree by 32.8; xcomet_noisy 84.9 but NTA miss	好可爱cpdd...	So cute, looking for a CP (couple/pairing), add me...
A-NEO-180	NEO	32.69	xcomet/kiwi Δ disagree by 32.7	搬运翻译玄鸡的趣图	Translate and share fun images of Xuanji.
A-NEO-040	NEO	31.62	xcomet/kiwi Δ disagree by 31.6	宝接昼吗	Is Bao available during the day?
A-NEO-162	NEO	31.46	xcomet/kiwi Δ disagree by 31.5	我的病娇猫，爱得太沉重。	My yandere cat loves too intensely.
A-NEO-072	NEO	31.42	xcomet/kiwi Δ disagree by 31.4	什么刀子都有[doge]	There are all kinds of knives.
A-HOM-011	HOM	28.70	xcomet/kiwi Δ disagree by 28.7	啊啊啊啊啊豆儿康康我	Ahhhh Dou, look at me.
A-NEO-046	NEO	26.14	xcomet/kiwi Δ disagree by 26.1	接接接 借你吉言	Thank you for your kind words.
A-NEO-063	NEO	24.79	xcomet/kiwi Δ disagree by 24.8	ruby蹲蹲	Ruby squat squat
A-HOM-006	HOM	23.25	xcomet/kiwi Δ disagree by 23.2	马牙，谢谢劳斯🥺❤️❤️❤️	Maya, thank you Laus 🥺❤️❤️❤️
A-NEO-207	NEO	22.94	xcomet/kiwi Δ disagree by 22.9	🇺🇸留子自制巴斯克大成功！	Ruko successfully made Basque cheesecake herself!
A-NEO-178	NEO	22.23	xcomet/kiwi Δ disagree by 22.2	分享一个桃花的玄学真相	Share a metaphysical truth about peach blossoms.
A-NEO-009	NEO	21.76	xcomet/kiwi Δ disagree by 21.8	交?已关[doge]	Closed? Already closed [doge]
A-MIX-044	MIX	21.20	xcomet/kiwi Δ disagree by 21.2	想大海和sun kissed life	Thinking of the ocean and a sun-kissed life
A-PYA-002	PYA	20.79	xcomet/kiwi Δ disagree by 20.8	350 q安	350 q安
A-MIX-002	MIX	20.75	xcomet/kiwi Δ disagree by 20.8; xcomet_noisy 80.3 but NTA miss	图fine秒mine[doge]	Picture fine second mine [doge]
A-NEO-148	NEO	20.73	xcomet/kiwi Δ disagree by 20.7	老夫子周边🥹	Master Lu's merchandise 🥹
A-NEO-003	NEO	19.47	xcomet_noisy 91.9 but NTA miss	想到他们的“快乐水”	"Thinking of their ""happy water"""
A-NEO-067	NEO	18.37	xcomet_noisy 86.0 but NTA miss	包姜晓的呀[doge]	It's Bao Jiangxiao's [doge].
A-NEO-035	NEO	17.58	xcomet_noisy 97.2 but NTA miss	蹲蹲，南南新年快乐	Happy New Year, Nannan!
A-NEO-136	NEO	17.17	xcomet_noisy 81.5 but NTA miss	金色猫眼➕黑色|简约显白跳色脚美甲	Golden cat eye + black | Simple and white-enhancing color-blocking foot nail art
A-NEO-054	NEO	16.96	xcomet_noisy 82.8 but NTA miss	第三个我推	The third one I push.
A-NEO-161	NEO	16.25	xcomet_noisy 90.3 but NTA miss	MBTI各种眼神杀！你能接得住？	MBTI various eye stares! Can you handle them?
A-NEO-008	NEO	14.54	xcomet_noisy 85.6 but NTA miss	这是老广啊	This is an old Cantonese person.
A-NEO-113	NEO	14.14	xcomet_noisy 92.7 but NTA miss	需要我#互关吗，兄弟	Do you need me to follow back, bro?
A-NEO-065	NEO	13.93	xcomet_noisy 84.0 but NTA miss	19配 35/1	19 matches 35/1
A-NEO-234	NEO	13.86	xcomet_noisy 90.9 but NTA miss	弹错了一丢丢，但先这样吧… #电吉他[话题]# #shoegaze[话题]#	Made a tiny mistake, but let's leave it for now... #ElectricGuitar #Shoegaze
A-PYA-015	PYA	13.82	xcomet_noisy 81.0 but NTA miss	已关注qiu fen xiang	Followed qiufenxiang
A-HOM-017	HOM	13.62	xcomet_noisy 86.5 but NTA miss	这就是史	This is history.
A-NEO-029	NEO	13.55	xcomet_noisy 94.1 but NTA miss	已私，求图，谢谢	Already sent a private message, please send the picture, thank you.
A-NEO-145	NEO	13.52	xcomet_noisy 94.8 but NTA miss	这个建构我是真整不了一点	I really can't handle this construction at all.
A-NEO-177	NEO	13.26	xcomet_noisy 91.3 but NTA miss	国内有没有商家能做这个饼干的平替啊！！！！	Are there any local businesses that can make a dupe of this cookie?
A-NEO-104	NEO	13.16	xcomet_noisy 84.9 but NTA miss	导航有的时候真的太坑了，没开过真的会很害怕	Sometimes navigation can be really misleading; if you haven't driven before, it can be quite scary.
A-NEO-157	NEO	12.34	xcomet_noisy 93.2 but NTA miss	妈耶🆘神仙阵容‼️孙艺珍❌池昌旭新剧爱了🔥	OMG 🆘 What a divine cast‼️ I love the new drama with Son Ye-jin and Ji Chang-wook 🔥
A-NEO-133	NEO	12.25	xcomet_noisy 92.1 but NTA miss	今日份晒澳白珍珠戒指	Showing off today's Australian white pearl ring.
A-NEO-210	NEO	11.69	xcomet_noisy 93.4 but NTA miss	2024🇹🇭曼谷米其林摘星🌟之旅全攻略	2024 Bangkok Michelin Star Tour Guide
A-NEO-146	NEO	11.66	xcomet_noisy 96.2 but NTA miss	吹爆这四款美食收纳游戏🥳真的太好玩了🤤	These four food storage games are amazing! 🥳 They're really fun to play 🤤
A-HOM-013	HOM	11.61	xcomet_noisy 86.2 but NTA miss	啊！谢谢劳斯！	Ah! Thank you, Laus!
A-PYA-005	PYA	11.33	xcomet_noisy 83.0 but NTA miss	Chuan搭🔴⚪️红白配	Chuan matches red and white.
A-MIX-042	MIX	10.81	xcomet_noisy 81.4 but NTA miss	i人在首尔住到了本命酒店！明洞！值哭😭	I stayed at my favorite hotel in Seoul! Myeongdong! Worth crying over 😭
A-NEO-007	NEO	10.74	xcomet_noisy 84.2 but NTA miss	巴拉巴拉说的啥	What is Balabala talking about?
A-NEO-170	NEO	10.68	xcomet_noisy 82.0 but NTA miss	混血千金感必备灰色美瞳	A mixed-race heiress feels that gray colored contact lenses are essential.
A-MIX-018	MIX	10.43	xcomet_noisy 90.7 but NTA miss	𝙡𝙞𝙫𝙚清清爽爽的幸福瞬间🐚🌾🍄‍🟫	Live the fresh and clear moments of happiness.
A-NEO-128	NEO	10.35	xcomet_noisy 95.4 but NTA miss	幸福到冒泡🫧	Bubbling with happiness.
A-NEO-109	NEO	9.60	xcomet_noisy 90.0 but NTA miss	总发愁自己没客子，不知道怎么起号的可以戳戳我	Always worried about not having customers and not knowing how to start a business, you can reach out to me.
A-NEO-002	NEO	9.28	xcomet_noisy 95.7 but NTA miss	噗哈哈哈还是你6666	Hahaha, you're still the best.
A-NEO-203	NEO	8.85	xcomet_noisy 91.0 but NTA miss	谁说上海跨年没有仪式感，我给你拉爆	Who says there's no sense of ceremony for New Year's Eve in Shanghai? I'll make it spectacular for you.
A-HOM-008	HOM	8.84	xcomet_noisy 80.5 but NTA miss	哈雷哈雷，欢迎欢迎热烈欢迎	Hurray, hurray, welcome, welcome, warmly welcome.
A-NEO-199	NEO	8.83	xcomet_noisy 85.1 but NTA miss	吉隆坡超级无敌避雷的点！	Kuala Lumpur's ultimate lightning-proof spot!
A-MIX-065	MIX	8.68	xcomet_noisy 91.8 but NTA miss	把你的英语作业发给我。我会帮助你。#tiktokrefuge[话题]# #englishhomework[话题]#	Send me your English homework. I will help you.
A-NEO-041	NEO	8.50	xcomet_noisy 90.2 but NTA miss	老师我也想要你	Teacher, I want you too.
A-NEO-238	NEO	8.41	xcomet_noisy 84.5 but NTA miss	发尾乱乱的有点二次元感	The messy hair tips have a bit of a two-dimensional feel.
A-NEO-071	NEO	8.37	xcomet_noisy 86.3 but NTA miss	蹲反馈。甜不甜	Squat feedback. Is it sweet?
A-PYA-014	PYA	7.88	xcomet_noisy 81.0 but NTA miss	a萍五官挺好的	Ping's facial features are quite good.
A-NEO-070	NEO	7.69	xcomet_noisy 90.9 but NTA miss	蹲一下🐍	Squat down for a moment 🐍
A-NEO-061	NEO	7.67	xcomet_noisy 82.6 but NTA miss	目前估7️⃣1️⃣0️⃣💼邮不包手续费	Currently estimated at 710, excluding handling fees.
