uid	category	xcomet_noisy	xcomet_clean	xcomet_d	kiwi_noisy	kiwi_clean	kiwi_d	nta_noisy	nta_clean	nta_d	src_noisy	hyp_noisy	src_clean	hyp_clean	ref_en
A-HOM-001	HOM	73.93	93.27	19.34	72.64	79.05	6.41	0	100	100	广0王，我也是	Guang 0 Wang, me too.	广陵王，我也是	Prince of Guangling, I am too.	Prince of Guangling, same here.
A-HOM-002	HOM	90.75	99.41	8.66	81.91	85.95	4.04	0	100	100	3Q 祝你新年快乐 🎊🐍	3Q Happy New Year 🎊🐍	谢谢 祝你新年快乐 🎊🐍	Thank you. Wishing you a Happy New Year! 🎊🐍	Thanks! Happy New Year 🎊🐍
A-HOM-003	HOM	89.99	97.81	7.82	83.22	84.71	1.49	0	100	100	我的玛雅太美了	My Maya is so beautiful.	我的妈呀太美了	Oh my god, it's so beautiful!	Oh my God, mine is so beautiful!
A-HOM-004	HOM	91.05	92.76	1.70	65.27	71.57	6.30	100	100	0	有顺风顺水顺财神的郝性头像吗？	Is there a profile picture with the surname Hao that symbolizes smooth sailing, good fortune, and wealth?	有顺风顺水顺财神的郝姓头像吗？	Is there a profile picture with the surname Hao that symbolizes smooth sailing, good fortune, and wealth?	Does anyone have a profile picture with the surname Hao that brings smooth sailing and the God of Wealth?
A-HOM-005	HOM	87.96	88.13	0.17	79.82	74.37	-5.45	0	0	0	➗25家政 15洗衣  10洗车	➗25 Housekeeping 15 Laundry 10 Car Wash	出售25家政 15洗衣  10洗车	Sell 25 housekeeping, 15 laundry, 10 car wash	Selling: housekeeping 25, laundry 15, car wash 10.
A-HOM-006	HOM	76.62	98.33	21.71	78.99	84.10	5.11	0	100	100	马牙，谢谢劳斯🥺❤️❤️❤️	Ma Ya, thank you, boss 🥺❤️❤️❤️	妈呀，谢谢老师🥺❤️❤️❤️	Oh my god, thank you, teacher 🥺❤️❤️❤️	Oh my God, thank you, teacher 🥺❤️❤️❤️
A-HOM-007	HOM	86.25	100.00	13.75	72.49	83.64	11.15	0	100	100	似吧我不拦你	Seems fine, I won't stop you.	死吧我不拦你	Go ahead and die, I won't stop you.	Go die if you want—I won't stop you.
A-HOM-008	HOM	79.26	89.88	10.62	73.83	74.10	0.27	0	100	100	哈雷哈雷，欢迎欢迎热烈欢迎	Harley Harley, welcome, welcome, warmly welcome.	你好你好，欢迎欢迎热烈欢迎	Hello, hello, welcome, welcome, a warm welcome.	Hello, hello—a very warm welcome!
A-HOM-009	HOM	52.93	90.76	37.82	44.19	70.00	25.81	0	0	0	国际大厦比	International Building than	国际大傻逼	International big dumbass	A world-class dumbass.
A-HOM-010	HOM	75.00	88.97	13.97	68.04	73.82	5.78	0	0	0	啊啊啊啊给青兰ee吃	Ahhh, give it to Qinglan ee to eat.	啊啊啊啊给青兰阿姨吃	Ahhh, give it to Aunt Qinglan to eat.	Give Auntie Qinglan something to eat!
