uid	category	xcomet_noisy	xcomet_clean	xcomet_d	kiwi_noisy	kiwi_clean	kiwi_d	nta_noisy	nta_clean	nta_d	src_noisy	hyp_noisy	src_clean	hyp_clean	ref_en
B-HOM-001	HOM	88.81	97.78	8.97	61.32	84.10	22.78	0	100	100	酱紫也行？那我也试试	Is that okay too? Then I'll give it a try.	这样子也行？那我也试试	This works too? Then I'll give it a try.	this works? then let me try too
B-HOM-002	HOM	98.62	99.77	1.15	62.84	81.64	18.80	0	0	0	你怎么酱紫说话，人家会误会的	Why do you talk like that? People will misunderstand.	你怎么这样子说话，人家会误会的	Why do you talk like that? People will misunderstand.	why do you talk like that, people will misunderstand
B-HOM-003	HOM	100.00	100.00	0.00	82.88	83.26	0.37	0	0	0	各位童鞋注意了，期末考试要来了	Attention, students, final exams are coming.	各位同学注意了，期末考试要来了	Attention students, final exams are coming.	attention classmates, final exams are coming
B-HOM-004	HOM	90.90	95.92	5.02	77.79	81.03	3.24	0	100	100	童鞋们帮我看看这道题怎么做	Kids, help me figure out how to do this problem.	同学们帮我看看这道题怎么做	Classmates, can you help me figure out how to do this problem?	classmates help me figure out this problem
B-HOM-005	HOM	94.69	97.01	2.33	71.02	82.53	11.51	100	100	0	我真的好稀饭这个博主，太搞笑了	I really like this blogger, they're so funny.	我真的好喜欢这个博主，太搞笑了	I really like this blogger, they're so funny.	I really like this creator, too funny
B-HOM-006	HOM	90.07	97.45	7.38	62.83	86.91	24.09	0	0	0	你是不是稀饭我？直说嘛	Are you in love with me? Just say it.	你是不是喜欢我？直说嘛	Are you in love with me? Just say it.	do you like me? just say it
B-HOM-007	HOM	94.55	95.07	0.52	74.78	83.51	8.73	100	100	0	今天又是杯具的一天，出门忘带钥匙	Today is another tragic day; I forgot my keys when I left the house.	今天又是悲剧的一天，出门忘带钥匙	Today is another tragic day; I forgot my keys when I left home.	another tragic day, forgot my keys going out
B-HOM-008	HOM	91.77	100.00	8.23	53.73	84.30	30.57	100	100	0	人生就是一个杯具接着一个杯具	Life is just one tragedy after another.	人生就是一个悲剧接着一个悲剧	Life is just one tragedy after another.	life is one tragedy after another
B-HOM-009	HOM	93.31	96.60	3.29	62.86	81.25	18.39	100	100	0	游戏过于神金，不确定先从哪里笑起	The game is too crazy/bonkers, I don't know where to start laughing.	游戏过于神经，不确定先从哪里笑起	The game is too crazy, I don't know where to start laughing.	this game is so unhinged, not sure where to start laughing
B-HOM-010	HOM	91.16	89.42	-1.74	62.30	63.05	0.75	100	100	0	都说我做饭神金，今天就做神金给你们吃	Everyone says I'm crazy about cooking, so today I'll cook something crazy for you to eat.	都说我做饭神经，今天就做神经给你们吃	They all say I'm crazy about cooking, so today I'll cook up some crazy for you to eat.	y'all say I'm crazy in the kitchen, so today I'm cooking crazy for you
B-HOM-011	HOM	97.12	95.70	-1.42	62.20	81.51	19.31	100	0	-100	世界上最神金的行为	The most insane behavior in the world	世界上最神经的行为	The craziest behavior in the world	the most unhinged behavior in the world
B-HOM-012	HOM	73.51	75.54	2.03	49.97	56.32	6.35	0	0	0	被这离谱的主播笑拥了	I was laughing so hard at this ridiculous streamer.	被这离谱的主播笑晕了	I was cracking up at this ridiculous streamer.	I'm dead from this absurd streamer
B-HOM-013	HOM	56.01	91.65	35.64	57.98	71.06	13.08	0	0	0	笑拥了！带货主播推荐的迷惑水果太离谱了吧	I'm sold! The confusing fruits recommended by the live-streamer are too outrageous, right?	笑晕了！带货主播推荐的迷惑水果太离谱了吧	I'm dying of laughter! The confusing fruits recommended by the live-streamer are too outrageous!	I’m dying laughing! Those weird fruits promoted by live stream sales hosts are ridiculous.
B-HOM-014	HOM	80.75	93.06	12.31	76.03	76.75	0.72	0	0	0	新来的00后程序员写的代码，看到这段注释真的快把我笑拥了	The code written by the new Gen Z programmer, this comment really made me laugh so hard I almost hugged myself.	新来的00后程序员写的代码，看到这段注释真的快把我笑晕了	The code written by the new Gen Z programmer, this comment really made me laugh out loud.	the new Gen Z programmer's code, seeing this comment almost killed me laughing
B-HOM-016	NEO	92.87	92.62	-0.25	58.48	68.64	10.16	0	0	0	考试没复习直接寄，明年再来	I failed the exam because I didn't study for it. I'll try again next year.	考试没复习直接完了，明年再来	The exam was a disaster because I didn't study; I'll try again next year.	didn't study for the exam, it's over, see you next year
B-HOM-018	HOM	72.62	80.66	8.04	35.85	46.68	10.83	0	0	0	火钳流明，这帖子要火	The post is going to be popular.	火前留名，这帖子要火	Marking my spot before this post goes viral.	leaving a name before this blows up, this post is about to go viral
B-HOM-019	HOM	87.62	96.59	8.97	55.08	85.31	30.23	0	0	0	雀食好笑，不骗你	It's really funny, I'm not lying to you.	确实好笑，不骗你	It's really funny, no kidding.	it's genuinely funny, no cap
