uid	category	xcomet_noisy	xcomet_clean	xcomet_d	kiwi_noisy	kiwi_clean	kiwi_d	nta_noisy	nta_clean	nta_d	src_noisy	hyp_noisy	src_clean	hyp_clean	ref_en
B-HOM-001	HOM	89.22	96.07	6.85	60.06	83.73	23.67	0	0	0	酱紫也行？那我也试试	Is this okay too? Then I'll give it a try.	这样子也行？那我也试试	Is this okay? Then I'll give it a try too.	this works? then let me try too
B-HOM-002	HOM	97.72	99.76	2.04	60.95	82.28	21.33	100	0	-100	你怎么酱紫说话，人家会误会的	Why are you speaking like this? People might misunderstand.	你怎么这样子说话，人家会误会的	Why do you speak like that? People might misunderstand.	why do you talk like that, people will misunderstand
B-HOM-003	HOM	99.49	99.87	0.38	80.72	84.16	3.44	0	0	0	各位童鞋注意了，期末考试要来了	Attention everyone, the final exams are coming.	各位同学注意了，期末考试要来了	Attention, students, the final exams are coming.	attention classmates, final exams are coming
B-HOM-004	HOM	98.33	99.05	0.73	82.87	83.59	0.72	100	100	0	童鞋们帮我看看这道题怎么做	Classmates, please help me see how to solve this problem.	同学们帮我看看这道题怎么做	Classmates, please help me see how to solve this problem.	classmates help me figure out this problem
B-HOM-005	HOM	94.69	97.01	2.33	71.02	82.53	11.51	100	100	0	我真的好稀饭这个博主，太搞笑了	I really like this blogger, they're so funny.	我真的好喜欢这个博主，太搞笑了	I really like this blogger, they're so funny.	I really like this creator, too funny
B-HOM-006	HOM	87.93	100.00	12.07	70.73	83.72	12.99	0	100	100	你是不是稀饭我？直说嘛	Do you have a crush on me? Just say it.	你是不是喜欢我？直说嘛	Do you like me or not? Just say it.	do you like me? just say it
B-HOM-007	HOM	95.29	97.78	2.49	74.66	83.19	8.53	100	100	0	今天又是杯具的一天，出门忘带钥匙	Today is another tragic day; I forgot to bring my keys when I went out.	今天又是悲剧的一天，出门忘带钥匙	Today is another tragic day; I forgot to bring my keys when I went out.	another tragic day, forgot my keys going out
B-HOM-008	HOM	91.77	100.00	8.23	53.73	84.30	30.57	100	100	0	人生就是一个杯具接着一个杯具	Life is just one tragedy after another.	人生就是一个悲剧接着一个悲剧	Life is just one tragedy after another.	life is one tragedy after another
B-HOM-009	HOM	84.78	90.70	5.92	64.31	79.34	15.03	0	0	0	游戏过于神金，不确定先从哪里笑起	The game is too divine, not sure where to start laughing.	游戏过于神经，不确定先从哪里笑起	The game is too nerve-wracking, not sure where to start laughing.	this game is so unhinged, not sure where to start laughing
B-HOM-010	HOM	88.09	94.22	6.13	78.03	68.39	-9.64	0	100	100	都说我做饭神金，今天就做神金给你们吃	Everyone says I'm a cooking genius, so today I'll make something amazing for you to eat.	都说我做饭神经，今天就做神经给你们吃	Everyone says I'm crazy about cooking, so today I'll cook something crazy for you.	y'all say I'm crazy in the kitchen, so today I'm cooking crazy for you
