uid	category	xcomet_noisy	xcomet_clean	xcomet_d	kiwi_noisy	kiwi_clean	kiwi_d	nta_noisy	nta_clean	nta_d	src_noisy	hyp_noisy	src_clean	hyp_clean	ref_en
B-HOM-001	HOM	93.43	95.32	1.89	64.40	83.72	19.32	0	0	0	酱紫也行？那我也试试	That's okay? Then I'll try it too.	这样子也行？那我也试试	That's okay? Then I'll try too.	this works? then let me try too
B-HOM-002	HOM	97.44	99.45	2.01	64.28	81.82	17.54	0	0	0	你怎么酱紫说话，人家会误会的	How can you talk like that? Others might misunderstand.	你怎么这样子说话，人家会误会的	Why do you speak like that? Others might misunderstand.	why do you talk like that, people will misunderstand
B-HOM-003	HOM	96.96	97.62	0.65	81.72	83.17	1.45	0	0	0	各位童鞋注意了，期末考试要来了	Everyone, pay attention—the final exam is coming.	各位同学注意了，期末考试要来了	Everyone, pay attention, the final exam is coming.	attention classmates, final exams are coming
B-HOM-004	HOM	95.30	78.68	-16.62	81.56	66.32	-15.24	0	0	0	童鞋们帮我看看这道题怎么做	Kids, help me see how to solve this problem.	同学们帮我看看这道题怎么做	Please help me check how to solve this problem,同学们.	classmates help me figure out this problem
B-HOM-005	HOM	95.21	96.44	1.23	72.52	83.11	10.59	100	100	0	我真的好稀饭这个博主，太搞笑了	I really love this blogger; they're so funny.	我真的好喜欢这个博主，太搞笑了	I really like this blogger a lot; they're so funny.	I really like this creator, too funny
B-HOM-006	HOM	93.51	98.72	5.21	62.01	85.58	23.57	100	100	0	你是不是稀饭我？直说嘛	Do you like me? Just say it straight.	你是不是喜欢我？直说嘛	Do you like me? Just say it straight.	do you like me? just say it
B-HOM-007	HOM	92.34	98.36	6.02	71.77	82.81	11.04	0	100	100	今天又是杯具的一天，出门忘带钥匙	Another day of mishaps, forgot my keys when leaving the house.	今天又是悲剧的一天，出门忘带钥匙	Today is another tragic day, I forgot my keys when I went out.	another tragic day, forgot my keys going out
B-HOM-008	HOM	81.90	96.81	14.91	48.74	83.83	35.08	0	100	100	人生就是一个杯具接着一个杯具	Life is one cup disaster after another.	人生就是一个悲剧接着一个悲剧	Life is a tragedy after another tragedy.	life is one tragedy after another
B-HOM-009	HOM	84.62	91.17	6.55	61.99	79.37	17.38	0	0	0	游戏过于神金，不确定先从哪里笑起	The game is too godlike; unsure where to start laughing.	游戏过于神经，不确定先从哪里笑起	The game is too nerve-wracking; unsure where to start laughing.	this game is so unhinged, not sure where to start laughing
B-HOM-010	HOM	75.07	93.35	18.28	74.11	70.64	-3.47	0	100	100	都说我做饭神金，今天就做神金给你们吃	Everyone says I'm a god at cooking, so today I'll make godly dishes for you to eat.	都说我做饭神经，今天就做神经给你们吃	They all say I'm crazy when it comes to cooking, so today I'll cook something really crazy for you.	y'all say I'm crazy in the kitchen, so today I'm cooking crazy for you
B-HOM-011	HOM	85.51	91.75	6.24	63.30	82.61	19.31	0	0	0	世界上最神金的行为	The most divine act in the world	世界上最神经的行为	The most neurotic behavior in the world	the most unhinged behavior in the world
B-HOM-012	HOM	68.99	77.64	8.65	51.39	70.33	18.94	0	0	0	被这离谱的主播笑拥了	Was laughed at by this absurd streamer.	被这离谱的主播笑晕了	I was so stunned by this ridiculous streamer's laughter that I fainted.	I'm dead from this absurd streamer
B-HOM-013	HOM	76.33	92.65	16.32	65.23	74.41	9.18	0	0	0	笑拥了！带货主播推荐的迷惑水果太离谱了吧	Laughing! The confusing fruits recommended by the live-streaming host are absolutely ridiculous.	笑晕了！带货主播推荐的迷惑水果太离谱了吧	I'm laughing so hard! The confusing fruits recommended by the live-streaming sales host are absolutely ridiculous!	I’m dying laughing! Those weird fruits promoted by live stream sales hosts are ridiculous.
B-HOM-014	HOM	84.11	87.59	3.48	74.75	78.55	3.80	0	0	0	新来的00后程序员写的代码，看到这段注释真的快把我笑拥了	The code written by the new 00s-born programmer made me almost laugh out of my socks when I saw this comment.	新来的00后程序员写的代码，看到这段注释真的快把我笑晕了	The code written by the new 00s-born programmer made me almost faint from laughing when I saw this comment.	the new Gen Z programmer's code, seeing this comment almost killed me laughing
B-HOM-016	NEO	79.80	78.00	-1.80	73.28	72.87	-0.41	0	0	0	考试没复习直接寄，明年再来	Take the exam without reviewing and just submit it; come back next year.	考试没复习直接完了，明年再来	I didn't review for the exam and just finished it; I'll take it again next year.	didn't study for the exam, it's over, see you next year
B-HOM-018	HOM	71.84	84.67	12.83	49.97	58.48	8.51	0	0	0	火钳流明，这帖子要火	Fire钳流明, this post is going to go viral.	火前留名，这帖子要火	Leave a name before the post goes viral.	leaving a name before this blows up, this post is about to go viral
B-HOM-019	HOM	62.86	86.79	23.93	49.72	81.38	31.66	0	0	0	雀食好笑，不骗你	It's funny how they nibble at the crumbs, don't worry.	确实好笑，不骗你	It's really funny, don't worry.	it's genuinely funny, no cap
B-HOM-021	HOM	88.52	97.65	9.12	72.03	84.71	12.68	0	100	100	沃草，这无人机表演太震撼了	Woca, this drone show was absolutely amazing!	我操，这无人机表演太震撼了	Damn, that drone show was amazing!	holy crap, this drone show is insane
