model	HOM_n	HOM_xcomet_delta	HOM_nta_delta	PYA_n	PYA_xcomet_delta	PYA_nta_delta	NEO_n	NEO_xcomet_delta	NEO_nta_delta	MIX_n	MIX_xcomet_delta	MIX_nta_delta
nllb-3.3b	17	8.68	35.29	15	11.93	6.67	191	13.00	10.99	44	3.67	-25.00
google-translate	17	12.38	52.94	15	5.11	6.67	191	7.11	11.52	44	3.76	-15.91
qwen3-1.7b	17	12.18	47.06	15	7.03	6.67	191	6.74	14.14	44	2.31	-15.91
qwen3-8b	17	9.53	47.06	15	8.06	20.00	191	8.71	9.95	44	3.50	-18.18
qwen3-32b	17	13.38	58.82	15	6.92	26.67	191	6.81	11.52	44	4.07	-18.18
gpt-4o	17	10.91	35.29	15	9.49	20.00	191	6.40	9.42	44	3.09	-11.36
gemini	17	9.47	47.06	15	9.33	13.33	191	5.92	5.24	44	4.36	-20.45
aya-101	17	15.86	23.53	15	9.85	-20.00	191	8.04	9.42	44	0.93	-20.45
aya-expanse-8b	17	15.72	58.82	15	14.47	20.00	191	11.22	14.14	44	3.09	-15.91
deepseek	17	10.47	47.06	15	5.55	6.67	191	5.82	3.66	44	2.63	-9.09
gemma3-12b	17	8.23	47.06	15	9.49	13.33	191	8.42	16.23	44	3.60	-15.91
gemma3-27b	17	12.99	47.06	15	11.90	-6.67	191	9.87	7.85	44	1.63	-15.91
gemma3-4b	17	11.73	41.18	15	8.89	0.00	191	9.38	12.04	44	1.94	0.00
gemmax2-9b	17	14.47	41.18	15	6.28	-13.33	191	7.46	8.90	44	3.63	-22.73
hunyuan-mt-7b	17	10.89	70.59	15	12.08	0.00	191	8.05	18.32	44	3.98	-9.09
qwen3-0.6b	17	10.30	29.41	15	4.16	-6.67	191	7.65	8.38	44	4.63	-15.91
qwen3-14b	17	12.27	58.82	15	7.17	13.33	191	7.56	13.61	44	4.11	-18.18
qwen3-4b	17	10.26	35.29	15	8.46	0.00	191	8.55	11.52	44	2.20	-25.00
