uid	category	xcomet_noisy	xcomet_clean	xcomet_d	kiwi_noisy	kiwi_clean	kiwi_d	nta_noisy	nta_clean	nta_d	src_noisy	hyp_noisy	src_clean	hyp_clean	ref_en
B-HOM-001	HOM	85.55	94.91	9.37	63.18	84.50	21.32	0	0	0	酱紫也行？那我也试试	How about “Jiang Zi” (a color name in Chinese)? Then I’ll give it a try too.	这样子也行？那我也试试	Is that okay too? Then I’ll give it a try as well.	this works? then let me try too
B-HOM-002	HOM	98.40	98.93	0.53	67.50	83.13	15.64	0	0	0	你怎么酱紫说话，人家会误会的	How can you talk like that? People might misunderstand you!	你怎么这样子说话，人家会误会的	How can you talk like that? People might misunderstand you.	why do you talk like that, people will misunderstand
B-HOM-003	HOM	99.62	99.84	0.22	82.64	83.63	0.98	0	0	0	各位童鞋注意了，期末考试要来了	Attention all students! The final exams are approaching!	各位同学注意了，期末考试要来了	Attention all students, the final exams are approaching!	attention classmates, final exams are coming
B-HOM-004	HOM	96.57	100.00	3.43	82.00	84.58	2.58	0	100	100	童鞋们帮我看看这道题怎么做	Kids, can you help me figure out how to solve this problem?	同学们帮我看看这道题怎么做	Classmates, please help me figure out how to solve this problem.	classmates help me figure out this problem
B-HOM-005	HOM	95.69	97.56	1.87	72.97	83.29	10.31	100	100	0	我真的好稀饭这个博主，太搞笑了	I really love this blogger; they’re so funny!	我真的好喜欢这个博主，太搞笑了	I really like this blogger; they’re so funny!	I really like this creator, too funny
B-HOM-006	HOM	94.27	99.12	4.85	59.93	86.18	26.25	100	100	0	你是不是稀饭我？直说嘛	Do you like me? Just tell me!	你是不是喜欢我？直说嘛	Do you like me? Just tell me.	do you like me? just say it
B-HOM-007	HOM	94.44	94.43	-0.01	79.17	83.76	4.59	0	100	100	今天又是杯具的一天，出门忘带钥匙	Today was yet another frustrating day: I forgot to bring my keys when I left home.	今天又是悲剧的一天，出门忘带钥匙	Today is yet another tragic day: I forgot to bring my keys when I left home.	another tragic day, forgot my keys going out
B-HOM-008	HOM	91.46	100.00	8.54	66.06	84.30	18.24	0	100	100	人生就是一个杯具接着一个杯具	Life is just one misfortune after another.	人生就是一个悲剧接着一个悲剧	Life is just one tragedy after another.	life is one tragedy after another
B-HOM-009	HOM	95.58	95.77	0.19	66.72	81.06	14.35	0	0	0	游戏过于神金，不确定先从哪里笑起	The game is just too ridiculous… I don’t know where to start laughing first.	游戏过于神经，不确定先从哪里笑起	The game is just too ridiculous… I don’t know where to start laughing first.	this game is so unhinged, not sure where to start laughing
B-HOM-010	HOM	90.31	85.84	-4.47	74.28	59.72	-14.56	0	0	0	都说我做饭神金，今天就做神金给你们吃	Everyone says I’m a genius in cooking; today, I’ll show you what a real genius can do by preparing some amazing food for you.	都说我做饭神经，今天就做神经给你们吃	Everyone says I’m a mess when it comes to cooking, so today I’ll cook something “neurotic” for you to eat.	y'all say I'm crazy in the kitchen, so today I'm cooking crazy for you
B-HOM-011	HOM	76.93	91.75	14.82	48.75	82.61	33.86	0	0	0	世界上最神金的行为	The most incredible, golden (or “golden” in a metaphorical sense) act in the world…	世界上最神经的行为	The most neurotic behavior in the world	the most unhinged behavior in the world
B-HOM-012	HOM	62.54	73.52	10.98	70.82	79.42	8.60	0	0	0	被这离谱的主播笑拥了	I was embraced by the laughter of this outrageous broadcaster.	被这离谱的主播笑晕了	I was so amused by that ridiculous broadcaster that I almost passed out laughing.	I'm dead from this absurd streamer
B-HOM-013	HOM	68.17	91.07	22.90	63.81	74.56	10.74	0	0	0	笑拥了！带货主播推荐的迷惑水果太离谱了吧	Haha, I got it! The confusing fruits recommended by that live-streaming seller are just too ridiculous!	笑晕了！带货主播推荐的迷惑水果太离谱了吧	I almost died of laughing! The confusing fruits recommended by that live-streaming salesperson are just too ridiculous!	I’m dying laughing! Those weird fruits promoted by live stream sales hosts are ridiculous.
B-HOM-014	HOM	93.18	92.36	-0.82	77.80	79.23	1.43	0	0	0	新来的00后程序员写的代码，看到这段注释真的快把我笑拥了	The code written by this new programmer born in the 2000s… Reading this comment really made me laugh out loud!	新来的00后程序员写的代码，看到这段注释真的快把我笑晕了	The code written by this new programmer, who was born in the 2000s, made me laugh so hard when I saw this comment.	the new Gen Z programmer's code, seeing this comment almost killed me laughing
B-HOM-016	NEO	77.40	81.51	4.10	69.28	77.31	8.03	0	0	0	考试没复习直接寄，明年再来	The exam was sent without any review; I’ll try again next year.	考试没复习直接完了，明年再来	I finished the exam without reviewing at all; I’ll try again next year.	didn't study for the exam, it's over, see you next year
B-HOM-018	HOM	59.56	79.47	19.90	42.34	64.90	22.56	0	0	0	火钳流明，这帖子要火	“Tongs lumens” – this post is going to be a huge hit!	火前留名，这帖子要火	“Leave your name by the fire”; this post is going to be a huge hit!	leaving a name before this blows up, this post is about to go viral
B-HOM-019	HOM	84.42	94.68	10.26	65.69	81.65	15.96	0	0	0	雀食好笑，不骗你	Bird feed is really funny, I’m not kidding you.	确实好笑，不骗你	It’s really funny, I’m not lying.	it's genuinely funny, no cap
B-HOM-021	HOM	97.38	96.56	-0.82	82.99	84.01	1.03	0	100	100	沃草，这无人机表演太震撼了	Wow, that drone performance was absolutely stunning!	我操，这无人机表演太震撼了	Damn, that drone performance was absolutely breathtaking!	holy crap, this drone show is insane
B-HOM-023	HOM	77.73	92.29	14.57	50.90	52.32	1.41	0	100	100	你想peach呢，哪有这么好的事	You want to “peach” (imply that something is too good to be true), but there’s no such thing as something being that good really.	你想屁吃呢，哪有这么好的事	You must be dreaming; there’s no such good thing happening.	you're dreaming, how can something that good happen
B-HOM-024	HOM	95.30	96.65	1.36	80.57	84.94	4.37	100	100	0	别虾扯蛋了，老师说的都是真的吗	Stop talking nonsense—Is everything the teacher said really true?	别瞎扯淡了，老师说的都是真的吗	Stop talking nonsense—Is everything the teacher said really true?	stop talking BS, is what the teacher said even true
B-HOM-025	HOM	79.94	84.51	4.57	53.65	59.86	6.22	0	0	0	先报上自己的分数啊搞辣菜	Let me report my own score first… Oh, this is really tricky!	先报上自己的分数啊搞拉踩	Let me report my own score first… Then we can start comparing and criticizing each other.	dropping your score first before throwing shade smh
B-HOM-026	HOM	70.20	88.19	17.99	52.51	72.17	19.66	0	0	0	蚌埠住了，腾讯这泄密处理速度也太快了吧	Beibuh has been affected; Tencent’s response to the data breach was really too quick.	绷不住了，腾讯这泄密处理速度也太快了吧	I can’t help but laugh – Tencent’s response to the data breach was really too quick!	I can't hold it in anymore, Tencent's speed in handling this leak is just too fast
B-HOM-027	HOM	85.70	76.24	-9.46	76.46	79.83	3.37	0	0	0	嗷利给，西班牙第一了	Wow, Spain has taken first place!	奥利给，西班牙第一了	Ole! Spain is number one!	Aigoo Spain took first place let's gooo
B-HOM-028	HOM	74.14	80.24	6.11	46.65	78.45	31.80	0	0	0	这配置针不戳，性价比拉满	This configuration is excellent; it offers the best possible value for money.	这配置真不错，性价比拉满	This configuration is really great; it offers excellent value for money.	This setup slaps, value for money off the charts
B-HOM-029	HOM	48.08	66.53	18.45	59.87	65.15	5.28	0	0	0	赛里木湖这操作针不戳啊，景区打人还能辞退就完事了？	Sailimu Lake… That kind of behavior really shouldn’t be tolerated. If someone assaults people in a tourist area, they should just get fired and that’s it?	赛里木湖这操作真不错啊，景区打人还能辞退就完事了？	That’s really impressive with Lake Saimurum. Just because someone gets beaten in the tourist area, they can be fired and that’s the end of it?	Sarim Lake's handling is just great, beating people at a scenic spot and just firing them is that it?
B-HOM-030	HOM	64.59	98.55	33.96	53.26	79.54	26.28	0	0	0	蚌埠住了，这也太好笑了吧	Beibuh has settled down… That’s really too funny, isn’t it?	绷不住了，这也太好笑了吧	I can’t help it – this is just too funny!	bruh I can't hold it in this is too funny lmao
