model	term	estimate	ci_lo	ci_hi	excludes_zero
aya-101	intercept	11.82	8.84	14.99	yes
aya-101	cat=PYA	-8.02	-12.15	-3.79	yes
aya-101	cat=NEO	-2.59	-6.52	1.03	
aya-101	cat=MIX	-13.13	-17.03	-9.43	yes
aya-101	length_z	-1.39	-2.61	-0.24	yes
aya-101	editdist_z	0.29	-1.23	1.63	
aya-expanse-8b	intercept	12.64	9.51	15.98	yes
aya-expanse-8b	cat=PYA	-9.20	-13.99	-4.52	yes
aya-expanse-8b	cat=NEO	-2.67	-6.59	1.40	
aya-expanse-8b	cat=MIX	-10.68	-14.72	-6.64	yes
aya-expanse-8b	length_z	-2.30	-3.79	-0.99	yes
aya-expanse-8b	editdist_z	0.21	-1.43	1.63	
deepseek	intercept	6.08	3.99	8.14	yes
deepseek	cat=PYA	-4.56	-7.18	-1.87	yes
deepseek	cat=NEO	-2.88	-5.34	-0.43	yes
deepseek	cat=MIX	-7.00	-9.62	-4.37	yes
deepseek	length_z	-1.08	-1.72	-0.35	yes
deepseek	editdist_z	0.54	-0.38	1.57	
gemini	intercept	7.68	5.58	9.88	yes
gemini	cat=PYA	-6.08	-9.00	-3.36	yes
gemini	cat=NEO	-2.96	-5.73	-0.45	yes
gemini	cat=MIX	-8.98	-11.91	-6.40	yes
gemini	length_z	-0.76	-1.54	0.07	
gemini	editdist_z	0.92	-0.00	2.04	
gemma3-12b	intercept	10.30	7.85	12.88	yes
gemma3-12b	cat=PYA	-8.75	-11.84	-5.75	yes
gemma3-12b	cat=NEO	-4.26	-7.56	-1.04	yes
gemma3-12b	cat=MIX	-10.80	-14.01	-7.71	yes
gemma3-12b	length_z	-0.85	-1.86	0.11	
gemma3-12b	editdist_z	0.95	-0.06	2.18	
gemma3-27b	intercept	11.87	8.65	15.03	yes
gemma3-27b	cat=PYA	-6.71	-10.75	-2.59	yes
gemma3-27b	cat=NEO	-3.29	-7.34	0.61	
gemma3-27b	cat=MIX	-12.39	-16.39	-8.47	yes
gemma3-27b	length_z	-2.71	-4.01	-1.56	yes
gemma3-27b	editdist_z	1.96	0.50	3.72	yes
gemma3-4b	intercept	9.23	6.39	12.00	yes
gemma3-4b	cat=PYA	-7.47	-11.48	-3.43	yes
gemma3-4b	cat=NEO	-1.84	-5.50	1.59	
gemma3-4b	cat=MIX	-8.60	-12.29	-5.04	yes
gemma3-4b	length_z	-1.30	-2.48	-0.25	yes
gemma3-4b	editdist_z	1.03	-0.39	2.61	
gemmax2-9b	intercept	10.87	8.31	13.56	yes
gemmax2-9b	cat=PYA	-6.75	-9.89	-3.42	yes
gemmax2-9b	cat=NEO	-3.28	-6.76	-0.09	yes
gemmax2-9b	cat=MIX	-11.32	-14.63	-8.28	yes
gemmax2-9b	length_z	-1.07	-2.13	-0.06	yes
gemmax2-9b	editdist_z	0.86	-0.25	2.01	
google-translate	intercept	11.09	8.74	13.57	yes
google-translate	cat=PYA	-8.12	-11.23	-5.17	yes
google-translate	cat=NEO	-5.50	-8.49	-2.62	yes
google-translate	cat=MIX	-11.72	-14.81	-8.88	yes
google-translate	length_z	-1.61	-2.48	-0.77	yes
google-translate	editdist_z	1.40	0.47	2.61	yes
gpt-4o	intercept	8.39	6.10	10.77	yes
gpt-4o	cat=PYA	-6.30	-8.95	-3.49	yes
gpt-4o	cat=NEO	-3.92	-6.83	-0.98	yes
gpt-4o	cat=MIX	-9.18	-12.07	-6.47	yes
gpt-4o	length_z	-0.91	-1.72	-0.07	yes
gpt-4o	editdist_z	0.79	-0.24	1.83	
hunyuan-mt-7b	intercept	11.50	8.84	14.27	yes
hunyuan-mt-7b	cat=PYA	-7.86	-11.12	-4.65	yes
hunyuan-mt-7b	cat=NEO	-4.92	-8.34	-1.58	yes
hunyuan-mt-7b	cat=MIX	-11.56	-15.03	-8.25	yes
hunyuan-mt-7b	length_z	-0.81	-1.93	0.14	
hunyuan-mt-7b	editdist_z	0.57	-0.63	1.86	
nllb-3.3b	intercept	11.47	7.25	15.57	yes
nllb-3.3b	cat=PYA	-11.56	-16.64	-6.56	yes
nllb-3.3b	cat=NEO	-4.95	-9.98	-0.02	yes
nllb-3.3b	cat=MIX	-12.24	-17.34	-7.08	yes
nllb-3.3b	length_z	-1.59	-3.41	0.18	
nllb-3.3b	editdist_z	0.78	-1.03	2.39	
qwen3-0.6b	intercept	7.78	4.46	10.85	yes
qwen3-0.6b	cat=PYA	-6.25	-10.78	-1.35	yes
qwen3-0.6b	cat=NEO	-2.08	-6.23	2.37	
qwen3-0.6b	cat=MIX	-9.18	-12.99	-4.83	yes
qwen3-0.6b	length_z	-1.96	-3.34	-0.73	yes
qwen3-0.6b	editdist_z	-0.08	-1.46	1.11	
qwen3-1.7b	intercept	10.27	7.30	13.20	yes
qwen3-1.7b	cat=PYA	-9.35	-13.65	-5.14	yes
qwen3-1.7b	cat=NEO	-4.82	-8.66	-1.11	yes
qwen3-1.7b	cat=MIX	-9.91	-13.75	-6.12	yes
qwen3-1.7b	length_z	-0.83	-2.25	0.54	
qwen3-1.7b	editdist_z	0.74	-0.83	2.29	
qwen3-14b	intercept	9.88	7.49	12.30	yes
qwen3-14b	cat=PYA	-6.64	-9.79	-3.64	yes
qwen3-14b	cat=NEO	-4.06	-7.15	-1.09	yes
qwen3-14b	cat=MIX	-10.97	-14.27	-7.90	yes
qwen3-14b	length_z	-1.25	-2.13	-0.40	yes
qwen3-14b	editdist_z	0.71	-0.39	1.82	
qwen3-32b	intercept	10.11	7.55	12.79	yes
qwen3-32b	cat=PYA	-6.57	-9.83	-3.49	yes
qwen3-32b	cat=NEO	-4.01	-7.23	-0.82	yes
qwen3-32b	cat=MIX	-11.73	-15.13	-8.52	yes
qwen3-32b	length_z	-1.36	-2.32	-0.49	yes
qwen3-32b	editdist_z	0.93	-0.14	2.08	
qwen3-4b	intercept	10.55	8.00	13.03	yes
qwen3-4b	cat=PYA	-7.90	-11.16	-4.61	yes
qwen3-4b	cat=NEO	-4.41	-7.69	-1.17	yes
qwen3-4b	cat=MIX	-11.36	-14.64	-8.30	yes
qwen3-4b	length_z	-0.93	-1.93	0.03	
qwen3-4b	editdist_z	0.82	-0.26	1.99	
qwen3-8b	intercept	10.50	8.04	13.03	yes
qwen3-8b	cat=PYA	-7.39	-10.76	-4.06	yes
qwen3-8b	cat=NEO	-4.58	-7.83	-1.44	yes
qwen3-8b	cat=MIX	-12.71	-16.15	-9.41	yes
qwen3-8b	length_z	-0.67	-1.67	0.47	
