uid	category	severity	reasons	src_noisy	hyp_noisy
B-NEO-045	NEO	50.67	xcomet/kiwi Δ disagree by 50.7	他这个人好油腻	He is very fat.
B-NEO-089	NEO	46.93	xcomet/kiwi Δ disagree by 46.9	无论从哪个层面来看，都是吊炸了	Regardless of the degree of their failure, they are absolutely worthless.
B-HOM-081	HOM	46.83	xcomet/kiwi Δ disagree by 46.8	tree 波Q	tree 波Q
B-PYA-073	PYA	46.27	xcomet/kiwi Δ disagree by 46.3	pyq，朋友圈见	你好,你好!
B-PYA-043	PYA	45.56	xcomet/kiwi Δ disagree by 45.6	zqsg追星好累	zqsg追星好累
B-HOM-047	HOM	42.64	xcomet/kiwi Δ disagree by 42.6; xcomet_noisy 82.7 but NTA miss	窝五碎！！！	你好!
B-MIX-009	MIX	40.90	xcomet/kiwi Δ disagree by 40.9	王虹这波演讲直接slay	王虹的演讲直接slay
B-PYA-060	PYA	40.40	xcomet/kiwi Δ disagree by 40.4	cpf又在磕了	CPF is another fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking
B-NEO-059	NEO	39.61	xcomet/kiwi Δ disagree by 39.6; xcomet_noisy 85.5 but NTA miss	破防了	破防了
B-PYA-076	PYA	38.73	xcomet/kiwi Δ disagree by 38.7; xcomet_noisy 80.6 but NTA miss	xswl皇帝的新衣	xswl皇帝的新衣
B-MIX-132	MIX	37.91	xcomet/kiwi Δ disagree by 37.9	天磊：what can I say	天磊:what can I say?
B-PYA-077	PYA	36.41	xcomet/kiwi Δ disagree by 36.4; xcomet_noisy 87.7 but NTA miss	哈哈哈哈哈xswl	哈哈哈哈xswl
B-NEO-054	NEO	36.39	xcomet/kiwi Δ disagree by 36.4; xcomet_noisy 85.2 but NTA miss	被种草了	I'm tempted.
B-HOM-097	HOM	34.62	xcomet/kiwi Δ disagree by 34.6	哈哈哈哈哈，不好意思哈哈哈哈哈没崩住	Sorry, I'm not broken.
B-MIX-095	MIX	33.85	xcomet/kiwi Δ disagree by 33.9	海皇cpu高速运转中……	海皇CPU高速运转中......
B-HOM-001	HOM	33.03	xcomet/kiwi Δ disagree by 33.0; xcomet_noisy 95.0 but NTA miss	酱紫也行？那我也试试	Okay, I'll try that.
B-HOM-076	HOM	31.44	xcomet/kiwi Δ disagree by 31.4	这显卡价格真是辣鸡，还买什么啊	This graphics card is a fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking fucking
B-MIX-058	MIX	30.79	xcomet/kiwi Δ disagree by 30.8	carry全场，带飞	carry all the way, fly away
B-HOM-059	HOM	30.40	xcomet/kiwi Δ disagree by 30.4	麻辣烫我只认元娘娘，口味多好7	麻辣烫我只认元娘娘,口味多好7
B-PYA-022	PYA	28.65	xcomet/kiwi Δ disagree by 28.6	白色真是yyds	White fucking
B-MIX-112	MIX	28.37	xcomet/kiwi Δ disagree by 28.4	我独自拯救一切Pro max	I'm saving everything Pro max.
B-PYA-003	PYA	28.14	xcomet/kiwi Δ disagree by 28.1	xql之间的默契真的绝了	The mutual understanding between xql is really gone.
B-PYA-065	PYA	27.89	xcomet/kiwi Δ disagree by 27.9	bt，时常因为不够bt而觉得跟这个世界格格不入	bt, sometimes feels like being out of touch with the world because of lack of bt
B-HOM-024	HOM	27.84	xcomet/kiwi Δ disagree by 27.8; xcomet_noisy 86.6 but NTA miss	别虾扯蛋了，老师说的都是真的吗	别胡说,老师说的都是真的。
B-MIX-051	MIX	27.63	xcomet/kiwi Δ disagree by 27.6	被nerf了，变弱了	weakened, weakened.
B-HOM-043	HOM	27.44	xcomet/kiwi Δ disagree by 27.4	耗子尾汁，好自为之吧	你自己做吧,不要再问我了。
B-NEO-070	NEO	27.32	xcomet/kiwi Δ disagree by 27.3; xcomet_noisy 93.0 but NTA miss	这波操作属实逆天了	This move is really a waste of time.
B-HOM-044	HOM	26.77	xcomet/kiwi Δ disagree by 26.8; xcomet_noisy 84.8 but NTA miss	这个操作太虾仁了	This is a very stupid operation.
B-NEO-071	NEO	26.61	xcomet/kiwi Δ disagree by 26.6	内卷到头秃，躺平又心慌	心慌,头晕,头痛,头晕,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头痛,头
B-NEO-111	NEO	26.29	xcomet/kiwi Δ disagree by 26.3	双非大学生，还没进厂。光看这个社会环境已经感觉自己燃尽了	双非大学生,还没进厂。光看这个社会环境已经感觉自己燃尽了。
B-PYA-057	PYA	26.13	xcomet/kiwi Δ disagree by 26.1	这俩离不开浓妆美颜强凹ABC	These two cannot be separated from their heavy makeup and a thick ABC.
B-MIX-086	MIX	26.11	xcomet/kiwi Δ disagree by 26.1	绝对音感的正确用法belike	Absolute Soundness Correct Use
B-HOM-038	HOM	25.95	xcomet/kiwi Δ disagree by 25.9	这个颜色灰常好看	This color is really nice.
B-HOM-066	HOM	25.68	xcomet/kiwi Δ disagree by 25.7	博主成功把中二拍成沙子了	The blogger successfully turned a secondary school into a sandbox.
B-MIX-101	MIX	25.28	xcomet/kiwi Δ disagree by 25.3; xcomet_noisy 95.8 but NTA miss	omg！这是谁家的小孩这么有出息啊啊啊啊啊	Whose kid is this?
B-PYA-078	PYA	25.04	xcomet/kiwi Δ disagree by 25.0	真的栓Q了家人们	Really screwed up my family.
B-NEO-082	NEO	25.03	xcomet/kiwi Δ disagree by 25.0	爷青回	爷青回
B-PYA-083	PYA	25.01	xcomet/kiwi Δ disagree by 25.0	她俩要是有cpf这都能当谈过的证据了	If they had a cpf, this could be a proof that they had talked.
B-MIX-138	MIX	24.91	xcomet/kiwi Δ disagree by 24.9	加拉赫上线一年了还在c	一年前,加拉赫上线,还在C
B-PYA-051	PYA	23.70	xcomet/kiwi Δ disagree by 23.7; xcomet_noisy 91.6 but NTA miss	tcl，我真的太菜了	tcl, I'm really lazy.
B-HOM-011	HOM	23.65	xcomet/kiwi Δ disagree by 23.7; xcomet_noisy 82.3 but NTA miss	世界上最神金的行为	The most brilliant thing in the world.
B-NEO-042	NEO	23.03	xcomet/kiwi Δ disagree by 23.0; xcomet_noisy 94.3 but NTA miss	这手机信号拉胯到离谱	This phone signal is really weak.
B-HOM-002	HOM	22.93	xcomet/kiwi Δ disagree by 22.9; xcomet_noisy 85.9 but NTA miss	你怎么酱紫说话，人家会误会的	How do you say that?
B-MIX-105	MIX	22.84	xcomet/kiwi Δ disagree by 22.8; xcomet_noisy 96.2 but NTA miss	回答我，鸟为什么会飞？ Look at my eye, tell me why!	Answer me, why do birds fly?
B-HOM-134	HOM	22.78	xcomet/kiwi Δ disagree by 22.8	我真怕药水一拳给向左打晕过去	I'm afraid of a shot of water to the left.
B-HOM-056	HOM	22.58	xcomet/kiwi Δ disagree by 22.6; xcomet_noisy 86.2 but NTA miss	这里是孙吧忏悔室，一人忏悔一件你觉得最厨神的事	Here is the confessional room, one person confesses one of the most wicked things they have done.
B-MIX-054	MIX	22.28	xcomet/kiwi Δ disagree by 22.3; xcomet_noisy 84.7 but NTA miss	GG了，完了	Okay, I'm done.
B-NEO-044	NEO	22.06	xcomet/kiwi Δ disagree by 22.1	赛里木湖这事太下头了，景区管理太离谱	The affair at the Lake Sariang is very ugly, the management of the park is very strange.
B-NEO-055	NEO	21.99	xcomet/kiwi Δ disagree by 22.0; xcomet_noisy 80.2 but NTA miss	拔草了不买	拔草了不买
B-HOM-006	HOM	21.93	xcomet/kiwi Δ disagree by 21.9	你是不是稀饭我？直说嘛	Do you like me? Just say it.
B-MIX-061	MIX	21.47	xcomet/kiwi Δ disagree by 21.5	solo一下，单挑	Let's solo, let's fight.
B-NEO-013	NEO	21.37	xcomet/kiwi Δ disagree by 21.4	十多块的塔斯汀五件套，横扫我一天班味	a few dollars for a five piece set of tasty, spreads my taste buds all day.
B-MIX-049	MIX	21.33	xcomet/kiwi Δ disagree by 21.3; xcomet_noisy 88.2 but NTA miss	加个buff，变得更强	Add a buff, get stronger.
B-MIX-117	MIX	21.19	xcomet/kiwi Δ disagree by 21.2	妹妹在cos商鞅吗	My sister is at Cos.
B-HOM-096	HOM	21.12	xcomet/kiwi Δ disagree by 21.1	孩好像真的很困了，但是一直被麻麻薅过来薅过去配合拍视频	孩好像真的困了,但是一直被麻麻拖过来拖过去配合拍视频。
B-HOM-054	HOM	21.12	xcomet/kiwi Δ disagree by 21.1; xcomet_noisy 80.7 but NTA miss	窝巢，这也太厉害了吧	窝巢,这真是太棒了吧!
B-HOM-052	HOM	20.88	xcomet/kiwi Δ disagree by 20.9	笑鼠了！一会抛梗一会接梗	笑鼠了!一会抛梗一会接梗
B-NEO-067	NEO	20.71	xcomet/kiwi Δ disagree by 20.7	摆烂了，爱咋咋地	你怎么这么无聊?
B-HOM-009	HOM	20.67	xcomet/kiwi Δ disagree by 20.7; xcomet_noisy 95.4 but NTA miss	游戏过于神金，不确定先从哪里笑起	The game is too funny, I don't know where to start laughing.
B-HOM-109	HOM	20.45	xcomet/kiwi Δ disagree by 20.4	又第一了 带领兄弟萌再冲一次～～～～	又第一了,带上兄弟萌再冲一次～～～～
B-MIX-104	MIX	20.44	xcomet/kiwi Δ disagree by 20.4	我打个csgo心跳都能160	I'm playing CS:GO and my heart rate is 160.
B-PYA-055	PYA	20.36	xcomet/kiwi Δ disagree by 20.4	这操作nb啊，大佬带带我	This is a nb, boss, show me.
B-MIX-145	NEO	20.32	xcomet/kiwi Δ disagree by 20.3; xcomet_noisy 85.8 but NTA miss	甲亢哥：我DNA动了	甲亢哥:我的DNA动了
B-HOM-064	HOM	19.33	xcomet_noisy 93.1 but NTA miss	她居然紫砂了	She turned purple.
B-NEO-032	NEO	19.02	xcomet_noisy 81.6 but NTA miss	花2000买nike感觉自己好像大冤种	花2000买nike感觉自己好像大冤种
