uid	category	severity	reasons	src_noisy	hyp_noisy
A-MIX-003	MIX	54.03	xcomet/kiwi Δ disagree by 54.0	erguotou二锅头[doge]	erguotou (a type of Chinese liquor) [doge]
A-NEO-046	NEO	46.92	xcomet/kiwi Δ disagree by 46.9	接接接 借你吉言	Fingers crossed, fingers crossed, fingers crossed—thanks for the good vibes!
A-NEO-072	NEO	44.64	xcomet/kiwi Δ disagree by 44.6	什么刀子都有[doge]	All kinds of knives are available [doge]
A-NEO-090	NEO	41.33	xcomet/kiwi Δ disagree by 41.3	永远抄底	Always buy the dip
A-NEO-162	NEO	39.99	xcomet/kiwi Δ disagree by 40.0	我的病娇猫，爱得太沉重。	My yandere cat loves too heavily.
A-NEO-139	NEO	38.11	xcomet/kiwi Δ disagree by 38.1	轻奢老钱｜贵在气质	Quiet luxury old money｜Elegance lies in the aura
A-NEO-233	NEO	30.60	xcomet/kiwi Δ disagree by 30.6; xcomet_noisy 89.4 but NTA miss	吃瓜吃到自己身上……	The drama I was following suddenly turned out to be about me...
A-NEO-030	NEO	29.03	xcomet/kiwi Δ disagree by 29.0	滴我滴我[doge]	DM me DM me [doge]
A-MIX-073	MIX	28.82	xcomet/kiwi Δ disagree by 28.8	黄皮淡颜低饱和蜜桃口红分享soft peach✨🍑	Soft peach lipstick for warm undertones and low-saturation looks ✨🍑
A-MIX-002	MIX	28.81	xcomet/kiwi Δ disagree by 28.8; xcomet_noisy 86.0 but NTA miss	图fine秒mine[doge]	The picture is fine, the caption is mine [doge]
A-NEO-039	NEO	28.32	xcomet/kiwi Δ disagree by 28.3; xcomet_noisy 88.0 but NTA miss	卷成这样了	It's gotten this competitive.
A-PYA-002	PYA	27.80	xcomet/kiwi Δ disagree by 27.8	350 q安	350 qAn
A-NEO-023	NEO	26.79	xcomet/kiwi Δ disagree by 26.8; xcomet_noisy 93.1 but NTA miss	耳朵动起来好可爱啊QQ弹弹	The way the ears move is so cute—so bouncy and squishy!
A-NEO-018	NEO	25.09	xcomet/kiwi Δ disagree by 25.1; xcomet_noisy 82.8 but NTA miss	老六，666	Lao Liu, you're awesome!
A-NEO-053	NEO	24.11	xcomet/kiwi Δ disagree by 24.1	我我我蹲蹲蹲	Me me me squat squat squat
A-NEO-108	NEO	23.67	xcomet/kiwi Δ disagree by 23.7	又要威又要带头盔就是这种	All bark and no bite—that's exactly what this is.
A-MIX-029	MIX	23.53	xcomet/kiwi Δ disagree by 23.5	#ENFJ型人格	#ENFJ Personality Type
A-NEO-007	NEO	23.47	xcomet/kiwi Δ disagree by 23.5	巴拉巴拉说的啥	What is Balabala saying?
A-NEO-021	NEO	23.47	xcomet/kiwi Δ disagree by 23.5	重庆，九龙坡蹲	Chongqing, Jiulongpo squatting
A-NEO-031	NEO	23.47	xcomet/kiwi Δ disagree by 23.5; xcomet_noisy 93.7 but NTA miss	！！！！同担啊！！！！！	！！！！We share the same bias!!!!!
A-NEO-205	NEO	23.46	xcomet/kiwi Δ disagree by 23.5	梦女&追星女发的文案	Dream girl & fangirl posts
A-NEO-009	NEO	23.42	xcomet/kiwi Δ disagree by 23.4	交?已关[doge]	Paid? Already taken care of [doge]
A-NEO-204	NEO	23.24	xcomet/kiwi Δ disagree by 23.2	对喜欢的人消息轰炸，其他已读不回	Bombarding the person you like with messages while leaving everyone else on read.
A-NEO-133	NEO	22.87	xcomet/kiwi Δ disagree by 22.9	今日份晒澳白珍珠戒指	Today's share: a white South Sea pearl ring
A-NEO-069	NEO	22.44	xcomet/kiwi Δ disagree by 22.4	我！要！原！图！关啦	I! Want! The! Original! Picture! Turn it off!
A-NEO-082	NEO	22.29	xcomet/kiwi Δ disagree by 22.3; xcomet_noisy 85.0 but NTA miss	天天收藏，从未开始	Bookmarked daily, never started.
A-MIX-025	MIX	22.03	xcomet/kiwi Δ disagree by 22.0	“我是ENTP”接下来，生成一朵关于它的花：	"""I am an ENTP"" Next, generate a flower about it:"
A-NEO-005	NEO	22.02	xcomet/kiwi Δ disagree by 22.0; xcomet_noisy 89.2 but NTA miss	割肉？22年1.1买的，1.7算割肉吗	Selling at a loss? I bought it at 1.1 in January '22—does selling at 1.7 count as taking a loss?
A-HOM-011	HOM	21.25	xcomet/kiwi Δ disagree by 21.2	啊啊啊啊啊豆儿康康我	Ahhhhh Dou'er look at me
A-NEO-063	NEO	21.03	xcomet/kiwi Δ disagree by 21.0	ruby蹲蹲	Ruby Squat Squat
A-NEO-161	NEO	20.26	xcomet/kiwi Δ disagree by 20.3	MBTI各种眼神杀！你能接得住？	MBTI death stares! Can you handle them?
A-HOM-012	HOM	20.22	xcomet/kiwi Δ disagree by 20.2	蟹蟹宝宝夸奖	Thank you for the compliment, little one.
A-NEO-040	NEO	20.03	xcomet/kiwi Δ disagree by 20.0	宝接昼吗	Are you available for a daytime session?
A-HOM-017	HOM	19.54	xcomet_noisy 86.5 but NTA miss	这就是史	This is history.
A-NEO-003	NEO	19.47	xcomet_noisy 91.9 but NTA miss	想到他们的“快乐水”	"Thinking of their ""happy water"""
A-NEO-095	NEO	17.35	xcomet_noisy 84.9 but NTA miss	细思极恐 咋给一种放大版园区感	The more you think about it, the more terrifying it becomes—why does it feel like a scaled-up version of a compound?
A-NEO-103	NEO	16.47	xcomet_noisy 84.3 but NTA miss	网友的成功让人宫寒	The success of netizens makes one feel a chill in the uterus.
A-NEO-152	NEO	16.36	xcomet_noisy 89.3 but NTA miss	大阪对戒丝滑购入	Effortless purchase of couple rings in Osaka
A-NEO-177	NEO	16.24	xcomet_noisy 92.1 but NTA miss	国内有没有商家能做这个饼干的平替啊！！！！	Is there any domestic vendor that can make a dupe for this cookie?!!!!
A-NEO-016	NEO	15.77	xcomet_noisy 86.9 but NTA miss	3.0下配套的限时常驻自选池子呀	The limited-time permanent character selection banner in version 3.0.
A-NEO-116	NEO	14.98	xcomet_noisy 90.3 but NTA miss	橄榄皮灰粉天菜眼影！！	Olive skin's ultimate gray-pink eyeshadow!!
A-NEO-113	NEO	14.40	xcomet_noisy 94.6 but NTA miss	需要我#互关吗，兄弟	Need me to #followback, bro
A-NEO-109	NEO	12.92	xcomet_noisy 89.5 but NTA miss	总发愁自己没客子，不知道怎么起号的可以戳戳我	If you're always worrying about not having clients and don't know how to get your account off the ground, feel free to reach out to me.
A-MIX-009	MIX	12.18	xcomet_noisy 80.8 but NTA miss	le｜我的故事是双女主	le | My story features two female leads
A-NEO-207	NEO	11.84	xcomet_noisy 82.6 but NTA miss	🇺🇸留子自制巴斯克大成功！	🇺🇸 Student abroad nailed the homemade Basque cheesecake!
A-NEO-104	NEO	11.80	xcomet_noisy 98.7 but NTA miss	导航有的时候真的太坑了，没开过真的会很害怕	Navigation can be really misleading sometimes, and it can be quite scary if you've never driven that route before.
A-HOM-013	HOM	11.61	xcomet_noisy 86.2 but NTA miss	啊！谢谢劳斯！	Ah! Thank you, Laus!
A-NEO-008	NEO	11.24	xcomet_noisy 84.4 but NTA miss	这是老广啊	This is so typical of a Cantonese person.
A-NEO-029	NEO	11.20	xcomet_noisy 93.1 but NTA miss	已私，求图，谢谢	Private message sent, requesting the image, thank you.
A-NEO-188	NEO	10.43	xcomet_noisy 87.7 but NTA miss	独居一人食🍓抹茶草莓牛乳和草莓三明治！	Living alone, cooking for one 🍓 Matcha strawberry milk and a strawberry sandwich!
A-NEO-199	NEO	9.84	xcomet_noisy 90.0 but NTA miss	吉隆坡超级无敌避雷的点！	Kuala Lumpur's ultimate must-avoid spots!
A-PYA-013	PYA	8.98	xcomet_noisy 80.2 but NTA miss	kou令:美事相伴福运满堂80	Kou Ling: May beautiful things accompany you and blessings fill your home.
A-NEO-041	NEO	8.50	xcomet_noisy 90.2 but NTA miss	老师我也想要你	Teacher, I want you too.
A-NEO-073	NEO	8.22	xcomet_noisy 89.1 but NTA miss	笑爆了	I laughed my head off.
A-NEO-149	NEO	8.00	xcomet_noisy 94.2 but NTA miss	曼谷外卖别把我好吃晕了…	Bangkok delivery food is so good I'm about to pass out...
A-PYA-004	PYA	7.80	xcomet_noisy 86.8 but NTA miss	好可爱cpdd...	So cute, cpdd...
A-NEO-132	NEO	7.06	xcomet_noisy 97.2 but NTA miss	零基础乍到书法新手村 我什么时候可以大成	I’m a complete beginner just arriving at the calligraphy newbie village—when can I achieve mastery?
A-NEO-168	NEO	6.98	xcomet_noisy 94.4 but NTA miss	老外已经在学习中国话这个事情上 卷起来了	Foreigners are already going all out in learning Chinese.
A-NEO-194	NEO	6.88	xcomet_noisy 96.4 but NTA miss	吉隆坡新晋网红餐厅•不得不试	Kuala Lumpur's new trending restaurant • a must-try
A-NEO-033	NEO	6.87	xcomet_noisy 81.8 but NTA miss	人不开心，也要咪哄	Even when people are unhappy, they still need to be coaxed into smiling.
A-NEO-065	NEO	6.59	xcomet_noisy 81.0 but NTA miss	19配 35/1	19-roll 35/1
A-NEO-070	NEO	6.48	xcomet_noisy 88.7 but NTA miss	蹲一下🐍	Squat down a bit 🐍
A-HOM-003	HOM	6.33	xcomet_noisy 90.0 but NTA miss	我的玛雅太美了	My Maya is so beautiful.
A-NEO-058	NEO	6.20	xcomet_noisy 80.8 but NTA miss	看预算，直接r1+r52+大三元最优	Based on the budget, going straight for the R1 + R52 + the holy trinity of lenses is the optimal choice.
A-NEO-238	NEO	6.13	xcomet_noisy 92.2 but NTA miss	发尾乱乱的有点二次元感	The messy ends of the hair give off a bit of an anime vibe.
