uid	category	xcomet_noisy	xcomet_clean	xcomet_d	kiwi_noisy	kiwi_clean	kiwi_d	nta_noisy	nta_clean	nta_d	src_noisy	hyp_noisy	src_clean	hyp_clean	ref_en
A-HOM-001	HOM	81.90	72.78	-9.12	63.10	69.21	6.11	0	100	100	广0王，我也是	Prince Guang, I am also.	广陵王，我也是	Marquise of Guangling, I am also.	Prince of Guangling, same here.
A-HOM-002	HOM	92.07	100.00	7.93	80.72	85.30	4.58	0	100	100	3Q 祝你新年快乐 🎊🐍	Happy New Year 3Q 🎊🐍	谢谢 祝你新年快乐 🎊🐍	Thank you, Happy New Year! 🎊🐍	Thanks! Happy New Year 🎊🐍
A-HOM-003	HOM	89.99	92.16	2.17	83.22	85.02	1.80	0	100	100	我的玛雅太美了	My Maya is so beautiful.	我的妈呀太美了	My goodness, she's so beautiful!	Oh my God, mine is so beautiful!
A-HOM-004	HOM	69.56	71.78	2.21	55.95	62.01	6.06	0	0	0	有顺风顺水顺财神的郝性头像吗？	Is there a headshot of Hao Xing with favorable winds, smooth waters, and the god of wealth?	有顺风顺水顺财神的郝姓头像吗？	Is there a portrait of a surname Hao person who has favorable winds, smooth waters, and the god of wealth?	Does anyone have a profile picture with the surname Hao that brings smooth sailing and the God of Wealth?
A-HOM-005	HOM	92.57	90.29	-2.28	81.55	80.71	-0.84	0	0	0	➗25家政 15洗衣  10洗车	25 Housekeeping, 15 Laundry, 10 Car Wash	出售25家政 15洗衣  10洗车	Sell 25 housekeeping services, 15 laundry services, 10 car washes	Selling: housekeeping 25, laundry 15, car wash 10.
A-HOM-006	HOM	68.72	98.64	29.92	65.72	85.13	19.41	0	100	100	马牙，谢谢劳斯🥺❤️❤️❤️	Mada, thank you, Lao Su 😢❤️❤️❤️	妈呀，谢谢老师🥺❤️❤️❤️	Oh my goodness, thank you, teacher! 🥺❤️❤️❤️	Oh my God, thank you, teacher 🥺❤️❤️❤️
A-HOM-007	HOM	87.03	92.40	5.37	79.09	75.21	-3.88	0	100	100	似吧我不拦你	I guess I won't stop you.	死吧我不拦你	Die, I won't stop you.	Go die if you want—I won't stop you.
A-HOM-008	HOM	86.16	94.17	8.01	73.03	73.14	0.12	0	100	100	哈雷哈雷，欢迎欢迎热烈欢迎	Hurrah, welcome, warm welcome!	你好你好，欢迎欢迎热烈欢迎	Hello hello, welcome welcome, warm welcome	Hello, hello—a very warm welcome!
A-HOM-009	HOM	36.50	92.38	55.87	51.97	73.23	21.26	0	0	0	国际大厦比	The International Building is taller than	国际大傻逼	International Idiot	A world-class dumbass.
A-HOM-010	HOM	69.45	84.31	14.86	70.52	78.41	7.89	0	0	0	啊啊啊啊给青兰ee吃	Oh oh oh oh, give it to Qinglan ee to eat.	啊啊啊啊给青兰阿姨吃	Oh oh oh oh, give it to Aunt Qinglan!	Give Auntie Qinglan something to eat!
A-HOM-011	HOM	59.07	76.48	17.40	43.37	70.69	27.32	0	100	100	啊啊啊啊啊豆儿康康我	Oh oh oh oh oh Dou'er Kangkang I	啊啊啊啊啊豆儿看看我	Oh oh oh oh oh, Bean, look at me!	Dou'er, take a look at me!!!
A-HOM-012	HOM	88.55	97.02	8.47	45.08	84.38	39.29	100	100	0	蟹蟹宝宝夸奖	Thank you, baby!	谢谢宝宝夸奖	Thank you for your compliment, baby.	Thanks, babe, for the compliment.
A-HOM-013	HOM	84.33	100.00	15.67	81.61	85.85	4.24	0	100	100	啊！谢谢劳斯！	Ah! Thank you, Raus!	啊！谢谢老师！	Ah! Thank you, teacher!	Ah, thank you, teacher!
A-HOM-014	HOM	92.09	83.54	-8.54	43.43	54.69	11.27	100	100	0	大鸡毛（大金毛）	Big Golden Retriever	大金毛（大金毛）	Large Golden Retriever (Large Golden Retriever)	A big golden retriever (a big golden retriever).
A-HOM-015	HOM	97.45	98.68	1.22	83.53	85.13	1.59	0	0	0	每个月不用给chatgpt交20刀了	You don't need to pay $20 to ChatGPT every month anymore.	每个月不用给chatgpt交20美元了	You no longer need to pay $20 to ChatGPT every month.	Now I don’t have to pay ChatGPT $20 a month.
A-HOM-017	HOM	86.52	98.97	12.45	83.83	78.98	-4.85	0	0	0	这就是史	This is history.	这就是屎	That's crap.	This is literally shit.
A-NEO-253	NEO	78.13	91.81	13.69	76.10	76.62	0.52	0	0	0	知道为什么他父母接受他是0还配合拍视频吗 原因竟是...	Know why his parents accepted him as 0 and cooperated to take videos? The reason is actually...	知道为什么他父母接受他是受还配合拍视频吗 原因竟是...	Do you know why his parents accepted him and even agreed to film videos? The reason is actually...	Do you know why his parents accept that he’s a bottom and even cooperate in making videos? The reason turns out to be...
A-HOM-019	HOM	59.37	59.80	0.42	63.13	65.11	1.99	100	100	0	固体香薰挂！！有7.8个香味都好特别 不是那种浓郁型的，挂在衣柜里淡淡的香灰常舒心！每次来小韩都要囤一堆！！！！	Solid fragrance hanging! There are 7.8 scents, all very special, not the strong,浓郁 type. Hanging in the closet, it gives off a subtle, comforting scent! Every time I visit Xiaohan, I have to stock up a bunch!!!	固体香薰挂！！有7.8个香味都好特别 不是那种浓郁型的，挂在衣柜里淡淡的香非常舒心！每次来小韩都要囤一堆！！！！	Solid fragrance hanging! There are 7.8 scents, all very special, not the strong,浓郁 type. When hung in the closet, the subtle fragrance is very soothing! Every time I visit Xiaohan, I have to stock up a bunch!!!	Solid fragrance hangers!! There are seven or eight scents, and every one is so unique. They’re not overpowering; hanging one in the wardrobe leaves a soft scent that feels incredibly soothing! I stock up on a bunch every time I visit Xiao Han!!!!
A-PYA-001	PYA	68.40	85.90	17.50	43.43	73.43	29.99	0	100	100	小窗口dd你吧	Small window dd you.	小窗口联系你吧	Let me contact you through a small window.	I'll DM you.
A-PYA-002	PYA	40.07	87.35	47.27	77.40	82.21	4.81	0	0	0	350 q安	350 qA	350 QQ安卓区	350 QQ Android Zone	Offering ¥350 on the QQ Android server.
A-PYA-003	PYA	95.21	100.00	4.79	83.17	87.50	4.33	0	100	100	我喜欢你 CPDD	I like you CPDD	我喜欢你 想和你谈恋爱	I like you and want to date you.	I like you—want to date?
A-PYA-004	PYA	94.78	96.08	1.30	77.56	76.65	-0.92	0	0	0	好可爱cpdd...	So cute CPDD...	好可爱想找对象...	So cute, wanting to find a partner...	So cute—looking for someone to date...
A-PYA-005	PYA	80.76	91.46	10.70	56.75	76.98	20.23	0	100	100	Chuan搭🔴⚪️红白配	Chuan pairs red and white colors.	穿搭🔴⚪️红白配	Outfit: Red and white color coordination 🔴⚪️	Outfit 🔴⚪️ red and white.
