model	term	estimate	ci_lo	ci_hi	excludes_zero
aya-101	intercept	16.55	6.82	29.19	yes
aya-101	cat=PYA	-6.74	-20.62	5.22	
aya-101	cat=NEO	-8.63	-21.71	1.54	
aya-101	cat=MIX	-15.35	-29.04	-3.64	yes
aya-101	length_z	-2.05	-3.51	-0.55	yes
aya-101	editdist_z	1.42	-0.67	3.70	
aya-expanse-8b	intercept	15.66	6.32	26.22	yes
aya-expanse-8b	cat=PYA	-1.98	-19.56	13.74	
aya-expanse-8b	cat=NEO	-4.78	-15.75	5.01	
aya-expanse-8b	cat=MIX	-10.81	-23.03	-0.10	yes
aya-expanse-8b	length_z	-5.69	-8.12	-3.82	yes
aya-expanse-8b	editdist_z	1.92	-0.16	3.84	
deepseek	intercept	11.37	6.99	16.01	yes
deepseek	cat=PYA	-6.08	-12.51	0.80	
deepseek	cat=NEO	-5.80	-10.58	-1.21	yes
deepseek	cat=MIX	-7.93	-13.49	-2.09	yes
deepseek	length_z	-4.18	-5.76	-3.00	yes
deepseek	editdist_z	2.37	0.90	3.77	yes
gemini	intercept	10.18	3.80	17.38	yes
gemini	cat=PYA	-1.10	-10.32	6.52	
gemini	cat=NEO	-4.48	-12.08	2.18	
gemini	cat=MIX	-5.06	-13.62	2.57	
gemini	length_z	-3.65	-5.22	-2.38	yes
gemini	editdist_z	1.99	0.47	3.44	yes
gemma3-12b	intercept	9.86	3.08	17.15	yes
gemma3-12b	cat=PYA	-0.25	-11.42	11.40	
gemma3-12b	cat=NEO	-1.63	-9.07	5.31	
gemma3-12b	cat=MIX	-6.11	-14.16	1.58	
gemma3-12b	length_z	-3.21	-5.01	-1.67	yes
gemma3-12b	editdist_z	2.77	0.90	4.41	yes
gemma3-27b	intercept	16.11	9.92	22.65	yes
gemma3-27b	cat=PYA	-3.65	-15.51	10.23	
gemma3-27b	cat=NEO	-6.46	-13.29	-0.12	yes
gemma3-27b	cat=MIX	-14.92	-24.49	-6.15	yes
gemma3-27b	length_z	-3.74	-6.13	-1.97	yes
gemma3-27b	editdist_z	4.47	2.40	6.67	yes
gemma3-4b	intercept	13.96	5.51	21.98	yes
gemma3-4b	cat=PYA	-4.81	-16.70	7.59	
gemma3-4b	cat=NEO	-4.80	-13.30	3.63	
gemma3-4b	cat=MIX	-12.02	-21.64	-1.99	yes
gemma3-4b	length_z	-3.74	-6.18	-1.90	yes
gemma3-4b	editdist_z	3.58	1.45	5.64	yes
gemmax2-9b	intercept	16.33	10.76	22.47	yes
gemmax2-9b	cat=PYA	-9.87	-17.12	-2.13	yes
gemmax2-9b	cat=NEO	-9.08	-15.25	-3.03	yes
gemmax2-9b	cat=MIX	-12.63	-19.97	-5.63	yes
gemmax2-9b	length_z	-3.35	-4.97	-2.18	yes
gemmax2-9b	editdist_z	3.06	1.47	4.87	yes
google-translate	intercept	14.70	8.86	21.44	yes
google-translate	cat=PYA	-9.20	-17.29	-1.23	yes
google-translate	cat=NEO	-7.76	-14.33	-1.71	yes
google-translate	cat=MIX	-11.21	-18.64	-3.89	yes
google-translate	length_z	-2.96	-4.73	-1.50	yes
google-translate	editdist_z	3.38	2.06	4.94	yes
gpt-4o	intercept	12.31	6.74	19.40	yes
gpt-4o	cat=PYA	-2.84	-10.63	4.75	
gpt-4o	cat=NEO	-6.13	-13.03	-0.26	yes
gpt-4o	cat=MIX	-8.81	-16.40	-2.03	yes
gpt-4o	length_z	-3.69	-5.25	-2.55	yes
gpt-4o	editdist_z	2.71	1.47	3.99	yes
hunyuan-mt-7b	intercept	11.50	5.53	18.29	yes
hunyuan-mt-7b	cat=PYA	0.17	-9.00	10.41	
hunyuan-mt-7b	cat=NEO	-3.73	-10.58	2.58	
hunyuan-mt-7b	cat=MIX	-6.44	-14.18	0.90	
hunyuan-mt-7b	length_z	-4.60	-6.20	-3.23	yes
hunyuan-mt-7b	editdist_z	2.23	0.50	4.04	yes
nllb-3.3b	intercept	11.51	-4.34	25.49	
nllb-3.3b	cat=PYA	0.85	-14.55	19.90	
nllb-3.3b	cat=NEO	1.26	-13.32	17.94	
nllb-3.3b	cat=MIX	-8.08	-23.46	9.55	
nllb-3.3b	length_z	-3.95	-5.97	-2.07	yes
nllb-3.3b	editdist_z	4.26	0.94	7.54	yes
qwen3-0.6b	intercept	11.50	4.16	19.33	yes
qwen3-0.6b	cat=PYA	-7.43	-16.87	1.03	
qwen3-0.6b	cat=NEO	-4.08	-12.02	4.06	
qwen3-0.6b	cat=MIX	-6.36	-16.05	3.33	
qwen3-0.6b	length_z	-3.72	-5.73	-2.20	yes
qwen3-0.6b	editdist_z	2.52	0.48	4.75	yes
qwen3-1.7b	intercept	14.25	8.24	21.80	yes
qwen3-1.7b	cat=PYA	-6.96	-15.38	1.06	
qwen3-1.7b	cat=NEO	-7.70	-15.57	-1.64	yes
qwen3-1.7b	cat=MIX	-12.00	-20.08	-4.22	yes
qwen3-1.7b	length_z	-3.28	-4.95	-1.73	yes
qwen3-1.7b	editdist_z	3.25	1.56	5.14	yes
qwen3-14b	intercept	14.57	9.48	20.91	yes
qwen3-14b	cat=PYA	-7.06	-15.80	3.24	
qwen3-14b	cat=NEO	-7.20	-13.88	-1.87	yes
qwen3-14b	cat=MIX	-10.65	-17.80	-4.21	yes
qwen3-14b	length_z	-3.22	-5.10	-1.78	yes
qwen3-14b	editdist_z	3.46	1.89	5.14	yes
qwen3-32b	intercept	15.25	8.41	23.10	yes
qwen3-32b	cat=PYA	-8.16	-17.20	0.07	
qwen3-32b	cat=NEO	-8.64	-16.16	-1.74	yes
qwen3-32b	cat=MIX	-11.05	-19.48	-3.90	yes
qwen3-32b	length_z	-3.53	-5.25	-2.13	yes
qwen3-32b	editdist_z	3.12	1.62	4.54	yes
qwen3-4b	intercept	13.18	6.27	21.32	yes
qwen3-4b	cat=PYA	-4.15	-14.00	5.41	
qwen3-4b	cat=NEO	-4.81	-12.86	2.37	
