uid	category	severity	reasons	src_noisy	hyp_noisy
B-HOM-071	HOM	56.21	xcomet/kiwi Δ disagree by 56.2	要泥寡,雨女无瓜!	If you want mud, then the rain goddess will have no melons!
B-MIX-132	MIX	44.50	xcomet/kiwi Δ disagree by 44.5	天磊：what can I say	Tian Lei: What can I say?
B-PYA-063	PYA	43.96	xcomet/kiwi Δ disagree by 44.0	fs们太能打了	The FS guys really know how to fight!
B-HOM-111	HOM	43.68	xcomet/kiwi Δ disagree by 43.7	扳机歪了，前来还怨	The wrench is bent; they even come to complain about it.
B-NEO-067	NEO	36.38	xcomet/kiwi Δ disagree by 36.4	摆烂了，爱咋咋地	It was a total mess; do whatever you want with it.
B-HOM-032	HOM	34.79	xcomet/kiwi Δ disagree by 34.8	你就耗子尾汁吧，别折腾了	Just use the rat tail juice, and stop making a fuss.
B-PYA-081	PYA	33.76	xcomet/kiwi Δ disagree by 33.8	氪金也能让各家fs满意	Kryptonium and gold can also satisfy the needs of all the financial services companies (FS) involved.
B-HOM-051	HOM	32.50	xcomet/kiwi Δ disagree by 32.5; xcomet_noisy 85.9 but NTA miss	看完女排比赛我直接鸭梨山大	After watching the women’s volleyball match, I’m absolutely overwhelmed with stress.
B-HOM-035	HOM	31.19	xcomet/kiwi Δ disagree by 31.2; xcomet_noisy 89.7 but NTA miss	看到50亿离婚案的消息我直接蓝瘦香菇	When I saw the news about 5 billion divorce cases, I was just so depressed and upset…
B-NEO-085	NEO	30.97	xcomet/kiwi Δ disagree by 31.0; xcomet_noisy 86.9 but NTA miss	你这肯定是低段位炸鱼罢了	This is definitely just someone from a lower rank trying to “fish” for easy kills (i.e., getting kills without really putting in effort).
B-HOM-110	HOM	30.57	xcomet/kiwi Δ disagree by 30.6	预计会火，火钳刘明	Expected to be a hit… “The Tongs-Wielding Liu Ming”
B-NEO-074	NEO	29.59	xcomet/kiwi Δ disagree by 29.6; xcomet_noisy 85.7 but NTA miss	这波操作直接拉胯了	This round of actions was a complete failure.
B-HOM-044	HOM	29.20	xcomet/kiwi Δ disagree by 29.2	这个操作太虾仁了	This operation is really lame (or ineffective/superfluous).
B-MIX-071	MIX	29.07	xcomet/kiwi Δ disagree by 29.1	法法这期ooc了吧	In this episode of “Fafa,” it seems like there’s an OOC (Out of Character) moment…
B-MIX-111	MIX	28.10	xcomet/kiwi Δ disagree by 28.1	看得ptsd犯了	It seems that PTSD is flaring up again.
B-HOM-034	HOM	27.86	xcomet/kiwi Δ disagree by 27.9	蚌埠住了这也太搞笑了	It’s really funny that they decided to live in Bengbu.
B-HOM-082	HOM	27.49	xcomet/kiwi Δ disagree by 27.5	笑死我了粽横天虾至今一直在罚时闯过了零个关卡	I’m laughing my ass off! Zong Hengtian and the shrimp have still managed to pass all the levels without any time penalties at all…
B-NEO-052	NEO	27.30	xcomet/kiwi Δ disagree by 27.3	无职孝子还在嘴硬洗，服了	The unemployed filial son is still stubbornly trying to deny it… Well, I’m convinced now.
B-MIX-139	MIX	26.88	xcomet/kiwi Δ disagree by 26.9	直伤+超击破+dot伤害	Direct damage + Overbreak effect + Damage from status effects (DOT)
B-HOM-038	HOM	26.70	xcomet/kiwi Δ disagree by 26.7	这个颜色灰常好看	This color is really beautiful.
B-MIX-135	MIX	26.13	xcomet/kiwi Δ disagree by 26.1	抽me,please抽me	Pick me, please pick me!
B-PYA-071	PYA	25.96	xcomet/kiwi Δ disagree by 26.0	xswl一人血书求这个短剧拍真人版	XSWL: I’m writing this with all my heart, begging for a real-life adaptation of this short drama to be made.
B-HOM-028	HOM	25.69	xcomet/kiwi Δ disagree by 25.7	这配置针不戳，性价比拉满	This configuration is excellent; it offers the best possible value for money.
B-NEO-065	NEO	25.66	xcomet/kiwi Δ disagree by 25.7	是我不够糖吗	Am I not getting enough sugar?
