uid	category	severity	reasons	src_noisy	hyp_noisy
B-PYA-071	PYA	48.89	xcomet/kiwi Δ disagree by 48.9	xswl一人血书求这个短剧拍真人版	lmao begging on my knees for a live-action adaptation of this short drama
B-PYA-022	PYA	47.89	xcomet/kiwi Δ disagree by 47.9	白色真是yyds	White is truly the GOAT.
B-MIX-087	MIX	44.79	xcomet/kiwi Δ disagree by 44.8	发现没火的作者belike	Found the author without fire belike
B-PYA-058	PYA	43.06	xcomet/kiwi Δ disagree by 43.1	kdl，这对CP太甜了	kdl, this couple is just too sweet.
B-MIX-132	MIX	41.65	xcomet/kiwi Δ disagree by 41.6	天磊：what can I say	Tianlei: what can I say
B-HOM-051	HOM	38.36	xcomet/kiwi Δ disagree by 38.4	看完女排比赛我直接鸭梨山大	After watching the women's volleyball match, I'm under immense pressure.
B-NEO-083	NEO	38.02	xcomet/kiwi Δ disagree by 38.0; xcomet_noisy 94.7 but NTA miss	难他天？	Is he a genius or what?
B-HOM-064	HOM	36.93	xcomet/kiwi Δ disagree by 36.9; xcomet_noisy 89.5 but NTA miss	她居然紫砂了	She actually committed suicide.
B-PYA-056	PYA	36.39	xcomet/kiwi Δ disagree by 36.4	这个cp太好磕了	This couple is so addictive to ship.
B-NEO-061	NEO	36.21	xcomet/kiwi Δ disagree by 36.2; xcomet_noisy 93.7 but NTA miss	他好会营业	He’s really good at fan engagement.
B-HOM-019	HOM	34.70	xcomet/kiwi Δ disagree by 34.7; xcomet_noisy 94.3 but NTA miss	雀食好笑，不骗你	It's really funny, no kidding.
B-NEO-077	NEO	34.49	xcomet/kiwi Δ disagree by 34.5	为什么留子都不爱和老外谈？	Why don’t international students like to date foreigners?
B-NEO-085	NEO	34.01	xcomet/kiwi Δ disagree by 34.0	你这肯定是低段位炸鱼罢了	You're definitely just smurfing in low ranks.
B-PYA-110	PYA	33.59	xcomet/kiwi Δ disagree by 33.6	万恶的zi ben jia	The evil capitalist
B-PYA-059	PYA	32.26	xcomet/kiwi Δ disagree by 32.3	山航yyds	Shandong Airlines is the GOAT.
B-PYA-074	PYA	32.17	xcomet/kiwi Δ disagree by 32.2; xcomet_noisy 86.0 but NTA miss	这个耳朵前后的颜色变化xswl	The color change on this ear from front to back is hilarious.
B-MIX-105	MIX	32.17	xcomet/kiwi Δ disagree by 32.2	回答我，鸟为什么会飞？ Look at my eye, tell me why!	Answer me, why do birds fly? Look at my eye, tell me why!
B-HOM-073	HOM	30.34	xcomet/kiwi Δ disagree by 30.3	哈哈哈哈哈哈哈夺笋呐	Hahahahaha, that's so savage!
B-PYA-076	PYA	29.68	xcomet/kiwi Δ disagree by 29.7	xswl皇帝的新衣	LMAO, the emperor's new clothes.
B-NEO-010	NEO	29.58	xcomet/kiwi Δ disagree by 29.6; xcomet_noisy 93.2 but NTA miss	选择你的躲藏点，被抓到就芭比Q了	Choose your hiding spot—if you get caught, you're toast.
B-HOM-130	HOM	29.05	xcomet/kiwi Δ disagree by 29.1	哎你怎么似了	Hey, how come you're dead?
B-PYA-005	PYA	28.64	xcomet/kiwi Δ disagree by 28.6; xcomet_noisy 95.5 but NTA miss	看到别人去欧洲旅游的照片，xmsl	Seeing photos of others traveling to Europe, I'm so envious.
B-NEO-101	NEO	28.57	xcomet/kiwi Δ disagree by 28.6	红温了，把打野怪爆的装备给炸了，你好歹拿一些吧	I'm fuming—you blew up the gear dropped by the jungle monster. Couldn't you at least take some of it?
B-PYA-066	PYA	28.09	xcomet/kiwi Δ disagree by 28.1; xcomet_noisy 86.1 but NTA miss	这图谁发明的，xswl	Who came up with this picture, I'm laughing so hard.
