uid	category	xcomet_noisy	xcomet_clean	xcomet_d	kiwi_noisy	kiwi_clean	kiwi_d	nta_noisy	nta_clean	nta_d	src_noisy	hyp_noisy	src_clean	hyp_clean	ref_en
B-HOM-001	HOM	94.05	95.46	1.41	84.49	84.34	-0.15	0	0	0	这样也行？那我也试试	Is that also okay? Then I'll try it too.	这样子也行？那我也试试	Is this also possible? Then I'll try it too.	this works? then let me try too
B-HOM-002	HOM	99.11	99.12	0.00	81.42	81.71	0.30	0	0	0	你怎么这样说话，人家会误会的	How can you speak like that? People will misunderstand.	你怎么这样子说话，人家会误会的	How can you speak like that? People will misunderstand.	why do you talk like that, people will misunderstand
B-HOM-003	HOM	100.00	100.00	0.00	83.07	83.07	0.00	0	0	0	各位同学注意了，期末考试要来了	Attention all students, the final exam is coming.	各位同学注意了，期末考试要来了	Attention all students, the final exam is coming.	attention classmates, final exams are coming
B-HOM-004	HOM	93.72	93.72	0.00	81.07	81.07	0.00	100	100	0	同学们帮我看看这道题怎么做	Classmates, please help me see how to do this problem.	同学们帮我看看这道题怎么做	Classmates, please help me see how to do this problem.	classmates help me figure out this problem
B-HOM-005	HOM	97.07	97.07	0.00	82.97	82.97	0.00	100	100	0	我真的好喜欢这个博主，太搞笑了	I really like this blogger; they're so funny.	我真的好喜欢这个博主，太搞笑了	I really like this blogger; they're so funny.	I really like this creator, too funny
B-HOM-006	HOM	98.72	98.72	0.00	85.58	85.58	0.00	100	100	0	你是不是喜欢我？直说嘛	Do you like me? Just say it straight.	你是不是喜欢我？直说嘛	Do you like me? Just say it straight.	do you like me? just say it
B-HOM-007	HOM	94.75	94.75	0.00	83.22	83.22	-0.00	100	100	0	今天又是悲剧的一天，出门忘带钥匙	Today is another tragic day; I forgot to bring my keys when I left home.	今天又是悲剧的一天，出门忘带钥匙	Today is another tragic day; I forgot to bring my keys when I left home.	another tragic day, forgot my keys going out
B-HOM-008	HOM	99.97	99.97	0.00	84.90	84.90	0.00	100	100	0	人生就是一个悲剧接着一个悲剧	Life is one tragedy after another.	人生就是一个悲剧接着一个悲剧	Life is one tragedy after another.	life is one tragedy after another
B-HOM-009	HOM	94.76	98.22	3.45	83.60	79.84	-3.76	0	0	0	游戏过于神奇，不确定先从哪里笑起	The game is too amazing; I'm not sure where to start laughing.	游戏过于神经，不确定先从哪里笑起	The game is too absurd; I'm not sure where to start laughing.	this game is so unhinged, not sure where to start laughing
B-HOM-010	HOM	62.91	91.31	28.40	72.80	73.42	0.61	0	100	100	都说我做饭神仙，今天就做神仙给你们吃	Everyone says I'm a cooking god, so today I'll make a god for you to eat.	都说我做饭神经，今天就做神经给你们吃	Everyone says my cooking is crazy, so today I'll make something crazy for you to eat.	y'all say I'm crazy in the kitchen, so today I'm cooking crazy for you
B-HOM-011	HOM	92.01	96.01	4.01	81.51	81.03	-0.48	0	0	0	世界上最神奇的行为	The most amazing behavior in the world	世界上最神经的行为	The most ridiculous behavior in the world	the most unhinged behavior in the world
