uid	category	xcomet_noisy	xcomet_clean	xcomet_d	kiwi_noisy	kiwi_clean	kiwi_d	nta_noisy	nta_clean	nta_d	src_noisy	hyp_noisy	src_clean	hyp_clean	ref_en
A-HOM-001	HOM	75.90	83.60	7.69	65.80	74.44	8.64	0	0	0	广0王，我也是	Guang0wang, me too.	广陵王，我也是	King Guangling, me too.	Prince of Guangling, same here.
A-HOM-002	HOM	92.05	99.67	7.62	80.18	85.97	5.79	0	100	100	3Q 祝你新年快乐 🎊🐍	3Q, happy new year 🎊🐍	谢谢 祝你新年快乐 🎊🐍	Thank you, and I wish you a happy New Year 🎊🐍	Thanks! Happy New Year 🎊🐍
A-HOM-003	HOM	89.99	98.28	8.28	83.22	84.65	1.43	0	0	0	我的玛雅太美了	My Maya is so beautiful.	我的妈呀太美了	My God, it’s so beautiful.	Oh my God, mine is so beautiful!
A-HOM-004	HOM	78.30	87.75	9.45	57.66	67.78	10.12	0	0	0	有顺风顺水顺财神的郝性头像吗？	Is there a Hao Xing avatar with the God of Good Luck?	有顺风顺水顺财神的郝姓头像吗？	Is there a portrait of Hao, the God of Good Luck and Wealth?	Does anyone have a profile picture with the surname Hao that brings smooth sailing and the God of Wealth?
A-HOM-005	HOM	90.64	89.79	-0.85	81.10	63.73	-17.37	0	0	0	➗25家政 15洗衣  10洗车	➗ 25 housekeeping, 15 laundry, 10 car wash	出售25家政 15洗衣  10洗车	25 housekeeping, 15 laundry, 10 car wash	Selling: housekeeping 25, laundry 15, car wash 10.
A-HOM-006	HOM	74.77	98.64	23.87	76.45	84.13	7.68	0	100	100	马牙，谢谢劳斯🥺❤️❤️❤️	Ma Ya, thank you, Rous🥺❤️❤️❤️	妈呀，谢谢老师🥺❤️❤️❤️	Oh my God, thank you, teacher 🥺❤️❤️❤️	Oh my God, thank you, teacher 🥺❤️❤️❤️
A-HOM-007	HOM	87.46	100.00	12.54	73.44	84.12	10.67	0	100	100	似吧我不拦你	I guess so, I won’t stop you.	死吧我不拦你	Go ahead and die, I won’t stop you.	Go die if you want—I won't stop you.
A-HOM-008	HOM	84.26	85.69	1.43	74.85	73.14	-1.71	0	100	100	哈雷哈雷，欢迎欢迎热烈欢迎	Hallelujah, welcome, welcome, warm welcome	你好你好，欢迎欢迎热烈欢迎	Hello, hello, welcome, welcome, warm welcome	Hello, hello—a very warm welcome!
A-HOM-009	HOM	48.66	93.01	44.34	47.28	70.07	22.79	0	0	0	国际大厦比	International Building	国际大傻逼	International idiot	A world-class dumbass.
A-HOM-010	HOM	76.39	87.67	11.28	57.37	68.08	10.71	0	0	0	啊啊啊啊给青兰ee吃	Give it to Qinglan ee.	啊啊啊啊给青兰阿姨吃	Give it to Aunt Qinglan.	Give Auntie Qinglan something to eat!
A-HOM-011	HOM	43.33	82.35	39.02	56.72	68.63	11.91	0	100	100	啊啊啊啊啊豆儿康康我	Ah ah ah ah Dou Er Kang Kang, I	啊啊啊啊啊豆儿看看我	Ah ah ah ah Dou, look at me.	Dou'er, take a look at me!!!
A-HOM-012	HOM	64.85	97.02	32.17	59.07	84.38	25.30	0	100	100	蟹蟹宝宝夸奖	Praise for Crab Crab Baby	谢谢宝宝夸奖	Thank you for your compliment, baby.	Thanks, babe, for the compliment.
A-HOM-013	HOM	85.08	100.00	14.92	83.96	85.85	1.89	0	100	100	啊！谢谢劳斯！	Ah! Thank you, Rouse!	啊！谢谢老师！	Ah! Thank you, teacher!	Ah, thank you, teacher!
A-HOM-014	HOM	51.22	63.20	11.98	65.49	52.23	-13.26	0	0	0	大鸡毛（大金毛）	Big chicken feather (big golden hair)	大金毛（大金毛）	Great Dane (Great Dane)	A big golden retriever (a big golden retriever).
A-HOM-015	HOM	92.51	95.77	3.26	82.27	84.96	2.69	100	0	-100	每个月不用给chatgpt交20刀了	I don’t have to pay 20 dollars to chatgpt every month.	每个月不用给chatgpt交20美元了	I don’t have to pay $20 to chatgpt every month.	Now I don’t have to pay ChatGPT $20 a month.
A-HOM-017	HOM	86.52	99.70	13.18	83.83	77.47	-6.36	0	100	100	这就是史	This is history.	这就是屎	This is shit.	This is literally shit.
A-NEO-253	NEO	82.28	85.33	3.05	79.12	73.77	-5.35	0	0	0	知道为什么他父母接受他是0还配合拍视频吗 原因竟是...	Do you know why his parents accepted him as 0 and cooperated in making the video? The reason is...	知道为什么他父母接受他是受还配合拍视频吗 原因竟是...	Do you know why his parents accepted him and cooperated with the video? The reason is...	Do you know why his parents accept that he’s a bottom and even cooperate in making videos? The reason turns out to be...
A-HOM-019	HOM	47.85	53.66	5.81	66.76	68.84	2.08	100	100	0	固体香薰挂！！有7.8个香味都好特别 不是那种浓郁型的，挂在衣柜里淡淡的香灰常舒心！每次来小韩都要囤一堆！！！！	Solid perfume! There are 7.8 special scents, not the rich type, and it is comfortable to have a faint scent in the closet! I have to stock up every time I come to Little Han!!!	固体香薰挂！！有7.8个香味都好特别 不是那种浓郁型的，挂在衣柜里淡淡的香非常舒心！每次来小韩都要囤一堆！！！！	Solid perfume! There are 7.8 special scents, not the rich type, and the faint scent in the closet is very comfortable! I have to stock up every time I come to Little Han!!!	Solid fragrance hangers!! There are seven or eight scents, and every one is so unique. They’re not overpowering; hanging one in the wardrobe leaves a soft scent that feels incredibly soothing! I stock up on a bunch every time I visit Xiao Han!!!!
A-PYA-001	PYA	85.10	89.92	4.82	60.58	70.48	9.90	0	100	100	小窗口dd你吧	I’ll add you in a small window.	小窗口联系你吧	I’ll contact you in a small window.	I'll DM you.
A-PYA-002	PYA	60.49	87.35	26.86	53.30	82.21	28.92	0	0	0	350 q安	350 qan	350 QQ安卓区	350 QQ Android Zone	Offering ¥350 on the QQ Android server.
A-PYA-003	PYA	97.82	96.85	-0.97	85.22	87.16	1.94	0	0	0	我喜欢你 CPDD	I like you, CPDD.	我喜欢你 想和你谈恋爱	I like you and want to fall in love with you.	I like you—want to date?
A-PYA-004	PYA	91.98	96.58	4.59	75.89	79.94	4.05	0	0	0	好可爱cpdd...	So cute cpdd...	好可爱想找对象...	So cute, I want to find a partner...	So cute—looking for someone to date...
