uid	category	severity	reasons	src_noisy	hyp_noisy
B-MIX-058	MIX	46.79	xcomet/kiwi Δ disagree by 46.8	carry全场，带飞	carry the whole field, carry the team
B-MIX-132	MIX	44.99	xcomet/kiwi Δ disagree by 45.0	天磊：what can I say	Tianlei: What can I say?
B-HOM-084	HOM	40.74	xcomet/kiwi Δ disagree by 40.7; xcomet_noisy 90.9 but NTA miss	！？雀潮？！	What's the matter?
B-MIX-135	MIX	38.86	xcomet/kiwi Δ disagree by 38.9	抽me,please抽me	Draw me, please.
B-MIX-056	MIX	35.26	xcomet/kiwi Δ disagree by 35.3	图样森破，你太天真了	The drawing is broken, you're too naive.
B-HOM-128	HOM	33.50	xcomet/kiwi Δ disagree by 33.5	全体欣赏阴乐	Appreciate the dark music.
B-MIX-105	MIX	32.15	xcomet/kiwi Δ disagree by 32.1	回答我，鸟为什么会飞？ Look at my eye, tell me why!	Answer me, why do birds fly? Look at my eye, tell me why!
B-HOM-071	HOM	31.80	xcomet/kiwi Δ disagree by 31.8	要泥寡,雨女无瓜!	You're not a person, you're a girl!
B-NEO-058	NEO	31.75	xcomet/kiwi Δ disagree by 31.8	景区打人还理直气壮的，真是绝绝子	Tourists who beat people still act proudly, truly amazing.
B-MIX-054	MIX	31.60	xcomet/kiwi Δ disagree by 31.6; xcomet_noisy 90.7 but NTA miss	GG了，完了	GGed, it's over.
B-NEO-045	NEO	31.49	xcomet/kiwi Δ disagree by 31.5	他这个人好油腻	He's really oily.
B-NEO-054	NEO	31.30	xcomet/kiwi Δ disagree by 31.3	被种草了	I've been tempted.
B-NEO-085	NEO	31.26	xcomet/kiwi Δ disagree by 31.3; xcomet_noisy 81.7 but NTA miss	你这肯定是低段位炸鱼罢了	You're definitely just low-level fishing.
B-PYA-103	PYA	30.93	xcomet/kiwi Δ disagree by 30.9	好装好假好ex	Good fake good ex.
B-NEO-065	NEO	30.67	xcomet/kiwi Δ disagree by 30.7	是我不够糖吗	Am I not getting enough sugar?
B-HOM-121	HOM	30.30	xcomet/kiwi Δ disagree by 30.3	年轻人不讲武德！耗子尾汁	Young people don't have morals! Rat's tail juice.
B-NEO-101	NEO	29.61	xcomet/kiwi Δ disagree by 29.6	红温了，把打野怪爆的装备给炸了，你好歹拿一些吧	He's angry, he blew up the gear he got from killing monsters, you should at least take some.
B-NEO-069	NEO	28.54	xcomet/kiwi Δ disagree by 28.5; xcomet_noisy 89.4 but NTA miss	内卷太严重了，打工人伤不起	The job market is too competitive, and workers can't afford it.
B-PYA-055	PYA	28.20	xcomet/kiwi Δ disagree by 28.2	这操作nb啊，大佬带带我	This operation is so cool, big guy, teach me.
B-MIX-008	MIX	27.93	xcomet/kiwi Δ disagree by 27.9	这套穿搭直接slay全场	This outfit slayed the entire room.
B-HOM-051	HOM	27.71	xcomet/kiwi Δ disagree by 27.7; xcomet_noisy 85.2 but NTA miss	看完女排比赛我直接鸭梨山大	After watching the women's volleyball match, I was really overwhelmed.
B-HOM-110	HOM	27.62	xcomet/kiwi Δ disagree by 27.6	预计会火，火钳刘明	Expected to go viral, Liu Ming the Fire钳.
B-HOM-063	HOM	27.55	xcomet/kiwi Δ disagree by 27.5	笑亖了家人们谁懂啊	Laughed, guys, who doesn't understand?
B-PYA-091	PYA	27.50	xcomet/kiwi Δ disagree by 27.5	WC，这都能被发现啊	What could be discovered like this?
B-MIX-098	MIX	27.38	xcomet/kiwi Δ disagree by 27.4	别什么过场都搞qte，破坏连贯	Don't add QTEs for everything, it breaks the flow.
B-HOM-118	HOM	27.18	xcomet/kiwi Δ disagree by 27.2; xcomet_noisy 95.3 but NTA miss	雾草这幕太美了	The scene is too beautiful.
B-MIX-009	MIX	26.96	xcomet/kiwi Δ disagree by 27.0	王虹这波演讲直接slay	Wang Hong's speech directly slayed.
B-PYA-076	PYA	26.50	xcomet/kiwi Δ disagree by 26.5; xcomet_noisy 95.9 but NTA miss	xswl皇帝的新衣	The Emperor's New Clothes
B-HOM-073	HOM	26.28	xcomet/kiwi Δ disagree by 26.3	哈哈哈哈哈哈哈夺笋呐	Ha ha ha ha ha ha, I'm going to take the bamboo shoot!
B-PYA-051	PYA	26.24	xcomet/kiwi Δ disagree by 26.2; xcomet_noisy 93.5 but NTA miss	tcl，我真的太菜了	TCL, I'm really not good at it.
B-PYA-078	PYA	26.06	xcomet/kiwi Δ disagree by 26.1; xcomet_noisy 81.2 but NTA miss	真的栓Q了家人们	Seriously, I give up, folks.
B-PYA-079	PYA	26.02	xcomet/kiwi Δ disagree by 26.0	8u🚪什么意思	8u Door
B-HOM-047	HOM	25.87	xcomet/kiwi Δ disagree by 25.9	窝五碎！！！	Wu5碎！！！
B-HOM-034	HOM	25.56	xcomet/kiwi Δ disagree by 25.6	蚌埠住了这也太搞笑了	It's really funny that we stayed in Bengbu.
B-NEO-074	NEO	24.77	xcomet/kiwi Δ disagree by 24.8; xcomet_noisy 85.6 but NTA miss	这波操作直接拉胯了	This move completely tanked.
B-PYA-047	PYA	24.73	xcomet/kiwi Δ disagree by 24.7	srds他还是很有实力的	He still has a lot of strength.
B-HOM-038	HOM	24.62	xcomet/kiwi Δ disagree by 24.6; xcomet_noisy 98.9 but NTA miss	这个颜色灰常好看	This color is very nice.
B-NEO-082	NEO	24.56	xcomet/kiwi Δ disagree by 24.6	爷青回	Yaqing hui
B-NEO-034	NEO	24.54	xcomet/kiwi Δ disagree by 24.5	梅老板今年真可怜，这么强的个人发挥啥没有得到	Master Mei, this year you really are pitiful. Such strong personal performance, nothing has been awarded.
B-MIX-065	MIX	24.26	xcomet/kiwi Δ disagree by 24.3	这个DJ太嗨了	This DJ is too wild.
B-PYA-054	PYA	23.82	xcomet/kiwi Δ disagree by 23.8; xcomet_noisy 82.0 but NTA miss	马到成功yyds	Straight to success, YYDS.
B-NEO-059	NEO	23.49	xcomet/kiwi Δ disagree by 23.5; xcomet_noisy 88.1 but NTA miss	破防了	Broken down.
B-NEO-072	NEO	23.40	xcomet/kiwi Δ disagree by 23.4	不是哥们儿	Not a friend.
B-HOM-068	HOM	23.02	xcomet/kiwi Δ disagree by 23.0	我在学校哭别人鸟都不鸟我	I cry at school, and even the birds don't care about me.
B-MIX-145	NEO	22.99	xcomet/kiwi Δ disagree by 23.0; xcomet_noisy 84.5 but NTA miss	甲亢哥：我DNA动了	Hyperthyroid Brother: My DNA has changed.
B-HOM-054	HOM	22.68	xcomet/kiwi Δ disagree by 22.7; xcomet_noisy 90.6 but NTA miss	窝巢，这也太厉害了吧	Nest, that's too impressive!
B-PYA-104	PYA	22.52	xcomet/kiwi Δ disagree by 22.5	死yxh滚远点	Die yxh, get out!
B-NEO-051	NEO	22.48	xcomet/kiwi Δ disagree by 22.5; xcomet_noisy 85.3 but NTA miss	互联网嘴替实锤	Internet mouthpiece real hit
B-HOM-035	HOM	22.08	xcomet/kiwi Δ disagree by 22.1	看到50亿离婚案的消息我直接蓝瘦香菇	Seeing the news of the 5 billion divorce case, I directly turned blue and felt sad.
B-HOM-006	HOM	21.93	xcomet/kiwi Δ disagree by 21.9	你是不是稀饭我？直说嘛	Do you like me? Just say it.
B-HOM-028	HOM	21.51	xcomet/kiwi Δ disagree by 21.5	这配置针不戳，性价比拉满	This configuration is not worth the effort, but the cost-effectiveness is at its peak.
B-HOM-008	HOM	21.48	xcomet/kiwi Δ disagree by 21.5; xcomet_noisy 90.6 but NTA miss	人生就是一个杯具接着一个杯具	Life is a series of disasters following one another.
B-PYA-072	PYA	21.47	xcomet/kiwi Δ disagree by 21.5; xcomet_noisy 99.4 but NTA miss	szd，这个是真的	This is really true.
B-PYA-027	PYA	21.31	xcomet/kiwi Δ disagree by 21.3; xcomet_noisy 80.4 but NTA miss	某些景区管理真是yygq，表面道歉背后照样	Some scenic area management is really yygq, apologizing on the surface but still doing the same thing behind the scenes.
