uid	category	xcomet_noisy	xcomet_clean	xcomet_d	kiwi_noisy	kiwi_clean	kiwi_d	nta_noisy	nta_clean	nta_d	src_noisy	hyp_noisy	src_clean	hyp_clean	ref_en
B-HOM-001	HOM	93.74	95.90	2.16	60.77	84.73	23.96	0	0	0	酱紫也行？那我也试试	Is that okay? I'll give it a try.	这样子也行？那我也试试	Is that okay? I'll give it a try.	this works? then let me try too
B-HOM-002	HOM	98.07	99.61	1.54	65.00	80.78	15.78	0	0	0	你怎么酱紫说话，人家会误会的	How can you talk like that? People will misunderstand.	你怎么这样子说话，人家会误会的	Why are you talking like that? People will misunderstand.	why do you talk like that, people will misunderstand
B-HOM-003	HOM	99.90	100.00	0.10	82.94	84.16	1.21	0	0	0	各位童鞋注意了，期末考试要来了	Attention students, final exams are coming soon!	各位同学注意了，期末考试要来了	Attention students, final exams are coming soon!	attention classmates, final exams are coming
B-HOM-004	HOM	92.26	97.05	4.79	78.07	82.15	4.08	0	100	100	童鞋们帮我看看这道题怎么做	Can you guys help me figure out how to do this problem?	同学们帮我看看这道题怎么做	Classmates, please help me figure out how to do this problem.	classmates help me figure out this problem
B-HOM-005	HOM	90.34	96.66	6.32	72.27	81.05	8.79	100	100	0	我真的好稀饭这个博主，太搞笑了	I really like this blogger, they're hilarious!	我真的好喜欢这个博主，太搞笑了	I really love this blogger, they're hilarious!	I really like this creator, too funny
B-HOM-006	HOM	95.49	100.00	4.51	58.25	86.19	27.94	100	100	0	你是不是稀饭我？直说嘛	Do you like me? Just say so.	你是不是喜欢我？直说嘛	Do you like me? Just say it.	do you like me? just say it
B-HOM-007	HOM	96.66	98.66	2.00	79.52	84.30	4.78	0	100	100	今天又是杯具的一天，出门忘带钥匙	Today was another unfortunate day; I forgot my keys when I went out.	今天又是悲剧的一天，出门忘带钥匙	Today was another tragic day; I forgot my keys when I went out.	another tragic day, forgot my keys going out
B-HOM-008	HOM	90.38	99.97	9.59	53.31	84.90	31.60	100	100	0	人生就是一个杯具接着一个杯具	Life is one tragedy after another.	人生就是一个悲剧接着一个悲剧	Life is one tragedy after another.	life is one tragedy after another
B-HOM-009	HOM	89.67	96.76	7.09	73.71	81.55	7.85	0	100	100	游戏过于神金，不确定先从哪里笑起	The game is too amazing, I'm not sure where to start laughing.	游戏过于神经，不确定先从哪里笑起	The game is too crazy, I'm not sure where to start laughing.	this game is so unhinged, not sure where to start laughing
B-HOM-010	HOM	70.61	93.14	22.53	66.57	72.39	5.82	0	100	100	都说我做饭神金，今天就做神金给你们吃	Everyone says I'm a master cook, so today I'll make some divine-grade meat for you all.	都说我做饭神经，今天就做神经给你们吃	Everyone says I'm a crazy cook, so today I'll make something crazy for you guys to eat.	y'all say I'm crazy in the kitchen, so today I'm cooking crazy for you
B-HOM-011	HOM	81.44	91.75	10.31	66.62	82.61	15.99	0	0	0	世界上最神金的行为	The most divine gold behavior in the world	世界上最神经的行为	The most neurotic behavior in the world	the most unhinged behavior in the world
B-HOM-012	HOM	70.62	93.68	23.07	55.64	65.16	9.52	0	0	0	被这离谱的主播笑拥了	I was laughing so hard at this outrageous streamer.	被这离谱的主播笑晕了	I'm dying of laughter at this outrageous streamer!	I'm dead from this absurd streamer
B-HOM-013	HOM	88.75	93.81	5.05	66.47	74.01	7.54	0	0	0	笑拥了！带货主播推荐的迷惑水果太离谱了吧	LOL! The perplexing fruits recommended by the livestreaming sales host are outrageous!	笑晕了！带货主播推荐的迷惑水果太离谱了吧	I'm dying of laughter! The bizarre fruits recommended by the livestreaming sales host are just too outrageous!	I’m dying laughing! Those weird fruits promoted by live stream sales hosts are ridiculous.
B-HOM-014	HOM	91.70	93.14	1.44	76.32	79.52	3.20	0	0	0	新来的00后程序员写的代码，看到这段注释真的快把我笑拥了	The code written by the new Gen Z programmer almost made me burst out laughing when I saw this comment.	新来的00后程序员写的代码，看到这段注释真的快把我笑晕了	The code written by the new Gen Z programmer almost made me laugh to death when I saw this comment.	the new Gen Z programmer's code, seeing this comment almost killed me laughing
B-HOM-016	NEO	77.67	92.70	15.03	72.56	73.72	1.16	0	0	0	考试没复习直接寄，明年再来	I didn't study for the exam, so I just sent it to them. I'll come back next year.	考试没复习直接完了，明年再来	I failed the exam without studying, I'll have to try again next year.	didn't study for the exam, it's over, see you next year
