uid	category	xcomet_noisy	xcomet_clean	xcomet_d	kiwi_noisy	kiwi_clean	kiwi_d	nta_noisy	nta_clean	nta_d	src_noisy	hyp_noisy	src_clean	hyp_clean	ref_en
A-HOM-001	HOM	72.02	91.69	19.67	75.02	77.40	2.38	0	100	100	广0王，我也是	Guang0 Wang, me too	广陵王，我也是	Prince of Guangling, that's me too.	Prince of Guangling, same here.
A-HOM-002	HOM	98.72	100.00	1.28	68.89	85.96	17.07	100	100	0	3Q 祝你新年快乐 🎊🐍	Thank you! Happy New Year! 🎊🐍	谢谢 祝你新年快乐 🎊🐍	Thank you. Happy New Year! 🎊🐍	Thanks! Happy New Year 🎊🐍
A-HOM-003	HOM	89.99	97.81	7.82	83.22	84.71	1.49	0	100	100	我的玛雅太美了	My Maya is so beautiful.	我的妈呀太美了	Oh my god, it's so beautiful!	Oh my God, mine is so beautiful!
A-HOM-004	HOM	92.35	92.15	-0.20	58.37	66.73	8.36	100	100	0	有顺风顺水顺财神的郝性头像吗？	Do you have a profile picture with the surname Hao, which means good fortune and wealth?	有顺风顺水顺财神的郝姓头像吗？	Do you have a profile picture of someone with the surname Hao who brings good fortune and wealth?	Does anyone have a profile picture with the surname Hao that brings smooth sailing and the God of Wealth?
A-HOM-005	HOM	92.24	90.14	-2.10	80.28	82.18	1.90	0	100	100	➗25家政 15洗衣  10洗车	➗25 Housekeeping, 15 Laundry, 10 Car Wash	出售25家政 15洗衣  10洗车	For sale: 25 housekeeping services, 15 laundry services, and 10 car wash services.	Selling: housekeeping 25, laundry 15, car wash 10.
A-HOM-006	HOM	65.78	98.61	32.83	65.10	85.27	20.17	0	100	100	马牙，谢谢劳斯🥺❤️❤️❤️	Thank you Rolls-Royce, thank you! 🥺❤️❤️❤️	妈呀，谢谢老师🥺❤️❤️❤️	Oh my god, thank you teacher! 🥺❤️❤️❤️	Oh my God, thank you, teacher 🥺❤️❤️❤️
A-HOM-007	HOM	84.78	92.40	7.63	74.76	75.21	0.44	0	100	100	似吧我不拦你	I won't stop you, right?	死吧我不拦你	Die, I won't stop you.	Go die if you want—I won't stop you.
A-HOM-008	HOM	81.87	89.58	7.71	75.43	75.51	0.08	0	100	100	哈雷哈雷，欢迎欢迎热烈欢迎	Harley-Davidson, welcome, welcome, a warm welcome!	你好你好，欢迎欢迎热烈欢迎	Hello, hello, welcome, welcome, a warm welcome!	Hello, hello—a very warm welcome!
A-HOM-009	HOM	48.66	93.01	44.34	47.28	70.07	22.79	0	0	0	国际大厦比	International Building	国际大傻逼	International idiot	A world-class dumbass.
A-HOM-010	HOM	79.20	88.51	9.31	69.30	78.48	9.18	0	0	0	啊啊啊啊给青兰ee吃	Ahhhh, give it to Qinglanee!	啊啊啊啊给青兰阿姨吃	Ahhhh, give it to Aunt Qinglan!	Give Auntie Qinglan something to eat!
A-HOM-011	HOM	84.48	89.58	5.10	38.58	61.81	23.23	100	100	0	啊啊啊啊啊豆儿康康我	Ahhhhhh, Dou'er, look at me!	啊啊啊啊啊豆儿看看我	Ahhhhhh, Dou'er, look at me!	Dou'er, take a look at me!!!
A-HOM-012	HOM	59.63	97.36	37.73	65.21	84.53	19.32	0	100	100	蟹蟹宝宝夸奖	Crab Baby Praise	谢谢宝宝夸奖	Thank you for the compliment, baby.	Thanks, babe, for the compliment.
A-HOM-013	HOM	86.64	100.00	13.36	81.95	85.85	3.91	0	100	100	啊！谢谢劳斯！	Ah! Thank you, Rolls!	啊！谢谢老师！	Ah! Thank you, teacher!	Ah, thank you, teacher!
A-HOM-014	HOM	68.66	72.83	4.17	49.85	57.07	7.22	100	100	0	大鸡毛（大金毛）	Big Chicken Feather (Golden Retriever)	大金毛（大金毛）	Golden Retriever (Golden Retriever)	A big golden retriever (a big golden retriever).
A-HOM-015	HOM	96.56	97.79	1.23	83.54	85.38	1.84	0	0	0	每个月不用给chatgpt交20刀了	I no longer need to pay $20 to chatgpt every month.	每个月不用给chatgpt交20美元了	I no longer need to pay $20 to chatgpt every month.	Now I don’t have to pay ChatGPT $20 a month.
A-HOM-017	HOM	86.52	99.70	13.18	83.83	77.47	-6.36	0	100	100	这就是史	This is history.	这就是屎	This is shit.	This is literally shit.
A-NEO-253	NEO	91.89	94.22	2.33	67.76	81.31	13.55	100	0	-100	知道为什么他父母接受他是0还配合拍视频吗 原因竟是...	Do you know why his parents accepted that he was a bottom and even cooperated in filming the video? The reason is...	知道为什么他父母接受他是受还配合拍视频吗 原因竟是...	Do you know why his parents accepted him as a submissive and even cooperated in filming the video? The reason is...	Do you know why his parents accept that he’s a bottom and even cooperate in making videos? The reason turns out to be...
A-HOM-019	HOM	78.52	85.97	7.45	73.17	75.94	2.77	100	100	0	固体香薰挂！！有7.8个香味都好特别 不是那种浓郁型的，挂在衣柜里淡淡的香灰常舒心！每次来小韩都要囤一堆！！！！	Solid fragrance diffuser holder!! It comes in 7 or 8 very unique scents, not the overpowering kind. The subtle fragrance in the closet is incredibly soothing! I always stock up on a bunch whenever I come to Xiao Han's!	固体香薰挂！！有7.8个香味都好特别 不是那种浓郁型的，挂在衣柜里淡淡的香非常舒心！每次来小韩都要囤一堆！！！！	Solid fragrance diffuser hangers!! They come in 7 or 8 very unique scents, not the overpowering kind. The subtle fragrance is so soothing when hung in the closet! I always stock up on a bunch whenever I come to Xiao Han!	Solid fragrance hangers!! There are seven or eight scents, and every one is so unique. They’re not overpowering; hanging one in the wardrobe leaves a soft scent that feels incredibly soothing! I stock up on a bunch every time I visit Xiao Han!!!!
A-PYA-001	PYA	74.60	97.85	23.25	47.26	51.14	3.88	0	100	100	小窗口dd你吧	dd you in the small window	小窗口联系你吧	I'll contact you via private message.	I'll DM you.
A-PYA-002	PYA	60.65	87.35	26.69	72.97	82.21	9.24	0	0	0	350 q安	350 q An	350 QQ安卓区	350 QQ Android Zone	Offering ¥350 on the QQ Android server.
A-PYA-003	PYA	96.92	100.00	3.08	84.76	87.50	2.74	0	100	100	我喜欢你 CPDD	I like you, CPDD	我喜欢你 想和你谈恋爱	I like you and want to date you.	I like you—want to date?
A-PYA-004	PYA	78.62	95.79	17.17	72.21	81.77	9.56	0	0	0	好可爱cpdd...	So cute couple...	好可爱想找对象...	So cute, I want to find a boyfriend...	So cute—looking for someone to date...
A-PYA-005	PYA	91.89	95.36	3.48	66.38	81.12	14.74	100	100	0	Chuan搭🔴⚪️红白配	Chuan's outfit is a red and white combination.	穿搭🔴⚪️红白配	Outfit 🔴⚪️ Red and white combination	Outfit 🔴⚪️ red and white.
A-PYA-006	PYA	91.09	95.57	4.48	80.58	77.28	-3.30	100	100	0	xhs是得加个翻译功能了	XHS needs to add a translation function.	小红书是得加个翻译功能了	Xiaohongshu really needs to add a translation function.	Xiaohongshu really needs to add a translation feature.
A-PYA-007	PYA	78.32	78.29	-0.03	60.47	59.61	-0.86	100	100	0	愿逆风如解意，蛇年多挣RMB	May the adversity be understanding, and may I earn more RMB in the Year of the Snake.	愿逆风如解意，蛇年多挣人民币	May the adversity be understanding, and may I earn more RMB in the Year of the Snake.	May even the headwinds understand your wishes, and may you make lots of RMB in the Year of the Snake.
A-PYA-008	PYA	69.37	65.45	-3.92	80.79	70.79	-10.00	100	0	-100	说 WOC 和 NB 欢迎来中国旅游和交朋友	They said WOC and NB welcome tourists to China and make friends.	说 我操 和 NB 欢迎来中国旅游和交朋友	"Say ""Fuck!"" and ""NB!"" and welcome to China for tourism and to make friends."	Just say “holy crap” and “awesome.” Welcome to China—come travel and make friends!
A-PYA-009	PYA	54.51	51.02	-3.49	64.42	64.86	0.44	100	0	-100	还是得看对口白话 对口白话兄弟yyds	You still have to watch the Cantonese dialect. Cantonese dialect brothers, yyds!	还是得看对口白话 对口白话兄弟永远的神	You still have to watch Cantonese dialogues. Cantonese dialogue brothers are forever the best!	You’ve got to watch Duikou Baihua. The Duikou Baihua guys are the GOAT.
A-PYA-010	PYA	94.55	94.63	0.09	77.46	78.97	1.51	0	0	0	一打开小红书发现变成国际版le	I opened Xiaohongshu and found it had become the international version.	一打开小红书发现变成国际版了	I opened Xiaohongshu and found it had become the international version.	I opened Xiaohongshu and found it had turned into an international app.
A-PYA-011	PYA	77.76	78.95	1.20	50.83	60.83	10.00	100	100	0	💙15w左右女生建议入手的BBA二手车	💙Recommended used BBA (BMW, Mercedes-Benz, Audi) cars for women around 150,000 RMB	💙15万左右女生建议入手的BBA二手车	💙Recommended used BBA (BMW, Mercedes-Benz, Audi) cars for women around 150,000 RMB	💙 Recommended used BBA cars for women with a budget of around ¥150,000.
A-PYA-012	PYA	92.37	93.03	0.66	70.54	60.37	-10.17	100	100	0	上次还有人说瘦的是P的 搞不懂根本搞不懂	Last time someone said the weight loss was photoshopped. I just don't understand it.	上次还有人说瘦的是修图的 搞不懂根本搞不懂	Last time someone said the thin photos were photoshopped. I just don't understand it.	Last time someone even said the slim look was photoshopped. I don’t get it—seriously, I just don’t.
A-NEO-001	NEO	92.91	97.79	4.88	64.18	66.63	2.45	0	0	0	中中中哦[doge]	Good, good, good! [doge]	好好好哦[doge]	Okay, okay! [doge]	Okay, okay, okay [doge].
A-NEO-002	NEO	96.10	99.41	3.31	72.46	84.05	11.59	0	0	0	噗哈哈哈还是你6666	Hahaha, you're still the best!	噗哈哈哈还是你最厉害	Hahaha, you're still the best!	Pfft, hahaha—you're still the best!
A-NEO-003	NEO	91.92	84.50	-7.42	65.92	75.50	9.58	0	100	100	想到他们的“快乐水”	"Thinking of their ""happy water"""	想到他们的“可乐”	"Thinking of their ""Cola"""	Thinking about their so-called “happy water”—Coke.
A-NEO-004	NEO	56.21	78.03	21.83	39.20	38.91	-0.28	0	0	0	来了中中中	Arrived in China	来了好好好	Here it comes!	I'm here—okay, okay, okay!
A-NEO-005	NEO	91.95	96.28	4.33	49.63	74.09	24.46	0	0	0	割肉？22年1.1买的，1.7算割肉吗	Selling at a loss? I bought it on 1.1 in 2022, is selling it on 1.7 considered a loss?	亏本卖出？22年1.1买的，1.7算亏本卖出吗	Selling at a loss? I bought it at 1.1 in 2022, is selling it at 1.7 considered a loss?	Selling at a loss? I bought it for 1.1 in 2022; does selling at 1.7 really count as taking a loss?
A-NEO-006	NEO	76.90	89.36	12.45	48.85	63.03	14.18	0	100	100	不在鱼上了吗	Is it no longer on the fish?	不在闲鱼上了吗	Is it no longer on Xianyu?	Aren't you selling it on Xianyu anymore?
A-NEO-007	NEO	49.91	94.28	44.37	84.25	81.18	-3.07	0	0	0	巴拉巴拉说的啥	What did Balabala say?	说了这么多，到底在说什么	After saying all that, what exactly are we talking about?	After all that rambling, what are you even talking about?
A-NEO-008	NEO	98.90	99.97	1.07	67.49	80.54	13.05	0	0	0	这是老广啊	This is a local from Guangdong.	这是广东本地人啊	This person is a local from Guangdong.	That's a true Guangdong local.
A-NEO-009	NEO	34.50	87.89	53.39	55.82	63.50	7.68	0	100	100	交?已关[doge]	The submission period has ended. [doge]	互相关注?已经关注[doge]	Mutual following? Already following [doge]	Want to be mutuals? I have already followed you. [doge]
A-NEO-010	NEO	80.10	96.15	16.05	56.63	84.06	27.42	0	100	100	多的不说，给我中中中	Enough said, just give me a thumbs up!	多的不说，希望我能中奖	I won't say much more, I just hope I win the lottery.	Enough talk—hope I win!
A-NEO-011	NEO	78.37	94.22	15.85	70.06	80.82	10.76	0	0	0	五！老！师！我！想！你！了！	Fifth! Teacher! I! Miss! You!	五条悟老师我！想！你！了！	Dear Gojo Satoru-sensei, I miss you!	Gojo-sensei! I miss you!
A-NEO-012	NEO	90.16	99.96	9.79	73.58	83.74	10.15	100	0	-100	杭州现货，价格美丽	Hangzhou spot goods, attractive prices	杭州现货，价格很划算	Available in Hangzhou, very affordable.	In stock in Hangzhou at a great price.
A-NEO-013	NEO	75.02	70.33	-4.69	67.27	64.95	-2.32	0	0	0	318走🐟（24/6生产日期）	318 (Production date: 24/6)	318通过闲鱼交易（24/6生产日期）	Transaction via Xianyu on 318 (Production date: 24/6)	¥318 via Xianyu (manufactured in June 2024).
A-NEO-014	NEO	96.23	98.68	2.45	53.71	77.22	23.51	100	100	0	蹲了很久[doge]	I've been waiting for this for a long time [doge]	等了很久[doge]	I've been waiting for so long [doge]	I've been waiting a long time [doge].
A-NEO-015	NEO	73.36	97.70	24.35	63.43	81.56	18.13	0	100	100	蹲蹲哈哈	Squat squat haha	在这里等候哈哈	Waiting here, haha.	Waiting, waiting, haha.
