uid	category	xcomet_noisy	xcomet_clean	xcomet_d	kiwi_noisy	kiwi_clean	kiwi_d	nta_noisy	nta_clean	nta_d	src_noisy	hyp_noisy	src_clean	hyp_clean	ref_en
B-HOM-001	HOM	93.91	95.63	1.72	61.38	84.08	22.71	0	0	0	酱紫也行？那我也试试	Is this okay? Then I’ll try it too.	这样子也行？那我也试试	Is this okay? Then I’ll try it too.	this works? then let me try too
B-HOM-002	HOM	98.10	95.70	-2.40	63.42	80.05	16.63	0	0	0	你怎么酱紫说话，人家会误会的	Why are you talking like that? People will misunderstand you.	你怎么这样子说话，人家会误会的	How are you speaking like that? People will misunderstand you.	why do you talk like that, people will misunderstand
B-HOM-003	HOM	99.24	99.53	0.29	81.86	83.12	1.26	0	0	0	各位童鞋注意了，期末考试要来了	Everyone, pay attention, the final exam is coming!	各位同学注意了，期末考试要来了	Everyone, please pay attention, the final exam is coming!	attention classmates, final exams are coming
B-HOM-004	HOM	95.65	96.08	0.43	82.46	83.39	0.92	0	100	100	童鞋们帮我看看这道题怎么做	Hey guys, can you help me figure out how to solve this problem?	同学们帮我看看这道题怎么做	Could my classmates help me figure out how to solve this problem?	classmates help me figure out this problem
B-HOM-005	HOM	95.14	97.01	1.87	71.61	82.53	10.92	100	100	0	我真的好稀饭这个博主，太搞笑了	I really love this blogger, they're so funny.	我真的好喜欢这个博主，太搞笑了	I really like this blogger, they're so funny.	I really like this creator, too funny
B-HOM-006	HOM	66.43	100.00	33.57	42.04	86.19	44.15	0	100	100	你是不是稀饭我？直说嘛	Are you looking down on me, Rice Ball? Just say it.	你是不是喜欢我？直说嘛	Do you like me? Just say it.	do you like me? just say it
B-HOM-007	HOM	94.74	98.36	3.62	77.20	83.57	6.38	0	100	100	今天又是杯具的一天，出门忘带钥匙	Today was a complete disaster, I forgot my keys when I went out.	今天又是悲剧的一天，出门忘带钥匙	Today is another tragic day; I forgot my keys when I went out.	another tragic day, forgot my keys going out
B-HOM-008	HOM	89.59	100.00	10.41	57.47	84.30	26.82	0	100	100	人生就是一个杯具接着一个杯具	Life is one disaster after another.	人生就是一个悲剧接着一个悲剧	Life is just one tragedy after another.	life is one tragedy after another
B-HOM-009	HOM	84.27	94.82	10.56	64.80	81.03	16.23	0	0	0	游戏过于神金，不确定先从哪里笑起	The game is too overwhelmingly grand and fantastical, making it uncertain where to begin laughing.	游戏过于神经，不确定先从哪里笑起	The game is too tense, I’m not sure where to start laughing.	this game is so unhinged, not sure where to start laughing
B-HOM-010	HOM	88.08	89.60	1.51	73.63	63.08	-10.55	0	0	0	都说我做饭神金，今天就做神金给你们吃	Everyone says I'm a god at cooking, so today I'm going to cook something amazing for you all.	都说我做饭神经，今天就做神经给你们吃	They all say I'm a terrible cook, so today I'm going to make a terrible meal for you all.	y'all say I'm crazy in the kitchen, so today I'm cooking crazy for you
B-HOM-011	HOM	82.90	94.40	11.50	73.03	78.79	5.76	0	0	0	世界上最神金的行为	The most divine and golden deed in the world	世界上最神经的行为	The most nerve-wracking behavior in the world.	the most unhinged behavior in the world
B-HOM-012	HOM	58.18	83.18	25.00	55.36	55.05	-0.32	0	0	0	被这离谱的主播笑拥了	Was laughed at and charmed by this outrageous streamer.	被这离谱的主播笑晕了	I almost laughed myself silly at the crazy streamer.	I'm dead from this absurd streamer
B-HOM-013	HOM	82.79	81.29	-1.50	63.46	62.70	-0.77	0	0	0	笑拥了！带货主播推荐的迷惑水果太离谱了吧	Laughing my head off! The mind-boggling fruits recommended by the live stream merchant are so outrageous!	笑晕了！带货主播推荐的迷惑水果太离谱了吧	Laughing out of breath! The ridiculously bizarre fruit recommended by the live streaming merchant is insane!	I’m dying laughing! Those weird fruits promoted by live stream sales hosts are ridiculous.
B-HOM-014	HOM	91.38	92.09	0.70	74.59	77.38	2.80	0	0	0	新来的00后程序员写的代码，看到这段注释真的快把我笑拥了	The code written by a new generation (Z) programmer, seeing this comment, almost made me burst out laughing.	新来的00后程序员写的代码，看到这段注释真的快把我笑晕了	The code written by a new generation (Z) programmer, seeing this comment, almost made me burst out laughing.	the new Gen Z programmer's code, seeing this comment almost killed me laughing
B-HOM-016	NEO	91.14	80.12	-11.02	50.42	69.24	18.82	0	0	0	考试没复习直接寄，明年再来	Without studying, you're doomed; you'll fail, and you'll have to try again next year.	考试没复习直接完了，明年再来	If you don't study for the exam, you're done for – you’ll have to try again next year.	didn't study for the exam, it's over, see you next year
B-HOM-018	HOM	63.34	78.47	15.13	50.37	70.53	20.16	0	0	0	火钳流明，这帖子要火	Fire gauge lumens, this post needs to go viral.	火前留名，这帖子要火	Leave a name before the fire, this post needs to go viral.	leaving a name before this blows up, this post is about to go viral
B-HOM-019	HOM	51.70	96.64	44.94	55.06	84.46	29.40	0	0	0	雀食好笑，不骗你	It’s amusing to see a magpie eating, don’t deceive me.	确实好笑，不骗你	That’s really funny, I’m not kidding.	it's genuinely funny, no cap
B-HOM-021	HOM	97.93	97.09	-0.84	82.20	84.45	2.25	0	100	100	沃草，这无人机表演太震撼了	Wow, that drone show was so amazing!	我操，这无人机表演太震撼了	Damn, that drone performance was incredible!	holy crap, this drone show is insane
B-HOM-023	HOM	70.74	70.04	-0.70	69.04	47.93	-21.11	0	0	0	你想peach呢，哪有这么好的事	What do you want with a peach? There’s nothing good about it.	你想屁吃呢，哪有这么好的事	You're looking for trouble, you know that? There's no good thing like that.	you're dreaming, how can something that good happen
B-HOM-024	HOM	92.97	97.03	4.06	71.39	82.52	11.13	0	100	100	别虾扯蛋了，老师说的都是真的吗	Don't be a complete idiot, are the teacher's words true?	别瞎扯淡了，老师说的都是真的吗	Stop talking nonsense, are all the teacher's words true?	stop talking BS, is what the teacher said even true
B-HOM-025	HOM	68.92	60.98	-7.94	61.75	56.06	-5.69	0	0	0	先报上自己的分数啊搞辣菜	Let's report our scores first, and then make spicy vegetables.	先报上自己的分数啊搞拉踩	Let's be honest and report your scores first to avoid embarrassment.	dropping your score first before throwing shade smh
B-HOM-026	HOM	94.86	97.89	3.02	59.01	76.49	17.49	0	100	100	蚌埠住了，腾讯这泄密处理速度也太快了吧	It's unbelievable how quickly Tencent handled this leak!	绷不住了，腾讯这泄密处理速度也太快了吧	I can't hold it in, the speed at which Tencent handled this leak is just too fast!	I can't hold it in anymore, Tencent's speed in handling this leak is just too fast
B-HOM-027	HOM	73.26	73.83	0.57	76.96	79.87	2.91	0	0	0	嗷利给，西班牙第一了	Wow, Spain is number one!	奥利给，西班牙第一了	Ole, Spain is number one!	Aigoo Spain took first place let's gooo
B-HOM-028	HOM	68.38	70.64	2.26	46.54	77.40	30.86	0	0	0	这配置针不戳，性价比拉满	This configuration is perfect, it’s incredibly high value for the price.	这配置真不错，性价比拉满	This configuration is really good, it’s incredibly cost-effective.	This setup slaps, value for money off the charts
B-HOM-029	HOM	57.34	56.17	-1.18	45.90	54.35	8.45	0	0	0	赛里木湖这操作针不戳啊，景区打人还能辞退就完事了？	This lake is a total bust – the authorities just brush it off, and the park just fires the person who assaulted someone?	赛里木湖这操作真不错啊，景区打人还能辞退就完事了？	This Lake Seljimo is really handling this well, isn't it? The scenic area just fires someone and then brushes it off?	Sarim Lake's handling is just great, beating people at a scenic spot and just firing them is that it?
