model	category	delta_a	delta_b	gap
aya-101	HOM	15.86	11.72	4.14
aya-101	PYA	9.85	3.93	5.92
aya-101	NEO	8.04	9.27	-1.23
aya-101	MIX	0.93	-1.34	2.27
aya-101	all	7.47	5.60	1.86
aya-expanse-8b	HOM	15.72	12.64	3.09
aya-expanse-8b	PYA	14.47	3.65	10.83
aya-expanse-8b	NEO	11.22	10.05	1.18
aya-expanse-8b	MIX	3.09	1.75	1.33
aya-expanse-8b	all	10.35	6.86	3.49
deepseek	HOM	10.47	5.81	4.67
deepseek	PYA	5.55	1.61	3.94
deepseek	NEO	5.82	3.20	2.62
deepseek	MIX	2.63	-0.75	3.38
deepseek	all	5.58	2.35	3.23
gemini	HOM	9.47	7.15	2.32
gemini	PYA	9.33	1.65	7.68
gemini	NEO	5.92	4.69	1.23
gemini	MIX	4.36	-0.87	5.23
gemini	all	6.08	3.01	3.07
gemma3-12b	HOM	8.23	9.77	-1.54
gemma3-12b	PYA	9.49	1.61	7.88
gemma3-12b	NEO	8.42	6.01	2.41
gemma3-12b	MIX	3.60	-0.05	3.64
gemma3-12b	all	7.67	4.21	3.46
gemma3-27b	HOM	12.99	10.82	2.17
gemma3-27b	PYA	11.90	5.37	6.53
gemma3-27b	NEO	9.87	8.55	1.33
gemma3-27b	MIX	1.64	0.25	1.39
gemma3-27b	all	8.83	5.99	2.84
gemma3-4b	HOM	11.73	8.67	3.05
gemma3-4b	PYA	8.89	1.87	7.03
gemma3-4b	NEO	9.38	7.37	2.01
gemma3-4b	MIX	1.95	1.05	0.89
gemma3-4b	all	8.28	4.64	3.64
gemmax2-9b	HOM	14.47	10.40	4.07
gemmax2-9b	PYA	6.28	4.20	2.08
gemmax2-9b	NEO	7.46	7.57	-0.12
gemmax2-9b	MIX	3.63	-0.09	3.73
gemmax2-9b	all	7.21	5.30	1.91
google-translate	HOM	12.38	10.31	2.07
google-translate	PYA	5.11	3.09	2.02
google-translate	NEO	7.11	5.55	1.56
google-translate	MIX	3.76	-0.03	3.79
google-translate	all	6.78	4.57	2.21
gpt-4o	HOM	10.91	7.96	2.95
gpt-4o	PYA	9.49	2.16	7.33
gpt-4o	NEO	6.40	4.45	1.95
gpt-4o	MIX	3.09	-0.45	3.54
gpt-4o	all	6.31	3.39	2.92
hunyuan-mt-7b	HOM	10.89	11.19	-0.30
hunyuan-mt-7b	PYA	12.08	3.70	8.38
hunyuan-mt-7b	NEO	8.05	6.57	1.48
hunyuan-mt-7b	MIX	3.98	0.16	3.82
hunyuan-mt-7b	all	7.79	5.22	2.57
nllb-3.3b	HOM	8.68	11.08	-2.40
nllb-3.3b	PYA	11.93	0.04	11.89
nllb-3.3b	NEO	13.00	6.52	6.48
nllb-3.3b	MIX	3.67	-0.54	4.20
nllb-3.3b	all	11.13	4.17	6.96
qwen3-0.6b	HOM	10.30	7.94	2.36
qwen3-0.6b	PYA	4.16	1.72	2.45
qwen3-0.6b	NEO	7.65	5.77	1.87
qwen3-0.6b	MIX	4.63	-1.74	6.36
qwen3-0.6b	all	7.12	3.23	3.90
qwen3-1.7b	HOM	12.18	9.86	2.32
qwen3-1.7b	PYA	7.02	0.99	6.04
qwen3-1.7b	NEO	6.74	5.44	1.30
qwen3-1.7b	MIX	2.31	0.69	1.62
qwen3-1.7b	all	6.37	4.18	2.20
qwen3-14b	HOM	12.27	9.52	2.76
qwen3-14b	PYA	7.16	3.34	3.82
qwen3-14b	NEO	7.56	5.82	1.74
qwen3-14b	MIX	4.11	-0.85	4.95
qwen3-14b	all	7.27	4.25	3.02
qwen3-32b	HOM	13.38	9.62	3.77
qwen3-32b	PYA	6.93	3.65	3.28
qwen3-32b	NEO	6.81	6.09	0.73
qwen3-32b	MIX	4.07	-1.27	5.34
qwen3-32b	all	6.79	4.28	2.51
qwen3-4b	HOM	10.26	10.09	0.17
qwen3-4b	PYA	8.45	2.71	5.74
qwen3-4b	NEO	8.55	6.12	2.43
qwen3-4b	MIX	2.20	-0.46	2.66
qwen3-4b	all	7.61	4.44	3.17
qwen3-8b	HOM	9.53	9.78	-0.24
qwen3-8b	PYA	8.06	3.14	4.91
qwen3-8b	NEO	8.70	5.86	2.85
qwen3-8b	MIX	3.50	-1.56	5.06
qwen3-8b	all	7.86	4.07	3.79
