uid	category	severity	reasons	src_noisy	hyp_noisy
A-NEO-082	NEO	64.04	xcomet/kiwi Δ disagree by 64.0; xcomet_noisy 86.4 but NTA miss	天天收藏，从未开始	Every day, I've been saving, never started.
A-NEO-007	NEO	57.58	xcomet/kiwi Δ disagree by 57.6	巴拉巴拉说的啥	What did Balabala say?
A-NEO-210	NEO	55.69	xcomet/kiwi Δ disagree by 55.7	2024🇹🇭曼谷米其林摘星🌟之旅全攻略	2024 曼谷米其林摘星之旅全攻略 - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
A-MIX-040	MIX	54.89	xcomet/kiwi Δ disagree by 54.9	小wieiad vlog 🖤	小wieiad vlog 🖤
A-MIX-003	MIX	46.00	xcomet/kiwi Δ disagree by 46.0	erguotou二锅头[doge]	二锅头[doge]
A-HOM-005	HOM	41.49	xcomet/kiwi Δ disagree by 41.5	➗25家政 15洗衣  10洗车	Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services: Cleaning services:
A-NEO-015	NEO	38.81	xcomet/kiwi Δ disagree by 38.8; xcomet_noisy 88.0 but NTA miss	蹲蹲哈哈	哈哈,你好!
A-MIX-044	MIX	36.71	xcomet/kiwi Δ disagree by 36.7	想大海和sun kissed life	I miss the sea and the sun kissed life.
A-NEO-072	NEO	36.49	xcomet/kiwi Δ disagree by 36.5	什么刀子都有[doge]	Whatever knives you have, you'll get it.
A-NEO-004	NEO	35.84	xcomet/kiwi Δ disagree by 35.8	来了中中中	你好,我是中中中。
