uid	table	category	src_noisy	src_clean	ref_en	noise_span	noise_gold_en	noise_std	source_meta
A-HOM-001	A	HOM	广0王，我也是	广陵王，我也是	Prince of Guangling, same here.	广0王	Prince of Guangling	广陵王	CSM
A-HOM-002	A	HOM	3Q 祝你新年快乐 🎊🐍	谢谢 祝你新年快乐 🎊🐍	Thanks! Happy New Year 🎊🐍	3Q	thanks ‖ thank you	谢谢	CSM
A-HOM-003	A	HOM	我的玛雅太美了	我的妈呀太美了	Oh my God, mine is so beautiful!	玛雅	oh my God ‖ goodness ‖ wow	妈呀	CSM
A-HOM-004	A	HOM	有顺风顺水顺财神的郝性头像吗？	有顺风顺水顺财神的郝姓头像吗？	Does anyone have a profile picture with the surname Hao that brings smooth sailing and the God of Wealth?	郝性	the surname Hao	郝姓	CSM
A-HOM-005	A	HOM	➗25家政 15洗衣  10洗车	出售25家政 15洗衣  10洗车	Selling: housekeeping 25, laundry 15, car wash 10.	➗	for sale ‖ offering paid services	出售	CSM
A-HOM-006	A	HOM	马牙，谢谢劳斯🥺❤️❤️❤️	妈呀，谢谢老师🥺❤️❤️❤️	Oh my God, thank you, teacher 🥺❤️❤️❤️	马牙 ‖ 劳斯	oh my God ‖ teacher or creator	妈呀 ‖ 老师	CSM
A-HOM-007	A	HOM	似吧我不拦你	死吧我不拦你	Go die if you want—I won't stop you.	似	die	死	CSM
A-HOM-008	A	HOM	哈雷哈雷，欢迎欢迎热烈欢迎	你好你好，欢迎欢迎热烈欢迎	Hello, hello—a very warm welcome!	哈雷哈雷	hello hello ‖ hi there	你好你好	CSM
A-HOM-009	A	HOM	国际大厦比	国际大傻逼	A world-class dumbass.	国际大厦比	world-class dumbass ‖ the biggest fucking idiot	国际大傻逼	CSM
A-HOM-010	A	HOM	啊啊啊啊给青兰ee吃	啊啊啊啊给青兰阿姨吃	Give Auntie Qinglan something to eat!	ee	auntie ‖ aunty	阿姨	CSM
A-HOM-011	A	HOM	啊啊啊啊啊豆儿康康我	啊啊啊啊啊豆儿看看我	Dou'er, take a look at me!!!	康康	look at me ‖ take a look	看看	CSM
A-HOM-012	A	HOM	蟹蟹宝宝夸奖	谢谢宝宝夸奖	Thanks, babe, for the compliment.	蟹蟹	thanks ‖ thank you	谢谢	CSM
A-HOM-013	A	HOM	啊！谢谢劳斯！	啊！谢谢老师！	Ah, thank you, teacher!	劳斯	teacher ‖ creator ‖ seller	老师	CSM
A-HOM-014	A	HOM	大鸡毛（大金毛）	大金毛（大金毛）	A big golden retriever (a big golden retriever).	大鸡毛	big golden retriever ‖ golden retriever	大金毛	CSM
A-HOM-015	A	HOM	每个月不用给chatgpt交20刀了	每个月不用给chatgpt交20美元了	Now I don’t have to pay ChatGPT $20 a month.	刀	dollars	美元	CSM
A-HOM-017	A	HOM	这就是史	这就是屎	This is literally shit.	史	shit	屎	CSM
A-NEO-253	A	NEO	知道为什么他父母接受他是0还配合拍视频吗 原因竟是...	知道为什么他父母接受他是受还配合拍视频吗 原因竟是...	Do you know why his parents accept that he’s a bottom and even cooperate in making videos? The reason turns out to be...	0	zero ‖ bottom	受	CSM
A-HOM-019	A	HOM	固体香薰挂！！有7.8个香味都好特别 不是那种浓郁型的，挂在衣柜里淡淡的香灰常舒心！每次来小韩都要囤一堆！！！！	固体香薰挂！！有7.8个香味都好特别 不是那种浓郁型的，挂在衣柜里淡淡的香非常舒心！每次来小韩都要囤一堆！！！！	Solid fragrance hangers!! There are seven or eight scents, and every one is so unique. They’re not overpowering; hanging one in the wardrobe leaves a soft scent that feels incredibly soothing! I stock up on a bunch every time I visit Xiao Han!!!!	灰常	very ‖ extremely	非常	CSM
A-PYA-001	A	PYA	小窗口dd你吧	小窗口联系你吧	I'll DM you.	dd	DM ‖ message ‖ contact	联系	CSM
A-PYA-002	A	PYA	350 q安	350 QQ安卓区	Offering ¥350 on the QQ Android server.	q安	QQ Android server ‖ QQ Android version	QQ安卓区	CSM
A-PYA-003	A	PYA	我喜欢你 CPDD	我喜欢你 想和你谈恋爱	I like you—want to date?	CPDD	want to date ‖ want to be a couple	想和你谈恋爱	CSM
