model	n	xcomet_noisy	xcomet_clean	xcomet_delta	xcomet_ci	rel_delta	kiwi_delta	nta_noisy	nta_clean	nta_delta
nllb-3.3b	267	60.34	71.46	11.13	[8.36, 13.83]	0.156	8.98	16.48	22.85	6.37
google-translate	267	82.17	88.95	6.78	[5.30, 8.38]	0.076	6.64	31.84	41.20	9.36
qwen3-1.7b	267	74.26	80.63	6.37	[4.71, 8.17]	0.079	7.28	18.35	29.21	10.86
qwen3-8b	267	77.37	85.23	7.86	[6.27, 9.57]	0.092	7.70	26.59	34.83	8.24
qwen3-32b	267	79.39	86.18	6.79	[5.29, 8.30]	0.079	7.63	28.09	38.58	10.49
gpt-4o	267	81.43	87.75	6.31	[4.88, 7.74]	0.072	7.16	30.71	38.95	8.24
gemini	267	81.59	87.67	6.08	[4.68, 7.53]	0.069	7.52	35.96	40.07	4.12
aya-101	267	69.93	77.39	7.47	[5.49, 9.59]	0.096	8.47	11.99	15.73	3.75
aya-expanse-8b	267	72.11	82.46	10.35	[8.23, 12.57]	0.126	7.89	23.60	35.96	12.36
deepseek	267	82.41	87.99	5.58	[4.16, 7.05]	0.063	7.72	37.83	42.32	4.49
gemma3-12b	267	78.37	86.04	7.67	[6.02, 9.32]	0.089	8.07	27.34	40.07	12.73
gemma3-27b	267	75.98	84.80	8.83	[6.66, 11.05]	0.104	9.26	34.08	39.70	5.62
gemma3-4b	267	74.72	82.99	8.28	[6.44, 10.21]	0.100	7.92	25.47	36.70	11.24
gemmax2-9b	267	77.87	85.07	7.21	[5.74, 8.79]	0.085	5.52	28.84	33.33	4.49
hunyuan-mt-7b	267	78.95	86.73	7.79	[6.21, 9.54]	0.090	5.56	23.60	39.70	16.10
qwen3-0.6b	267	68.20	75.32	7.12	[5.28, 9.01]	0.095	7.61	16.10	20.97	4.87
qwen3-14b	267	78.30	85.58	7.27	[5.60, 8.93]	0.085	6.48	25.09	36.33	11.24
qwen3-4b	267	75.92	83.53	7.61	[5.83, 9.39]	0.091	7.50	27.34	33.71	6.37
