pair	scope	metric	n	mean_hi	mean_lo	diff	ci_lo	ci_hi	p_boot
a2-a0	HOM	xcomet	123	82.40	78.33	4.07	2.03	6.14	0.0000
a2-a1	HOM	xcomet	123	82.40	82.52	-0.13	-1.91	1.45	0.8940
a3-a2	HOM	xcomet	123	84.29	82.40	1.89	0.49	3.36	0.0060
a4-a3	HOM	xcomet	123	87.94	84.29	3.65	2.15	5.36	0.0000
a2-a0	PYA	xcomet	108	84.10	82.68	1.42	-0.43	3.22	0.1210
a2-a1	PYA	xcomet	108	84.10	83.56	0.55	-0.85	1.91	0.4200
a3-a2	PYA	xcomet	108	84.22	84.10	0.12	-0.91	1.25	0.8430
a4-a3	PYA	xcomet	108	86.32	84.22	2.10	0.71	3.63	0.0010
a2-a0	NEO	xcomet	117	84.46	81.61	2.85	1.61	4.09	0.0000
a2-a1	NEO	xcomet	117	84.46	83.63	0.83	-0.40	2.08	0.1880
a3-a2	NEO	xcomet	117	85.88	84.46	1.42	0.25	2.72	0.0200
a4-a3	NEO	xcomet	117	87.69	85.88	1.81	0.25	3.48	0.0260
a2-a0	MIX	xcomet	144	87.73	90.04	-2.31	-3.30	-1.36	0.0000
a2-a1	MIX	xcomet	144	87.73	88.35	-0.62	-1.46	0.21	0.1470
a3-a2	MIX	xcomet	144	88.38	87.73	0.65	-0.03	1.37	0.0660
a4-a3	MIX	xcomet	144	88.77	88.38	0.39	-0.66	1.46	0.4320
