uid	category	xcomet_noisy	xcomet_clean	xcomet_d	kiwi_noisy	kiwi_clean	kiwi_d	nta_noisy	nta_clean	nta_d	src_noisy	hyp_noisy	src_clean	hyp_clean	ref_en
A-HOM-001	HOM	33.02	78.20	45.18	30.01	76.05	46.04	0	0	0	广0王，我也是	I'm not a king.	广陵王，我也是	King of Guangming, I am also	Prince of Guangling, same here.
A-HOM-002	HOM	91.62	99.26	7.64	76.41	82.80	6.39	0	100	100	3Q 祝你新年快乐 🎊🐍	3Q Happy new year to you	谢谢 祝你新年快乐 🎊🐍	Thank you, happy new year.	Thanks! Happy New Year 🎊🐍
A-HOM-003	HOM	89.66	87.50	-2.16	81.93	86.71	4.78	0	0	0	我的玛雅太美了	My Maya is beautiful.	我的妈呀太美了	My mother is beautiful.	Oh my God, mine is so beautiful!
A-HOM-004	HOM	48.61	48.27	-0.34	46.99	45.67	-1.32	0	0	0	有顺风顺水顺财神的郝性头像吗？	Is there a head of a god of wind and water and fortune?	有顺风顺水顺财神的郝姓头像吗？	Is there a name for the god of wind, water, and luck?	Does anyone have a profile picture with the surname Hao that brings smooth sailing and the God of Wealth?
A-HOM-005	HOM	92.69	77.16	-15.53	82.59	54.94	-27.65	0	100	100	➗25家政 15洗衣  10洗车	25 household chores 15 laundry 10 car wash	出售25家政 15洗衣  10洗车	25 for sale 15 for laundry 10 for car wash	Selling: housekeeping 25, laundry 15, car wash 10.
A-HOM-006	HOM	48.56	86.32	37.76	76.02	79.28	3.26	0	0	0	马牙，谢谢劳斯🥺❤️❤️❤️	Thank you, Maya, thank you, Ros!	妈呀，谢谢老师🥺❤️❤️❤️	Oh, thank you, thank you, teacher.	Oh my God, thank you, teacher 🥺❤️❤️❤️
A-HOM-007	HOM	94.90	96.09	1.18	62.71	62.57	-0.14	0	0	0	似吧我不拦你	I'm not stopping you.	死吧我不拦你	I'm not stopping you.	Go die if you want—I won't stop you.
A-HOM-008	HOM	56.77	-4.27	-61.04	50.41	30.95	-19.46	0	100	100	哈雷哈雷，欢迎欢迎热烈欢迎	Harle Harle, welcome, welcome, welcome, welcome, and welcome to the world of the Internet.	你好你好，欢迎欢迎热烈欢迎	Hello, hello, welcome, welcome, welcome, welcome, welcome, welcome, welcome, welcome, welcome, welcome, welcome, welcome, welcome, welcome, welcome, welcome, welcome, welcome, welcome, welcome, welcome, what are you doing here?	Hello, hello—a very warm welcome!
A-HOM-009	HOM	40.90	53.09	12.19	37.39	41.15	3.76	0	0	0	国际大厦比	The International Diamond ratio	国际大傻逼	The international community is aggressive	A world-class dumbass.
A-HOM-010	HOM	71.67	78.66	6.98	64.70	67.71	3.01	0	0	0	啊啊啊啊给青兰ee吃	Ah ah ah, feed the orangutans.	啊啊啊啊给青兰阿姨吃	Ah ah ah, feed it to Aunt Chin.	Give Auntie Qinglan something to eat!
A-HOM-011	HOM	19.87	78.65	58.78	23.94	74.85	50.91	0	100	100	啊啊啊啊啊豆儿康康我	I'm fine, I'm fine, I'm fine, I'm fine, I'm fine, I'm fine, I'm fine, I was fine, I was fine	啊啊啊啊啊豆儿看看我	Ah ah ah ah, look at me, my baby	Dou'er, take a look at me!!!
A-HOM-012	HOM	36.76	95.09	58.33	36.73	53.30	16.57	0	100	100	蟹蟹宝宝夸奖	The award is given to the best children's book.	谢谢宝宝夸奖	Thank you for the award.	Thanks, babe, for the compliment.
A-HOM-013	HOM	82.49	100.00	17.51	81.12	85.85	4.73	0	100	100	啊！谢谢劳斯！	Ah! thank you thank you, Klaus!	啊！谢谢老师！	Ah! Thank you, teacher!	Ah, thank you, teacher!
A-HOM-014	HOM	24.96	27.80	2.84	31.94	51.49	19.56	0	0	0	大鸡毛（大金毛）	"The name of the city is ""Kanglong""."	大金毛（大金毛）	"The name of the song is ""The Great Golden Fleece""."	A big golden retriever (a big golden retriever).
A-HOM-015	HOM	81.47	94.91	13.44	63.17	84.38	21.20	0	0	0	每个月不用给chatgpt交20刀了	No more paying 20 knives to chatgpt every month	每个月不用给chatgpt交20美元了	No more paying $ 20 a month to chatgpt	Now I don’t have to pay ChatGPT $20 a month.
A-HOM-017	HOM	86.52	47.66	-38.86	83.83	35.91	-47.92	0	0	0	这就是史	This is history.	这就是屎	This is the pump.	This is literally shit.
A-NEO-253	NEO	85.24	81.15	-4.08	69.74	66.11	-3.63	100	0	-100	知道为什么他父母接受他是0还配合拍视频吗 原因竟是...	Do you know why his parents accepted him as a zero and also supported the video shoot?	知道为什么他父母接受他是受还配合拍视频吗 原因竟是...	Do you know why his parents accepted him for the video shoot?	Do you know why his parents accept that he’s a bottom and even cooperate in making videos? The reason turns out to be...
A-HOM-019	HOM	42.75	46.40	3.65	48.84	50.02	1.18	100	100	0	固体香薰挂！！有7.8个香味都好特别 不是那种浓郁型的，挂在衣柜里淡淡的香灰常舒心！每次来小韩都要囤一堆！！！！	The solid banana hanging!! 7.8 is a very special fragrance, not the kind of rich, faint fragrance hanging in the wardrobe that is always comfortable!	固体香薰挂！！有7.8个香味都好特别 不是那种浓郁型的，挂在衣柜里淡淡的香非常舒心！每次来小韩都要囤一堆！！！！	The solid banana hanging!! 7.8 is a very special fragrance, not the kind of rich, faint fragrance hanging in the closet is very comforting!	Solid fragrance hangers!! There are seven or eight scents, and every one is so unique. They’re not overpowering; hanging one in the wardrobe leaves a soft scent that feels incredibly soothing! I stock up on a bunch every time I visit Xiao Han!!!!
A-PYA-001	PYA	56.39	75.64	19.25	47.36	69.26	21.90	0	100	100	小窗口dd你吧	A small window dd you	小窗口联系你吧	The small window will contact you.	I'll DM you.
A-PYA-002	PYA	74.14	83.12	8.99	57.00	73.48	16.48	0	0	0	350 q安	350 Q and A	350 QQ安卓区	350 QQ and Android	Offering ¥350 on the QQ Android server.
A-PYA-003	PYA	95.21	92.67	-2.54	83.17	86.62	3.45	0	100	100	我喜欢你 CPDD	I like you CPDD	我喜欢你 想和你谈恋爱	I like you, I want to make love to you.	I like you—want to date?
A-PYA-004	PYA	24.21	82.95	58.74	28.25	56.09	27.84	0	0	0	好可爱cpdd...	I'm not sure what to do.	好可爱想找对象...	It's nice to find someone...	So cute—looking for someone to date...
A-PYA-005	PYA	78.90	87.92	9.02	50.53	62.56	12.03	0	0	0	Chuan搭🔴⚪️红白配	Chuan with 🔴️ red and white	穿搭🔴⚪️红白配	The dress is a red and white.	Outfit 🔴⚪️ red and white.
A-PYA-006	PYA	52.37	87.25	34.87	59.87	65.88	6.01	100	0	-100	xhs是得加个翻译功能了	xhs is a translation feature.	小红书是得加个翻译功能了	The little red book needs a translation feature.	Xiaohongshu really needs to add a translation feature.
A-PYA-007	PYA	31.03	42.31	11.29	32.06	39.05	6.98	0	100	100	愿逆风如解意，蛇年多挣RMB	The snake's years are long, and the wind is against it.	愿逆风如解意，蛇年多挣人民币	The snake year is a year of contrasts, but it's worth more than RMB	May even the headwinds understand your wishes, and may you make lots of RMB in the Year of the Snake.
A-PYA-008	PYA	72.20	68.73	-3.47	53.31	51.64	-1.68	0	0	0	说 WOC 和 NB 欢迎来中国旅游和交朋友	Welcome to China to tour and make friends	说 我操 和 NB 欢迎来中国旅游和交朋友	Welcome to China to tour and make friends	Just say “holy crap” and “awesome.” Welcome to China—come travel and make friends!
A-PYA-009	PYA	39.09	26.44	-12.65	45.57	42.78	-2.79	100	100	0	还是得看对口白话 对口白话兄弟yyds	And then we have to see the dialogue dialogue brother yyds	还是得看对口白话 对口白话兄弟永远的神	Or see the dialogue dialogue brother forever god	You’ve got to watch Duikou Baihua. The Duikou Baihua guys are the GOAT.
A-PYA-010	PYA	72.58	82.94	10.36	40.99	62.24	21.25	0	0	0	一打开小红书发现变成国际版le	The red book is an international edition.	一打开小红书发现变成国际版了	The red book was opened and found to be an international edition.	I opened Xiaohongshu and found it had turned into an international app.
A-PYA-011	PYA	65.51	70.53	5.02	72.24	63.74	-8.50	100	0	-100	💙15w左右女生建议入手的BBA二手车	BBA used car recommended by girl around 15w	💙15万左右女生建议入手的BBA二手车	BBA used car recommended by 150,000 girls	💙 Recommended used BBA cars for women with a budget of around ¥150,000.
A-PYA-012	PYA	63.09	72.54	9.44	57.71	60.49	2.78	0	0	0	上次还有人说瘦的是P的 搞不懂根本搞不懂	Last time someone said that skinny is the P. I don't understand it at all.	上次还有人说瘦的是修图的 搞不懂根本搞不懂	Last time someone said that skinny is for the sake of the pictures, I don't understand it at all.	Last time someone even said the slim look was photoshopped. I don’t get it—seriously, I just don’t.
A-NEO-001	NEO	44.20	26.59	-17.61	33.39	31.19	-2.19	0	0	0	中中中哦[doge]	Doges of the Middle Kingdom	好好好哦[doge]	I'm not going to be able to do it.	Okay, okay, okay [doge].
A-NEO-002	NEO	52.63	95.21	42.58	56.85	70.79	13.94	0	0	0	噗哈哈哈还是你6666	You are 6666	噗哈哈哈还是你最厉害	You are the best.	Pfft, hahaha—you're still the best!
A-NEO-003	NEO	59.65	87.41	27.76	51.43	73.92	22.49	0	100	100	想到他们的“快乐水”	Think of their tears of joy	想到他们的“可乐”	Think of their Coca-Cola cans.	Thinking about their so-called “happy water”—Coke.
A-NEO-004	NEO	77.32	63.53	-13.79	31.66	37.07	5.41	0	0	0	来了中中中	I'm in the middle.	来了好好好	It's coming.	I'm here—okay, okay, okay!
A-NEO-005	NEO	54.78	65.15	10.38	50.10	38.29	-11.80	0	100	100	割肉？22年1.1买的，1.7算割肉吗	Is the meat circumcised? 22 years 1.1 bought, 1.7 is the meat circumcised?	亏本卖出？22年1.1买的，1.7算亏本卖出吗	"The first question is, ""Do you think that the sale of the company at a loss is a sale at a loss?"""	Selling at a loss? I bought it for 1.1 in 2022; does selling at 1.7 really count as taking a loss?
A-NEO-006	NEO	68.85	63.75	-5.10	46.53	35.93	-10.59	0	0	0	不在鱼上了吗	Not on the fish?	不在闲鱼上了吗	Not on the shark?	Aren't you selling it on Xianyu anymore?
A-NEO-007	NEO	30.46	94.88	64.41	45.51	71.64	26.13	0	100	100	巴拉巴拉说的啥	The story of the mummy told by Barbara	说了这么多，到底在说什么	What are you talking about?	After all that rambling, what are you even talking about?
A-NEO-008	NEO	64.43	99.82	35.39	38.30	82.28	43.98	0	0	0	这是老广啊	This is a big deal.	这是广东本地人啊	This is a native of Guangdong.	That's a true Guangdong local.
A-NEO-009	NEO	38.45	85.67	47.21	44.29	57.12	12.83	0	100	100	交?已关[doge]	The exchange is closed.	互相关注?已经关注[doge]	Related comments: Already following [doge]	Want to be mutuals? I have already followed you. [doge]
A-NEO-010	NEO	63.71	95.55	31.83	50.14	76.76	26.62	0	100	100	多的不说，给我中中中	I'm not saying much, but give me a break.	多的不说，希望我能中奖	I hope I win the prize.	Enough talk—hope I win!
A-NEO-011	NEO	43.93	28.72	-15.21	45.75	36.03	-9.71	0	0	0	五！老！师！我！想！你！了！	Five! Teacher! Teacher! I! thought! you! are!	五条悟老师我！想！你！了！	Five things to remember about me!	Gojo-sensei! I miss you!
A-NEO-012	NEO	88.66	80.22	-8.44	62.28	74.51	12.23	100	0	-100	杭州现货，价格美丽	Hangzhou, at a great price	杭州现货，价格很划算	Hangzhou, in cash, at a reasonable price	In stock in Hangzhou at a great price.
