uid	category	severity	reasons	src_noisy	hyp_noisy
B-HOM-097	HOM	51.45	xcomet/kiwi Δ disagree by 51.5	哈哈哈哈哈，不好意思哈哈哈哈哈没崩住	I'm sorry it didn't crash, but I'm not sure it's the same as the one that crashed.
B-HOM-084	HOM	49.90	xcomet/kiwi Δ disagree by 49.9	！？雀潮？！	The tide is coming!
B-MIX-104	MIX	47.85	xcomet/kiwi Δ disagree by 47.9	我打个csgo心跳都能160	I bet you a CSGO's heart rate is 160
B-HOM-072	HOM	47.35	xcomet/kiwi Δ disagree by 47.3	依托答辩是什么意思	What Does It Mean to Defend Yourself?
B-HOM-071	HOM	46.16	xcomet/kiwi Δ disagree by 46.2	要泥寡,雨女无瓜!	Let the mud be, the rain be foolish!
B-MIX-145	NEO	45.56	xcomet/kiwi Δ disagree by 45.6; xcomet_noisy 91.1 but NTA miss	甲亢哥：我DNA动了	My DNA is on the move.
B-HOM-078	HOM	44.41	xcomet/kiwi Δ disagree by 44.4	“泰酷辣”大人三周年	The third anniversary of the death of the late President of the Republic of Korea, Liu Bei.
B-NEO-067	NEO	41.88	xcomet/kiwi Δ disagree by 41.9	摆烂了，爱咋咋地	The land of love is full of ruins.
B-PYA-034	PYA	40.22	xcomet/kiwi Δ disagree by 40.2	会聊天的男生真的yyds	The guys who would chat really yyds
B-MIX-051	MIX	38.46	xcomet/kiwi Δ disagree by 38.5; xcomet_noisy 85.2 but NTA miss	被nerf了，变弱了	I was nervous, I was weak.
B-MIX-105	MIX	38.06	xcomet/kiwi Δ disagree by 38.1	回答我，鸟为什么会飞？ Look at my eye, tell me why!	Look at my eye, tell me why!
B-PYA-022	PYA	36.74	xcomet/kiwi Δ disagree by 36.7; xcomet_noisy 85.7 but NTA miss	白色真是yyds	White is really yyds
B-PYA-042	PYA	35.98	xcomet/kiwi Δ disagree by 36.0	yygq什么呢，有话直说不行吗	What is the matter with you, that you do not speak plainly?
B-MIX-058	MIX	35.42	xcomet/kiwi Δ disagree by 35.4	carry全场，带飞	Carry all the way, carry on
B-MIX-132	MIX	34.27	xcomet/kiwi Δ disagree by 34.3	天磊：what can I say	What can I say?
B-NEO-007	NEO	34.23	xcomet/kiwi Δ disagree by 34.2	杠精无处不在，说啥都要反驳	The truth is that the world is full of geniuses.
B-NEO-096	NEO	30.87	xcomet/kiwi Δ disagree by 30.9; xcomet_noisy 88.5 but NTA miss	泪目，我一直不知道自己想做什么，感觉选择的大都错了，已经索性不想选择了...糟糕啊...	I don't know what I want to do, I feel like I've made the wrong choice, I'm already tired of choosing... bad...
B-MIX-029	MIX	30.71	xcomet/kiwi Δ disagree by 30.7	在上海街头随性citywalk	Citywalk on the streets of Shanghai
B-HOM-087	HOM	30.39	xcomet/kiwi Δ disagree by 30.4	生物钟:补药呀！我才调整好	Biological clock: I'm the one who's been doing the adjustments
B-NEO-043	NEO	29.71	xcomet/kiwi Δ disagree by 29.7; xcomet_noisy 90.9 but NTA miss	你这个行为真的很下头	You're really being a jerk.
B-PYA-054	PYA	29.53	xcomet/kiwi Δ disagree by 29.5	马到成功yyds	The horse to success yyds
B-PYA-068	PYA	29.44	xcomet/kiwi Δ disagree by 29.4	zqsg追了这么多年，终于更新了	After years of searching, zqsg is finally updated
B-PYA-111	PYA	28.82	xcomet/kiwi Δ disagree by 28.8	就说问啥听不到，nnd只带了一个耳机	I can't hear you, I only have a headset.
B-PYA-077	PYA	28.76	xcomet/kiwi Δ disagree by 28.8	哈哈哈哈哈xswl	I'm not sure what to do.
B-NEO-051	NEO	27.79	xcomet/kiwi Δ disagree by 27.8	互联网嘴替实锤	Internet mouths for real food
B-NEO-106	NEO	27.76	xcomet/kiwi Δ disagree by 27.8; xcomet_noisy 87.7 but NTA miss	这声音绝绝子	This is the best sound.
B-MIX-139	MIX	27.56	xcomet/kiwi Δ disagree by 27.6	直伤+超击破+dot伤害	The first one is a direct hit, the second one is a super hit, and the third one is a dot hit.
B-PYA-065	PYA	27.54	xcomet/kiwi Δ disagree by 27.5	bt，时常因为不够bt而觉得跟这个世界格格不入	bt, often feels out of place in the world because of not having enough bt
B-HOM-039	HOM	27.39	xcomet/kiwi Δ disagree by 27.4	腾讯这波操作属于是虾仁猪心了	Tencent's operation is the brainchild of Mr. Yang.
B-NEO-090	NEO	27.38	xcomet/kiwi Δ disagree by 27.4; xcomet_noisy 90.8 but NTA miss	应该是的，不然怎么会气到把国粹给说出来了	It should be, otherwise how could you have the courage to say that?
B-NEO-069	NEO	27.26	xcomet/kiwi Δ disagree by 27.3; xcomet_noisy 81.9 but NTA miss	内卷太严重了，打工人伤不起	The violence is too severe to be tolerated
B-PYA-067	PYA	27.23	xcomet/kiwi Δ disagree by 27.2	tcl这游戏技术，菜到抠脚	Tcl is a game that is technically a game of skill.
B-MIX-124	MIX	27.23	xcomet/kiwi Δ disagree by 27.2	这一场演得不好，应该喊cut重来	"This is a bad performance, should be called ""cut"""
B-NEO-055	NEO	26.76	xcomet/kiwi Δ disagree by 26.8; xcomet_noisy 95.9 but NTA miss	拔草了不买	I can't afford to buy it.
B-NEO-052	NEO	26.58	xcomet/kiwi Δ disagree by 26.6	无职孝子还在嘴硬洗，服了	The unemployed son of a father is still trying to wash his mouth, and he is submissive.
B-MIX-137	MIX	26.52	xcomet/kiwi Δ disagree by 26.5	这里是以为他要长期练，mcn没沟通好	I think he's here for a long time, but he's not communicating well.
B-PYA-079	PYA	26.33	xcomet/kiwi Δ disagree by 26.3; xcomet_noisy 87.4 but NTA miss	8u🚪什么意思	What does 8u mean?
B-HOM-092	HOM	26.16	xcomet/kiwi Δ disagree by 26.2	鸡本功扎实	The Bible is not a book of history.
B-HOM-081	HOM	26.03	xcomet/kiwi Δ disagree by 26.0	tree 波Q	Tree wave Q
B-NEO-113	NEO	26.03	xcomet/kiwi Δ disagree by 26.0	太真实了，想到的那句话发现他可能听不懂于是在后面加点补丁	It's so real, the thought of the words that he might not understand is patched in the back.
B-NEO-046	NEO	25.92	xcomet/kiwi Δ disagree by 25.9	没绷住破绷了	I'm not holding my breath.
B-HOM-033	HOM	25.75	xcomet/kiwi Δ disagree by 25.7	王虹这波属实深藏blue了，拿完奖还这么低调	The rainbow is a deep blue, and the award is so low-key
B-MIX-133	MIX	24.96	xcomet/kiwi Δ disagree by 25.0	唉，我去，真的有比利诶。该不会是暗示sp比利吧	Oh, I'm going, I really have to go. Shouldn't that be a hint?
B-MIX-092	MIX	24.87	xcomet/kiwi Δ disagree by 24.9	完全不给队友上buff的机会	The teammates were not given a chance to buff.
B-MIX-125	MIX	24.83	xcomet/kiwi Δ disagree by 24.8	喝水这part我真的笑了	I really laughed at this part.
B-PYA-076	PYA	24.61	xcomet/kiwi Δ disagree by 24.6; xcomet_noisy 96.0 but NTA miss	xswl皇帝的新衣	The Emperor's new clothes
B-MIX-088	MIX	24.55	xcomet/kiwi Δ disagree by 24.6	第一次尝试做这么长的动画 感觉k帧速度有所提升绝宝二周年快乐!	I'm not sure if I'm going to be able to do this for a while, but I'm going to try to do it for a while, and I'm going to try to do it for a while.
B-MIX-009	MIX	24.49	xcomet/kiwi Δ disagree by 24.5	王虹这波演讲直接slay	Wang Yi's speech is slaying the world.
B-NEO-008	NEO	24.47	xcomet/kiwi Δ disagree by 24.5; xcomet_noisy 83.5 but NTA miss	遇到杠精最好的办法就是不理他	The best way to meet a sperm is to ignore him.
B-HOM-018	HOM	24.38	xcomet/kiwi Δ disagree by 24.4	火钳流明，这帖子要火	The fire is lit, this post is on fire
B-HOM-001	HOM	24.01	xcomet/kiwi Δ disagree by 24.0; xcomet_noisy 95.3 but NTA miss	酱紫也行？那我也试试	I'll try it too.
B-MIX-075	MIX	23.90	xcomet/kiwi Δ disagree by 23.9	来杯matcha	Have a match.
B-MIX-131	MIX	23.84	xcomet/kiwi Δ disagree by 23.8	看哪一只eye啊sir	Look at that eye, sir.
