uid	category	xcomet_noisy	xcomet_clean	xcomet_d	kiwi_noisy	kiwi_clean	kiwi_d	nta_noisy	nta_clean	nta_d	src_noisy	hyp_noisy	src_clean	hyp_clean	ref_en
A-HOM-001	HOM	72.95	83.65	10.70	55.22	75.67	20.45	0	100	100	广0王，我也是	King Guang 0, I am too.	广陵王，我也是	Prince Guangling, I am the same as you.	Prince of Guangling, same here.
A-HOM-002	HOM	88.68	98.69	10.00	66.28	85.64	19.36	0	100	100	3Q 祝你新年快乐 🎊🐍	Happy New Year to you in Q3 🎊🐍	谢谢 祝你新年快乐 🎊🐍	Thank you! Wishing you a happy New Year 🎊🐍	Thanks! Happy New Year 🎊🐍
A-HOM-003	HOM	90.89	98.34	7.45	83.85	84.73	0.88	0	100	100	我的玛雅太美了	My Maya is so beautiful!	我的妈呀太美了	My goodness, that’s absolutely beautiful!	Oh my God, mine is so beautiful!
A-HOM-004	HOM	78.14	90.15	12.00	63.95	63.99	0.04	0	100	100	有顺风顺水顺财神的郝性头像吗？	Is there a profile picture of Hao Xing with the symbols representing good fortune, smooth sailing, and wealth?	有顺风顺水顺财神的郝姓头像吗？	Is there a profile picture with the surname Hao that also represents good fortune, smooth progress, and the deity of wealth?	Does anyone have a profile picture with the surname Hao that brings smooth sailing and the God of Wealth?
A-HOM-005	HOM	91.23	91.01	-0.22	80.52	82.22	1.70	0	100	100	➗25家政 15洗衣  10洗车	➗25 Housekeeping services; 15 Laundry services; 10 Car washing services	出售25家政 15洗衣  10洗车	For sale: 25 household services, 15 laundry services, 10 car washing services.	Selling: housekeeping 25, laundry 15, car wash 10.
A-HOM-006	HOM	76.32	98.27	21.95	79.27	83.94	4.67	0	100	100	马牙，谢谢劳斯🥺❤️❤️❤️	Ma Ya, thank you, Ross 🥺❤️❤️❤️	妈呀，谢谢老师🥺❤️❤️❤️	Oh my goodness, thank you, teacher 🥺❤️❤️❤️	Oh my God, thank you, teacher 🥺❤️❤️❤️
A-HOM-007	HOM	91.13	97.19	6.05	75.27	81.85	6.58	0	100	100	似吧我不拦你	Sure, I won’t stop you.	死吧我不拦你	Die then; I won’t stop you.	Go die if you want—I won't stop you.
A-HOM-008	HOM	93.00	93.93	0.93	68.49	77.47	8.98	0	100	100	哈雷哈雷，欢迎欢迎热烈欢迎	Hahaha, welcome, welcome, a warm and heartfelt welcome!	你好你好，欢迎欢迎热烈欢迎	Hello, hello! Welcome, welcome, with all our warmest regards!	Hello, hello—a very warm welcome!
A-HOM-009	HOM	40.92	92.38	51.45	53.97	73.23	19.26	0	0	0	国际大厦比	The International Building is bigger than...	国际大傻逼	International Idiot	A world-class dumbass.
A-HOM-010	HOM	75.37	81.75	6.38	71.42	57.13	-14.29	0	0	0	啊啊啊啊给青兰ee吃	Ahhhh, give it to Qinglan ee to eat!	啊啊啊啊给青兰阿姨吃	Ahhhh, to give it to Aunt Qinglan to eat!	Give Auntie Qinglan something to eat!
