model	HOM_n	HOM_xcomet_delta	HOM_nta_delta	PYA_n	PYA_xcomet_delta	PYA_nta_delta	NEO_n	NEO_xcomet_delta	NEO_nta_delta	MIX_n	MIX_xcomet_delta	MIX_nta_delta
nllb-3.3b	123	11.08	21.14	108	0.03	15.74	117	6.52	13.68	144	-0.54	-34.03
google-translate	123	10.31	25.20	108	3.09	18.52	117	5.55	13.68	144	-0.03	-32.64
qwen3-1.7b	123	9.86	23.58	108	0.99	18.52	117	5.44	3.42	144	0.69	-26.39
qwen3-8b	123	9.78	24.39	108	3.14	19.44	117	5.86	2.56	144	-1.56	-29.17
qwen3-32b	123	9.62	23.58	108	3.65	25.93	117	6.09	5.13	144	-1.27	-27.08
gpt-4o	123	7.96	21.95	108	2.16	20.37	117	4.45	0.00	144	-0.45	-32.64
gemini	123	7.15	16.26	108	1.65	18.52	117	4.69	1.71	144	-0.87	-28.47
aya-101	123	11.72	8.13	108	3.93	11.11	117	9.27	11.11	144	-1.34	-34.72
aya-expanse-8b	123	12.64	26.83	108	3.65	23.15	117	10.05	15.38	144	1.75	-29.17
deepseek	123	5.81	14.63	108	1.61	-3.70	117	3.20	-5.13	144	-0.75	-26.39
gemma3-12b	123	9.77	21.95	108	1.61	18.52	117	6.01	6.84	144	-0.05	-22.92
gemma3-27b	123	10.81	21.14	108	5.37	21.30	117	8.55	4.27	144	0.25	-20.83
gemma3-4b	123	8.67	28.46	108	1.87	19.44	117	7.37	9.40	144	1.05	-22.92
gemmax2-9b	123	10.40	30.89	108	4.20	27.78	117	7.57	11.11	144	-0.09	-25.00
hunyuan-mt-7b	123	11.19	29.27	108	3.70	30.56	117	6.57	6.84	144	0.16	-29.86
qwen3-0.6b	123	7.94	9.76	108	1.72	13.89	117	5.77	5.13	144	-1.74	-25.69
qwen3-14b	123	9.51	19.51	108	3.34	22.22	117	5.82	3.42	144	-0.85	-27.08
qwen3-4b	123	10.09	28.46	108	2.71	25.93	117	6.12	-0.85	144	-0.45	-28.47
