uid	category	xcomet_noisy	xcomet_clean	xcomet_d	kiwi_noisy	kiwi_clean	kiwi_d	nta_noisy	nta_clean	nta_d	src_noisy	hyp_noisy	src_clean	hyp_clean	ref_en
B-HOM-001	HOM	94.10	95.32	1.23	58.10	83.72	25.62	100	0	-100	酱紫也行？那我也试试	This way also works? Then I'll try too.	这样子也行？那我也试试	That's okay? Then I'll try too.	this works? then let me try too
B-HOM-002	HOM	94.15	99.45	5.29	61.26	81.82	20.56	0	0	0	你怎么酱紫说话，人家会误会的	How can you talk like that, people will get confused	你怎么这样子说话，人家会误会的	Why do you speak like that? Others might misunderstand.	why do you talk like that, people will misunderstand
B-HOM-003	HOM	98.84	97.62	-1.22	82.06	83.17	1.11	100	0	-100	各位童鞋注意了，期末考试要来了	All classmates, pay attention, the final exam is coming	各位同学注意了，期末考试要来了	Everyone, pay attention, the final exam is coming.	attention classmates, final exams are coming
B-HOM-004	HOM	99.64	78.68	-20.95	83.36	66.32	-17.04	100	0	-100	童鞋们帮我看看这道题怎么做	Classmates, help me figure out how to solve this problem	同学们帮我看看这道题怎么做	Please help me check how to solve this problem,同学们.	classmates help me figure out this problem
B-HOM-005	HOM	96.82	96.44	-0.38	74.10	83.11	9.01	100	100	0	我真的好稀饭这个博主，太搞笑了	I really like this blogger, he's too funny	我真的好喜欢这个博主，太搞笑了	I really like this blogger a lot; they're so funny.	I really like this creator, too funny
B-HOM-006	HOM	93.51	98.72	5.21	62.01	85.58	23.57	100	100	0	你是不是稀饭我？直说嘛	Do you like me? Just say it straight.	你是不是喜欢我？直说嘛	Do you like me? Just say it straight.	do you like me? just say it
B-HOM-007	HOM	93.92	98.36	4.44	70.01	82.81	12.80	100	100	0	今天又是杯具的一天，出门忘带钥匙	Today was another day of tragedy, forgetting to bring the keys when leaving the house	今天又是悲剧的一天，出门忘带钥匙	Today is another tragic day, I forgot my keys when I went out.	another tragic day, forgot my keys going out
B-HOM-008	HOM	91.19	96.81	5.63	56.50	83.83	27.32	100	100	0	人生就是一个杯具接着一个杯具	Life is a series of tragedies one after another	人生就是一个悲剧接着一个悲剧	Life is a tragedy after another tragedy.	life is one tragedy after another
B-HOM-009	HOM	87.52	91.17	3.64	65.46	79.37	13.91	0	0	0	游戏过于神金，不确定先从哪里笑起	The game is too neurotic; unsure where to start laughing first.	游戏过于神经，不确定先从哪里笑起	The game is too nerve-wracking; unsure where to start laughing.	this game is so unhinged, not sure where to start laughing
B-HOM-010	HOM	56.99	93.35	36.36	47.01	70.64	23.64	0	100	100	都说我做饭神金，今天就做神金给你们吃	They say I cook神金, so today I'll cook神金 for you to eat	都说我做饭神经，今天就做神经给你们吃	They all say I'm crazy when it comes to cooking, so today I'll cook something really crazy for you.	y'all say I'm crazy in the kitchen, so today I'm cooking crazy for you
B-HOM-011	HOM	91.16	91.75	0.59	52.30	82.61	30.31	0	0	0	世界上最神金的行为	The most neurotic behavior in the world	世界上最神经的行为	The most neurotic behavior in the world	the most unhinged behavior in the world
B-HOM-012	HOM	70.98	77.64	6.66	52.42	70.33	17.91	0	0	0	被这离谱的主播笑拥了	Got laughed at by this absurd streamer	被这离谱的主播笑晕了	I was so stunned by this ridiculous streamer's laughter that I fainted.	I'm dead from this absurd streamer
