uid	category	xcomet_noisy	xcomet_clean	xcomet_d	kiwi_noisy	kiwi_clean	kiwi_d	nta_noisy	nta_clean	nta_d	src_noisy	hyp_noisy	src_clean	hyp_clean	ref_en
A-HOM-001	HOM	61.68	72.78	11.10	56.94	69.21	12.27	0	100	100	广0王，我也是	"I'm also a ""Guang0 Wang"""	广陵王，我也是	Marquise of Guangling, I am also.	Prince of Guangling, same here.
A-HOM-002	HOM	98.84	100.00	1.16	67.99	85.30	17.31	100	100	0	3Q 祝你新年快乐 🎊🐍	Thanks, Happy New Year 🎊🐍	谢谢 祝你新年快乐 🎊🐍	Thank you, Happy New Year! 🎊🐍	Thanks! Happy New Year 🎊🐍
A-HOM-003	HOM	89.98	92.16	2.18	81.09	85.02	3.93	0	100	100	我的玛雅太美了	My Maya is too beautiful.	我的妈呀太美了	My goodness, she's so beautiful!	Oh my God, mine is so beautiful!
A-HOM-004	HOM	65.70	71.78	6.07	51.56	62.01	10.45	0	0	0	有顺风顺水顺财神的郝性头像吗？	"Is there a headshot of someone with a ""郝性"" (meaning smooth sailing, smooth water, and good fortune) personality?"	有顺风顺水顺财神的郝姓头像吗？	Is there a portrait of a surname Hao person who has favorable winds, smooth waters, and the god of wealth?	Does anyone have a profile picture with the surname Hao that brings smooth sailing and the God of Wealth?
A-HOM-005	HOM	91.20	90.29	-0.91	83.42	80.71	-2.71	0	0	0	➗25家政 15洗衣  10洗车	25 housekeeping services, 15 laundry, 10 car washes	出售25家政 15洗衣  10洗车	Sell 25 housekeeping services, 15 laundry services, 10 car washes	Selling: housekeeping 25, laundry 15, car wash 10.
A-HOM-006	HOM	53.30	98.64	45.34	51.46	85.13	33.67	0	100	100	马牙，谢谢劳斯🥺❤️❤️❤️	Baby teeth, thanks for the Laus!🥺❤️❤️❤️	妈呀，谢谢老师🥺❤️❤️❤️	Oh my goodness, thank you, teacher! 🥺❤️❤️❤️	Oh my God, thank you, teacher 🥺❤️❤️❤️
A-HOM-007	HOM	60.97	92.40	31.44	50.75	75.21	24.46	0	100	100	似吧我不拦你	I don't stop you, but I think so.	死吧我不拦你	Die, I won't stop you.	Go die if you want—I won't stop you.
A-HOM-008	HOM	84.14	94.17	10.03	64.23	73.14	8.91	0	100	100	哈雷哈雷，欢迎欢迎热烈欢迎	Hally Hally, welcome welcome warm welcome	你好你好，欢迎欢迎热烈欢迎	Hello hello, welcome welcome, warm welcome	Hello, hello—a very warm welcome!
A-HOM-009	HOM	38.60	92.38	53.77	47.43	73.23	25.80	0	0	0	国际大厦比	International Building is taller than	国际大傻逼	International Idiot	A world-class dumbass.
A-HOM-010	HOM	65.36	84.31	18.96	57.31	78.41	21.10	0	0	0	啊啊啊啊给青兰ee吃	Ah ah ah ah give Qinglan ee eat	啊啊啊啊给青兰阿姨吃	Oh oh oh oh, give it to Aunt Qinglan!	Give Auntie Qinglan something to eat!
A-HOM-011	HOM	44.54	76.48	31.94	29.76	70.69	40.93	0	100	100	啊啊啊啊啊豆儿康康我	Ah ah ah ah ah, let's eat together!	啊啊啊啊啊豆儿看看我	Oh oh oh oh oh, Bean, look at me!	Dou'er, take a look at me!!!
A-HOM-012	HOM	88.55	97.02	8.47	45.08	84.38	39.29	100	100	0	蟹蟹宝宝夸奖	Thank you, baby!	谢谢宝宝夸奖	Thank you for your compliment, baby.	Thanks, babe, for the compliment.
A-HOM-013	HOM	86.67	100.00	13.33	77.67	85.85	8.18	0	100	100	啊！谢谢劳斯！	Ah! Thank you, Lao Shi!	啊！谢谢老师！	Ah! Thank you, teacher!	Ah, thank you, teacher!
A-HOM-014	HOM	67.53	83.54	16.02	43.78	54.69	10.92	100	100	0	大鸡毛（大金毛）	Big chicken hair (big golden retriever)	大金毛（大金毛）	Large Golden Retriever (Large Golden Retriever)	A big golden retriever (a big golden retriever).
A-HOM-015	HOM	97.33	98.68	1.34	83.30	85.13	1.83	0	0	0	每个月不用给chatgpt交20刀了	You no longer need to pay $20 to ChatGPT every month.	每个月不用给chatgpt交20美元了	You no longer need to pay $20 to ChatGPT every month.	Now I don’t have to pay ChatGPT $20 a month.
A-HOM-017	HOM	75.87	98.97	23.10	43.30	78.98	35.68	0	0	0	这就是史	"This is the ""shi"" (NEO)"	这就是屎	That's crap.	This is literally shit.
A-NEO-253	NEO	84.82	91.81	6.99	77.06	76.62	-0.45	0	0	0	知道为什么他父母接受他是0还配合拍视频吗 原因竟是...	Do you know why his parents accepted him as 0 and cooperated to take videos? The reason is actually...	知道为什么他父母接受他是受还配合拍视频吗 原因竟是...	Do you know why his parents accepted him and even agreed to film videos? The reason is actually...	Do you know why his parents accept that he’s a bottom and even cooperate in making videos? The reason turns out to be...
A-HOM-019	HOM	60.53	59.80	-0.73	63.50	65.11	1.61	100	100	0	固体香薰挂！！有7.8个香味都好特别 不是那种浓郁型的，挂在衣柜里淡淡的香灰常舒心！每次来小韩都要囤一堆！！！！	Solid scented hanging diffusers!! There are 7.8 different scents, all very unique — not the strong,浓郁 type. Hanging them in the closet, the scent is subtle and very pleasant! Every time I visit Xiaohan, I have to buy a bunch!!	固体香薰挂！！有7.8个香味都好特别 不是那种浓郁型的，挂在衣柜里淡淡的香非常舒心！每次来小韩都要囤一堆！！！！	Solid fragrance hanging! There are 7.8 scents, all very special, not the strong,浓郁 type. When hung in the closet, the subtle fragrance is very soothing! Every time I visit Xiaohan, I have to stock up a bunch!!!	Solid fragrance hangers!! There are seven or eight scents, and every one is so unique. They’re not overpowering; hanging one in the wardrobe leaves a soft scent that feels incredibly soothing! I stock up on a bunch every time I visit Xiao Han!!!!
A-PYA-001	PYA	67.61	85.90	18.29	44.08	73.43	29.34	0	100	100	小窗口dd你吧	Small window dd you	小窗口联系你吧	Let me contact you through a small window.	I'll DM you.
A-PYA-002	PYA	36.60	87.35	50.74	34.45	82.21	47.76	0	0	0	350 q安	350, please be safe	350 QQ安卓区	350 QQ Android Zone	Offering ¥350 on the QQ Android server.
A-PYA-003	PYA	96.92	100.00	3.08	84.76	87.50	2.74	0	100	100	我喜欢你 CPDD	I like you, CPDD	我喜欢你 想和你谈恋爱	I like you and want to date you.	I like you—want to date?
A-PYA-004	PYA	91.98	96.08	4.10	75.89	76.65	0.76	0	0	0	好可爱cpdd...	So cute cpdd...	好可爱想找对象...	So cute, wanting to find a partner...	So cute—looking for someone to date...
A-PYA-005	PYA	78.49	91.46	12.97	58.61	76.98	18.36	0	100	100	Chuan搭🔴⚪️红白配	Chuan paired with red and white colors	穿搭🔴⚪️红白配	Outfit: Red and white color coordination 🔴⚪️	Outfit 🔴⚪️ red and white.
A-PYA-006	PYA	92.87	97.28	4.41	65.68	77.82	12.15	0	100	100	xhs是得加个翻译功能了	It's time to add a translation function.	小红书是得加个翻译功能了	Xiaohongshu needs to add a translation function.	Xiaohongshu really needs to add a translation feature.
A-PYA-007	PYA	68.97	88.37	19.40	64.53	66.76	2.23	100	100	0	愿逆风如解意，蛇年多挣RMB	May the headwinds understand my intent, and in the Year of the Snake, earn more RMB	愿逆风如解意，蛇年多挣人民币	May the headwinds understand my intent, and may the Year of the Snake bring in more RMB.	May even the headwinds understand your wishes, and may you make lots of RMB in the Year of the Snake.
A-PYA-008	PYA	66.51	61.13	-5.38	75.08	69.47	-5.61	100	0	-100	说 WOC 和 NB 欢迎来中国旅游和交朋友	"Say ""WOC"" and ""NB"", welcome to China for tourism and making friends"	说 我操 和 NB 欢迎来中国旅游和交朋友	"Say ""F***"" and ""NB"", welcome to China for tourism and making friends."	Just say “holy crap” and “awesome.” Welcome to China—come travel and make friends!
A-PYA-009	PYA	29.80	33.10	3.30	50.22	57.37	7.15	100	100	0	还是得看对口白话 对口白话兄弟yyds	Still depends on the spoken language; spoken language brothers are yyds	还是得看对口白话 对口白话兄弟永远的神	Still, it depends on the dialect. Dialect brothers are forever the gods.	You’ve got to watch Duikou Baihua. The Duikou Baihua guys are the GOAT.
