uid	category	severity	reasons	src_noisy	hyp_noisy
B-PYA-058	PYA	48.84	xcomet/kiwi Δ disagree by 48.8; xcomet_noisy 81.2 but NTA miss	kdl，这对CP太甜了	kdl, this couple is so sweet!
B-MIX-132	MIX	47.38	xcomet/kiwi Δ disagree by 47.4	天磊：what can I say	Tianlei: What can I say?
B-NEO-054	NEO	35.63	xcomet/kiwi Δ disagree by 35.6; xcomet_noisy 89.8 but NTA miss	被种草了	I'm tempted to buy it!
B-HOM-023	HOM	35.44	xcomet/kiwi Δ disagree by 35.4	你想peach呢，哪有这么好的事	You want a peach? There's no such thing as a free lunch.
B-NEO-036	NEO	34.97	xcomet/kiwi Δ disagree by 35.0	别搁这凡尔赛了，显摆啥呢	Stop showing off in Versailles!
B-MIX-065	MIX	34.86	xcomet/kiwi Δ disagree by 34.9	这个DJ太嗨了	This DJ is so energetic!
B-HOM-044	HOM	34.32	xcomet/kiwi Δ disagree by 34.3; xcomet_noisy 85.5 but NTA miss	这个操作太虾仁了	This is too much!
B-MIX-093	MIX	33.47	xcomet/kiwi Δ disagree by 33.5	不会侵蚀后全是boss吧	Won't it be all bosses after the erosion?
B-HOM-051	HOM	32.95	xcomet/kiwi Δ disagree by 33.0; xcomet_noisy 86.8 but NTA miss	看完女排比赛我直接鸭梨山大	I felt incredibly stressed after watching the women's volleyball match.
B-NEO-085	NEO	32.25	xcomet/kiwi Δ disagree by 32.2	你这肯定是低段位炸鱼罢了	You're definitely just a low-level player smurfing.
B-NEO-084	NEO	32.12	xcomet/kiwi Δ disagree by 32.1; xcomet_noisy 97.3 but NTA miss	基操	Basic Operations
B-NEO-074	NEO	31.90	xcomet/kiwi Δ disagree by 31.9; xcomet_noisy 83.7 but NTA miss	这波操作直接拉胯了	This move was a complete disaster.
B-MIX-107	MIX	31.86	xcomet/kiwi Δ disagree by 31.9	这BGM给我干天津去了	This background music is making me want to go to Tianjin.
B-HOM-054	HOM	31.36	xcomet/kiwi Δ disagree by 31.4; xcomet_noisy 93.0 but NTA miss	窝巢，这也太厉害了吧	Wow, that's amazing!
B-PYA-075	PYA	31.35	xcomet/kiwi Δ disagree by 31.4	dbq，对不起我错了	I'm sorry, I was wrong.
B-PYA-079	PYA	31.05	xcomet/kiwi Δ disagree by 31.0; xcomet_noisy 85.3 but NTA miss	8u🚪什么意思	What does 8u🚪 mean?
B-PYA-067	PYA	30.79	xcomet/kiwi Δ disagree by 30.8	tcl这游戏技术，菜到抠脚	TCL's gaming skills are so bad they're practically nonexistent.
B-MIX-105	MIX	30.45	xcomet/kiwi Δ disagree by 30.5	回答我，鸟为什么会飞？ Look at my eye, tell me why!	Answer me, why can birds fly? Look at my eye, tell me why!
B-HOM-060	HOM	28.26	xcomet/kiwi Δ disagree by 28.3	可爱的小香猪变成了温暖的答辩	The adorable little pig turned into a heartwarming defense.
B-HOM-034	HOM	28.05	xcomet/kiwi Δ disagree by 28.1	蚌埠住了这也太搞笑了	Living in Bengbu is hilarious!
B-PYA-050	PYA	28.00	xcomet/kiwi Δ disagree by 28.0; xcomet_noisy 88.5 but NTA miss	dd我一下	dd me
B-MIX-135	MIX	27.75	xcomet/kiwi Δ disagree by 27.8	抽me,please抽me	Draw me, please draw me.
B-MIX-071	MIX	27.02	xcomet/kiwi Δ disagree by 27.0	法法这期ooc了吧	Fafa was out of character this episode, right?
B-NEO-106	NEO	26.34	xcomet/kiwi Δ disagree by 26.3; xcomet_noisy 87.0 but NTA miss	这声音绝绝子	This voice is absolutely...
B-HOM-090	HOM	26.27	xcomet/kiwi Δ disagree by 26.3	香精煎鱼食不食	Is it okay to eat fish fried with artificial flavoring?
B-HOM-100	NEO	25.99	xcomet/kiwi Δ disagree by 26.0	明显，队友大概率寄了，和上司有关，但扳机似乎记忆出现问题，咬死队友还活着，变相保护了上司，所以被上司放了	Clearly, the teammate most likely died, and it's related to the superior, but Trigger seems to have a memory problem, insisting the teammate was still alive, thus indirectly protecting the superior, which is why the superior let him go.
B-HOM-038	HOM	25.89	xcomet/kiwi Δ disagree by 25.9; xcomet_noisy 98.3 but NTA miss	这个颜色灰常好看	This color is very beautiful.
B-NEO-065	NEO	25.66	xcomet/kiwi Δ disagree by 25.7	是我不够糖吗	Am I not getting enough sugar?
