uid	category	severity	reasons	src_noisy	hyp_noisy
B-HOM-071	HOM	51.20	xcomet/kiwi Δ disagree by 51.2	要泥寡,雨女无瓜!	To clay a pot, a woman without a fruit!
B-MIX-132	MIX	47.27	xcomet/kiwi Δ disagree by 47.3	天磊：what can I say	Tian Lei: What can I say?
B-PYA-086	PYA	44.29	xcomet/kiwi Δ disagree by 44.3; xcomet_noisy 95.0 but NTA miss	yysy，两边都看完了	both sides were viewed
B-MIX-056	MIX	43.35	xcomet/kiwi Δ disagree by 43.4	图样森破，你太天真了	The drawing is ruined, you're too innocent.
B-PYA-059	PYA	38.89	xcomet/kiwi Δ disagree by 38.9; xcomet_noisy 88.1 but NTA miss	山航yyds	Shanghai Airlines is amazing.
B-MIX-051	MIX	38.89	xcomet/kiwi Δ disagree by 38.9	被nerf了，变弱了	Weakened, reduced.
B-PYA-041	PYA	37.95	xcomet/kiwi Δ disagree by 38.0	泰奶+Gelato yyds！！！	Tay Teacake + Gelato yyds！！！
B-NEO-055	NEO	37.87	xcomet/kiwi Δ disagree by 37.9; xcomet_noisy 81.3 but NTA miss	拔草了不买	Escaped without buying.
B-PYA-079	PYA	36.73	xcomet/kiwi Δ disagree by 36.7; xcomet_noisy 85.3 but NTA miss	8u🚪什么意思	What does 8u🚪 mean?
B-MIX-029	MIX	33.75	xcomet/kiwi Δ disagree by 33.8	在上海街头随性citywalk	Walking citywalk in Shanghai streets.
B-PYA-069	PYA	33.71	xcomet/kiwi Δ disagree by 33.7; xcomet_noisy 82.1 but NTA miss	Xswl就说有没有美味大餐吧哈哈哈哈哈哈哈	What about a delicious meal? :D :D :D
B-PYA-051	PYA	32.68	xcomet/kiwi Δ disagree by 32.7; xcomet_noisy 85.7 but NTA miss	tcl，我真的太菜了	I'm really bad at Tcl.
B-PYA-062	PYA	32.51	xcomet/kiwi Δ disagree by 32.5; xcomet_noisy 82.1 but NTA miss	xswl打印机都沦没墨了	All xswl printers are out of ink.
B-MIX-135	MIX	32.17	xcomet/kiwi Δ disagree by 32.2	抽me,please抽me	Please draw me.
B-MIX-105	MIX	32.17	xcomet/kiwi Δ disagree by 32.2	回答我，鸟为什么会飞？ Look at my eye, tell me why!	Answer me, why do birds fly? Look at my eye, tell me why!
B-HOM-051	HOM	31.56	xcomet/kiwi Δ disagree by 31.6; xcomet_noisy 86.6 but NTA miss	看完女排比赛我直接鸭梨山大	After watching the women's volleyball match, I felt really stressed.
B-PYA-076	PYA	30.51	xcomet/kiwi Δ disagree by 30.5; xcomet_noisy 95.9 but NTA miss	xswl皇帝的新衣	The Emperor's New Clothes
B-NEO-108	NEO	29.59	xcomet/kiwi Δ disagree by 29.6; xcomet_noisy 96.1 but NTA miss	一想到一睁眼就有倒计时就难绷	Thinking of having a countdown timer upon waking up is unbearable.
B-NEO-034	NEO	29.14	xcomet/kiwi Δ disagree by 29.1	梅老板今年真可怜，这么强的个人发挥啥没有得到	Mr. Mei is truly pitiful this year; he hasn't received any personal performances of such strength.
B-NEO-065	NEO	27.94	xcomet/kiwi Δ disagree by 27.9	是我不够糖吗	Is it because I don't have enough sugar?
B-NEO-036	NEO	27.82	xcomet/kiwi Δ disagree by 27.8	别搁这凡尔赛了，显摆啥呢	Don't be showing off at Versailles anymore.
