uid	category	severity	reasons	src_noisy	hyp_noisy
A-NEO-001	NEO	55.79	xcomet/kiwi Δ disagree by 55.8	中中中哦[doge]	Oh my goodness! 🐶
A-MIX-006	MIX	44.59	xcomet/kiwi Δ disagree by 44.6	请你说英语，speeekyingyu	Please speak slowly.
A-NEO-082	NEO	42.62	xcomet/kiwi Δ disagree by 42.6; xcomet_noisy 86.7 but NTA miss	天天收藏，从未开始	Daily collection, never started.
A-HOM-009	HOM	39.58	xcomet/kiwi Δ disagree by 39.6	国际大厦比	International Tower is taller than
A-NEO-108	NEO	38.52	xcomet/kiwi Δ disagree by 38.5	又要威又要带头盔就是这种	Another thing to do is to wear a helmet.
A-MIX-044	MIX	35.67	xcomet/kiwi Δ disagree by 35.7; xcomet_noisy 93.6 but NTA miss	想大海和sun kissed life	Longing for the sea and the life kissed by the sun
A-NEO-205	NEO	34.41	xcomet/kiwi Δ disagree by 34.4	梦女&追星女发的文案	Fan girl & fan girl's text
A-NEO-130	NEO	33.54	xcomet/kiwi Δ disagree by 33.5	血脉觉醒！高颜值高能量水晶手串分享*8📿	Awakening of the bloodline! Sharing high-颜值 high-energy crystal cord*8 📿
A-NEO-005	NEO	31.53	xcomet/kiwi Δ disagree by 31.5	割肉？22年1.1买的，1.7算割肉吗	Cutting the meat? Bought it in January 2022, and 1.7 is considered a cut loss?
A-NEO-004	NEO	30.81	xcomet/kiwi Δ disagree by 30.8	来了中中中	Here comes Zhongzhongzhong.
A-NEO-041	NEO	30.04	xcomet/kiwi Δ disagree by 30.0; xcomet_noisy 89.5 but NTA miss	老师我也想要你	Teacher, I also want you.
A-NEO-072	NEO	29.13	xcomet/kiwi Δ disagree by 29.1	什么刀子都有[doge]	Any knife will do[doge]
A-NEO-056	NEO	28.33	xcomet/kiwi Δ disagree by 28.3; xcomet_noisy 81.6 but NTA miss	②没了哦，其他私	Oh, no, the others are private.
A-NEO-043	NEO	27.52	xcomet/kiwi Δ disagree by 27.5	敦门永恒！	The eternal home!
A-NEO-045	NEO	26.62	xcomet/kiwi Δ disagree by 26.6; xcomet_noisy 80.2 but NTA miss	蹲蹲第一个羊羔毛外套的链接	The first link to the sheep wool jacket
