uid	category	xcomet_noisy	xcomet_clean	xcomet_d	kiwi_noisy	kiwi_clean	kiwi_d	nta_noisy	nta_clean	nta_d	src_noisy	hyp_noisy	src_clean	hyp_clean	ref_en
A-HOM-001	HOM	73.95	92.34	18.39	74.03	75.02	1.00	0	100	100	广0王，我也是	Guang 0 Wang, me too	广陵王，我也是	Prince Guangling, me too.	Prince of Guangling, same here.
A-HOM-002	HOM	96.85	99.75	2.90	85.10	85.42	0.31	0	100	100	3Q 祝你新年快乐 🎊🐍	3Q wishes you a Happy New Year 🎊🐍	谢谢 祝你新年快乐 🎊🐍	Thank you, and happy new year to you! 🎊🐍	Thanks! Happy New Year 🎊🐍
A-HOM-003	HOM	89.98	98.29	8.31	81.09	84.19	3.10	0	100	100	我的玛雅太美了	My Maya is too beautiful.	我的妈呀太美了	My goodness, it's so beautiful!	Oh my God, mine is so beautiful!
A-HOM-004	HOM	88.67	90.24	1.57	63.41	69.87	6.46	0	0	0	有顺风顺水顺财神的郝性头像吗？	Are there any Hao surname avatars that symbolize smooth sailing, good fortune, and prosperity?	有顺风顺水顺财神的郝姓头像吗？	Are there any Hao surname avatars that symbolize smooth sailing, good fortune, and prosperity?	Does anyone have a profile picture with the surname Hao that brings smooth sailing and the God of Wealth?
A-HOM-005	HOM	87.92	92.56	4.65	81.64	80.55	-1.09	0	0	0	➗25家政 15洗衣  10洗车	25 Housekeeping 15 Laundry 10 Car Wash	出售25家政 15洗衣  10洗车	Selling 25 housekeeping services, 15 laundry services, 10 car washes	Selling: housekeeping 25, laundry 15, car wash 10.
A-HOM-006	HOM	59.43	82.42	22.99	69.94	80.74	10.81	0	0	0	马牙，谢谢劳斯🥺❤️❤️❤️	Mama, thank you for the effort, Rosie🥺❤️❤️❤️	妈呀，谢谢老师🥺❤️❤️❤️	Mom, thank you, teacher🥺❤️❤️❤️	Oh my God, thank you, teacher 🥺❤️❤️❤️
A-HOM-007	HOM	89.87	97.64	7.77	78.08	77.87	-0.22	0	100	100	似吧我不拦你	Maybe, but I won't stop you.	死吧我不拦你	Die then, I won't stop you.	Go die if you want—I won't stop you.
A-HOM-008	HOM	80.11	93.93	13.82	75.47	66.96	-8.51	0	100	100	哈雷哈雷，欢迎欢迎热烈欢迎	Hale Hale, welcome, welcome, warm welcome	你好你好，欢迎欢迎热烈欢迎	Hello hello, welcome welcome a warm welcome	Hello, hello—a very warm welcome!
A-HOM-009	HOM	35.62	92.36	56.75	49.75	68.25	18.51	0	0	0	国际大厦比	International Mansion is taller than	国际大傻逼	International big idiot	A world-class dumbass.
A-HOM-010	HOM	82.02	89.09	7.07	68.95	70.51	1.56	0	100	100	啊啊啊啊给青兰ee吃	Ah ah ah ah, give Qinglan ee to eat	啊啊啊啊给青兰阿姨吃	Ah, give it to Auntie Qinglan to eat.	Give Auntie Qinglan something to eat!
A-HOM-011	HOM	34.30	76.88	42.58	46.48	62.64	16.16	0	100	100	啊啊啊啊啊豆儿康康我	Ah ah ah ah ah Bean Kang Kang me	啊啊啊啊啊豆儿看看我	Ah ah ah, bean, look at me.	Dou'er, take a look at me!!!
A-HOM-012	HOM	74.11	97.03	22.92	72.66	83.93	11.27	0	100	100	蟹蟹宝宝夸奖	Praise from Baby Crab	谢谢宝宝夸奖	Thank you, baby, for the compliment.	Thanks, babe, for the compliment.
A-HOM-013	HOM	85.76	100.00	14.24	73.02	85.85	12.83	0	100	100	啊！谢谢劳斯！	Ah! Thank you, Lao Si!	啊！谢谢老师！	Ah! Thank you, teacher!	Ah, thank you, teacher!
A-HOM-014	HOM	80.06	72.83	-7.23	41.75	57.07	15.32	100	100	0	大鸡毛（大金毛）	Big Fluffy (Big Golden Retriever)	大金毛（大金毛）	Golden Retriever (Golden Retriever)	A big golden retriever (a big golden retriever).
A-HOM-015	HOM	97.32	98.37	1.05	82.51	85.29	2.78	0	0	0	每个月不用给chatgpt交20刀了	No need to pay $20 to ChatGPT every month anymore.	每个月不用给chatgpt交20美元了	You don't have to pay $20 to ChatGPT every month anymore.	Now I don’t have to pay ChatGPT $20 a month.
A-HOM-017	HOM	81.94	99.70	17.77	81.31	77.47	-3.83	0	100	100	这就是史	This is the history.	这就是屎	This is shit.	This is literally shit.
A-NEO-253	NEO	82.60	89.27	6.67	79.13	77.82	-1.32	0	0	0	知道为什么他父母接受他是0还配合拍视频吗 原因竟是...	Do you know why his parents accepted him as 0 and even cooperated in making the video? The reason is...	知道为什么他父母接受他是受还配合拍视频吗 原因竟是...	Do you know why his parents accepted him and even cooperated in making the video? The reason is...	Do you know why his parents accept that he’s a bottom and even cooperate in making videos? The reason turns out to be...
A-HOM-019	HOM	74.66	66.62	-8.05	75.58	77.81	2.24	100	100	0	固体香薰挂！！有7.8个香味都好特别 不是那种浓郁型的，挂在衣柜里淡淡的香灰常舒心！每次来小韩都要囤一堆！！！！	Solid perfume hanger!! There are about 7 or 8 scents, all very unique, not the strong type. Hanging it in the closet gives a faint fragrance that's very comforting! I always stock up a bunch every time I go to South Korea!!!!	固体香薰挂！！有7.8个香味都好特别 不是那种浓郁型的，挂在衣柜里淡淡的香非常舒心！每次来小韩都要囤一堆！！！！	Solid perfume hanger!! There are about 7 or 8 scents, all very unique. They are not the strong type; the light fragrance hanging in the closet is very comforting! I always stock up a bunch every time I go to South Korea!!!!	Solid fragrance hangers!! There are seven or eight scents, and every one is so unique. They’re not overpowering; hanging one in the wardrobe leaves a soft scent that feels incredibly soothing! I stock up on a bunch every time I visit Xiao Han!!!!
A-PYA-001	PYA	76.90	90.51	13.61	50.73	73.13	22.40	0	100	100	小窗口dd你吧	I'll dd you in the small window.	小窗口联系你吧	I'll contact you through the small window.	I'll DM you.
A-PYA-002	PYA	54.37	87.35	32.98	77.03	82.21	5.18	0	0	0	350 q安	350 qAn	350 QQ安卓区	350 QQ Android Zone	Offering ¥350 on the QQ Android server.
