uid	category	xcomet_noisy	xcomet_clean	xcomet_d	kiwi_noisy	kiwi_clean	kiwi_d	nta_noisy	nta_clean	nta_d	src_noisy	hyp_noisy	src_clean	hyp_clean	ref_en
B-HOM-001	HOM	85.85	94.49	8.65	77.01	84.54	7.53	0	0	0	酱紫也行？那我也试试	Purple sauce is also okay? Then I’ll try it.	这样子也行？那我也试试	Is this okay? I’ll try it.	this works? then let me try too
B-HOM-002	HOM	96.16	99.15	2.99	60.28	81.88	21.60	0	0	0	你怎么酱紫说话，人家会误会的	How can you talk like that, people will misunderstand.	你怎么这样子说话，人家会误会的	How can you talk like that? People will misunderstand.	why do you talk like that, people will misunderstand
B-HOM-003	HOM	99.83	99.96	0.12	82.55	83.86	1.31	0	0	0	各位童鞋注意了，期末考试要来了	Attention, students, the final exam is coming.	各位同学注意了，期末考试要来了	Attention, students, the final exam is coming.	attention classmates, final exams are coming
B-HOM-004	HOM	89.37	92.24	2.87	79.13	82.57	3.44	0	100	100	童鞋们帮我看看这道题怎么做	Guys, help me figure out how to do this problem.	同学们帮我看看这道题怎么做	Classmates, help me see how to do this question.	classmates help me figure out this problem
B-HOM-005	HOM	96.78	100.00	3.22	74.34	86.70	12.36	100	100	0	我真的好稀饭这个博主，太搞笑了	I really like this blogger, he is so funny.	我真的好喜欢这个博主，太搞笑了	I really like this blogger, he is so funny.	I really like this creator, too funny
B-HOM-006	HOM	95.64	100.00	4.36	59.90	86.19	26.29	100	100	0	你是不是稀饭我？直说嘛	Do you like me? Just say it.	你是不是喜欢我？直说嘛	Do you like me? Just say it.	do you like me? just say it
B-HOM-007	HOM	92.75	97.64	4.90	71.13	82.22	11.09	0	100	100	今天又是杯具的一天，出门忘带钥匙	Today is another day of disaster, I forgot to bring my keys when I went out.	今天又是悲剧的一天，出门忘带钥匙	Today is another tragic day, I forgot to bring my keys when I went out.	another tragic day, forgot my keys going out
B-HOM-008	HOM	87.89	99.97	12.08	46.47	84.90	38.43	100	100	0	人生就是一个杯具接着一个杯具	Life is a series of tragedies.	人生就是一个悲剧接着一个悲剧	Life is one tragedy after another.	life is one tragedy after another
B-HOM-009	HOM	93.59	96.23	2.65	66.03	81.45	15.42	0	100	100	游戏过于神金，不确定先从哪里笑起	The game is too funny, and I don’t know where to start laughing.	游戏过于神经，不确定先从哪里笑起	The game is too crazy, and I don’t know where to start laughing.	this game is so unhinged, not sure where to start laughing
B-HOM-010	HOM	86.89	93.61	6.72	73.73	64.77	-8.96	0	100	100	都说我做饭神金，今天就做神金给你们吃	Everyone says I’m a cooking genius, so I’ll make you a genius dish today.	都说我做饭神经，今天就做神经给你们吃	Everyone says I’m crazy about cooking, so I’ll make you some crazy food today.	y'all say I'm crazy in the kitchen, so today I'm cooking crazy for you
B-HOM-011	HOM	85.89	96.86	10.98	74.08	82.39	8.31	0	100	100	世界上最神金的行为	The most amazing gold behavior in the world	世界上最神经的行为	The most insane behavior in the world	the most unhinged behavior in the world
B-HOM-012	HOM	75.43	88.36	12.93	65.39	78.72	13.33	0	0	0	被这离谱的主播笑拥了	I was laughed at by this ridiculous host.	被这离谱的主播笑晕了	I was laughed to death by this ridiculous host.	I'm dead from this absurd streamer
B-HOM-013	HOM	70.06	91.55	21.49	61.24	70.50	9.26	0	0	0	笑拥了！带货主播推荐的迷惑水果太离谱了吧	I love it! The confusing fruit recommended by the live-streaming host is too ridiculous!	笑晕了！带货主播推荐的迷惑水果太离谱了吧	I laughed so hard! The confusing fruit recommended by the live streamer is too ridiculous!	I’m dying laughing! Those weird fruits promoted by live stream sales hosts are ridiculous.
B-HOM-014	HOM	88.39	90.01	1.63	68.78	80.40	11.62	0	0	0	新来的00后程序员写的代码，看到这段注释真的快把我笑拥了	The code written by the new programmer born in the 2000s made me laugh.	新来的00后程序员写的代码，看到这段注释真的快把我笑晕了	The code written by the new programmer born in the 2000s made me laugh so hard that I almost fainted when I saw this comment.	the new Gen Z programmer's code, seeing this comment almost killed me laughing
B-HOM-016	NEO	75.08	87.07	11.99	59.05	67.81	8.76	0	100	100	考试没复习直接寄，明年再来	I didn’t review for the exam and I’ll come back next year.	考试没复习直接完了，明年再来	I didn’t review for the exam and it’s over, I’ll come back next year.	didn't study for the exam, it's over, see you next year
B-HOM-018	HOM	56.21	84.59	28.38	46.17	72.39	26.22	0	0	0	火钳流明，这帖子要火	Fire tongs, this post is going to be popular.	火前留名，这帖子要火	Leave your name before it goes viral, this post will go viral.	leaving a name before this blows up, this post is about to go viral
B-HOM-019	HOM	68.76	94.80	26.04	55.89	81.49	25.60	0	0	0	雀食好笑，不骗你	It’s funny to eat sparrows, I’m not lying to you.	确实好笑，不骗你	It is really funny, I’m not lying.	it's genuinely funny, no cap
B-HOM-021	HOM	95.96	95.38	-0.57	81.21	83.68	2.47	0	100	100	沃草，这无人机表演太震撼了	Wow, this drone performance is so amazing.	我操，这无人机表演太震撼了	Damn, this drone performance is so amazing.	holy crap, this drone show is insane
B-HOM-023	HOM	76.08	90.27	14.19	54.77	55.97	1.19	0	100	100	你想peach呢，哪有这么好的事	You want to peach, where is there such a good thing?	你想屁吃呢，哪有这么好的事	What are you dreaming about, how could such a good thing exist?	you're dreaming, how can something that good happen
B-HOM-024	HOM	95.19	94.34	-0.85	79.97	80.76	0.79	100	100	0	别虾扯蛋了，老师说的都是真的吗	Stop talking nonsense, is everything the teacher said true?	别瞎扯淡了，老师说的都是真的吗	Don’t talk nonsense, is what the teacher said true?	stop talking BS, is what the teacher said even true
B-HOM-025	HOM	69.27	73.94	4.67	64.43	54.89	-9.54	0	0	0	先报上自己的分数啊搞辣菜	Report your own score first and make the spicy dish.	先报上自己的分数啊搞拉踩	Report your own score first and then pull it down.	dropping your score first before throwing shade smh
B-HOM-026	HOM	85.16	96.47	11.31	70.73	74.10	3.36	0	0	0	蚌埠住了，腾讯这泄密处理速度也太快了吧	I live in Bengbu, and Tencent’s speed of handling the leak is too fast.	绷不住了，腾讯这泄密处理速度也太快了吧	I can’t stand it, Tencent’s speed of handling the leak is too fast.	I can't hold it in anymore, Tencent's speed in handling this leak is just too fast
