n	uid	category	branch	noise_span	noise_std	llm_verdict	reason	author_verdict	final
1	P-PYA-0861	PYA	injected	ykk	有空	INACCURATE	wrong-reading: 有空=yk, 'ykk' 首字母对不上		INACCURATE
2	P-MIX-1398	MIX	injected	really	真的	ACCURATE			ACCURATE
3	P-MIX-0397	MIX	injected	PO主	楼主	ACCURATE			ACCURATE
4	P-NEO-0020	NEO	mined	崩铁	崩坏:星穹铁道	ACCURATE			ACCURATE
5	P-PYA-0526	PYA	injected	zggmd	中国共产党	INACCURATE	wrong-reading: zggmd 解码为'中国国民党'(z-g-g-m-d), std 却写'中国共产党'(zggcd)		INACCURATE
6	P-PYA-0917	PYA	injected	qishi	其实	UNCERTAIN	qishi 是全拼不是首字母缩写——PYA 类是否含全拼待裁定	ACCURATE	ACCURATE
7	P-NEO-1015	NEO	annotated	种草了除螨仪	让我想买除螨仪	ACCURATE			ACCURATE
8	P-NEO-1064	NEO	mined	oo	哦哦	UNCERTAIN	'oo'读作'哦哦'存疑(可能是颜文字), 且若是拼音应属 PYA 而非 NEO	INACCURATE	INACCURATE
9	P-MIX-0469	MIX	mined	JS	技术人员	UNCERTAIN	装机语境 JS 惯例=奸商(PYA), std 写'技术人员'疑误	INACCURATE	INACCURATE
10	P-MIX-0162	MIX	mined	pc端	电脑端	ACCURATE			ACCURATE
11	P-HOM-1551	HOM	injected	自鸡	自己	ACCURATE			ACCURATE
12	P-PYA-1511	PYA	injected	jzftdym	借着发帖的名义	INACCURATE	wrong-reading: 借着发帖的名义=jzftdmy, span 是 jzftdym(末两位倒置)		INACCURATE
13	P-PYA-0576	PYA	injected	tjl	太假了	ACCURATE			ACCURATE
14	P-MIX-0871	MIX	injected	open	开通	ACCURATE			ACCURATE
15	P-HOM-2358	HOM	mined	夯	香	ACCURATE			ACCURATE
16	P-PYA-0558	PYA	injected	xihuan	喜欢	UNCERTAIN	同6: xihuan 全拼, 类别待裁定	ACCURATE	ACCURATE
17	P-MIX-1202	MIX	injected	issue	问题	ACCURATE			ACCURATE
18	P-MIX-1591	MIX	injected	effort	努力了	UNCERTAIN	'我们effort'读作'我们努力了'语法勉强, 语义等价存疑	ACCURATE	ACCURATE
19	P-NEO-1279	NEO	mined	宝子们	大家	ACCURATE			ACCURATE
20	P-HOM-0733	HOM	mined	杯具	悲剧	ACCURATE			ACCURATE
21	P-HOM-0015	HOM	injected	新动	心动	ACCURATE			ACCURATE
22	P-MIX-0688	MIX	injected	filter	多放红油	INACCURATE	wrong-reading: filter 与'多放红油'毫无语义关联		INACCURATE
23	P-HOM-1364	HOM	injected	想布通	想不通	ACCURATE			ACCURATE
