pair	scope	metric	n	mean_hi	mean_lo	diff	ci_lo	ci_hi	p_boot
a2-a0	HOM	kiwi	123	71.15	63.30	7.85	5.32	10.15	0.0000
a2-a1	HOM	kiwi	123	71.15	72.28	-1.13	-3.11	0.70	0.2320
a3-a2	HOM	kiwi	123	73.38	71.15	2.23	0.64	3.99	0.0090
a4-a3	HOM	kiwi	123	73.85	73.38	0.47	-0.79	1.74	0.4640
a2-a0	PYA	kiwi	108	72.72	68.78	3.94	2.12	5.83	0.0000
a2-a1	PYA	kiwi	108	72.72	73.62	-0.89	-2.07	0.32	0.1460
a3-a2	PYA	kiwi	108	72.76	72.72	0.04	-1.17	1.33	1.0000
a4-a3	PYA	kiwi	108	72.44	72.76	-0.32	-1.83	1.14	0.6670
a2-a0	NEO	kiwi	117	72.71	66.39	6.31	4.34	8.51	0.0000
a2-a1	NEO	kiwi	117	72.71	72.39	0.32	-1.45	2.22	0.7370
a3-a2	NEO	kiwi	117	74.70	72.71	1.99	0.75	3.27	0.0000
a4-a3	NEO	kiwi	117	75.13	74.70	0.43	-1.09	2.06	0.5790
a2-a0	MIX	kiwi	144	75.10	72.19	2.90	1.53	4.27	0.0000
a2-a1	MIX	kiwi	144	75.10	76.05	-0.95	-2.07	0.13	0.0750
a3-a2	MIX	kiwi	144	75.56	75.10	0.46	-0.24	1.26	0.2040
a4-a3	MIX	kiwi	144	75.73	75.56	0.17	-0.96	1.33	0.7380
