pair	scope	metric	n	mean_hi	mean_lo	diff	ci_lo	ci_hi	p_boot
a2-a0	HOM	nta	17	23.53	11.76	11.76	0.00	29.41	0.2420
a2-a1	HOM	nta	17	23.53	23.53	0.00	0.00	0.00	1.0000
a3-a2	HOM	nta	17	35.29	23.53	11.76	0.00	29.41	0.2440
a4-a3	HOM	nta	17	70.59	35.29	35.29	11.76	58.82	0.0000
a2-a0	PYA	nta	15	33.33	33.33	0.00	-20.00	20.00	1.0000
a2-a1	PYA	nta	15	33.33	46.67	-13.33	-33.33	0.00	0.2480
a3-a2	PYA	nta	15	46.67	33.33	13.33	0.00	33.33	0.2480
a4-a3	PYA	nta	15	60.00	46.67	13.33	0.00	33.33	0.2390
a2-a0	NEO	nta	191	18.32	19.90	-1.57	-5.76	2.09	0.5300
a2-a1	NEO	nta	191	18.32	20.94	-2.62	-6.81	1.05	0.2470
a3-a2	NEO	nta	191	17.80	18.32	-0.52	-5.76	4.71	0.9400
a4-a3	NEO	nta	191	31.41	17.80	13.61	6.81	20.42	0.0000
a2-a0	MIX	nta	44	40.91	68.18	-27.27	-43.18	-13.64	0.0000
a2-a1	MIX	nta	44	40.91	47.73	-6.82	-15.91	2.27	0.2220
a3-a2	MIX	nta	44	40.91	40.91	0.00	-9.09	9.09	1.0000
a4-a3	MIX	nta	44	50.00	40.91	9.09	-6.82	25.00	0.3080
