uid	category	severity	reasons	src_noisy	hyp_noisy
A-NEO-082	NEO	64.37	xcomet/kiwi Δ disagree by 64.4	天天收藏，从未开始	I’ve never started collecting it.
A-NEO-007	NEO	54.78	xcomet/kiwi Δ disagree by 54.8	巴拉巴拉说的啥	What did Balabala say?
A-NEO-047	NEO	52.58	xcomet/kiwi Δ disagree by 52.6	瑶瑶公主，蹲蹲蹲蹲	Princess Yao Yao, squat, squat, squat, squat
A-NEO-020	NEO	36.60	xcomet/kiwi Δ disagree by 36.6	这个❤️是🐴扁	This ❤️ is a flat 🐴
A-NEO-041	NEO	29.33	xcomet/kiwi Δ disagree by 29.3; xcomet_noisy 90.2 but NTA miss	老师我也想要你	Teacher, I want you too.
A-NEO-063	NEO	29.23	xcomet/kiwi Δ disagree by 29.2	ruby蹲蹲	ruby squat squat
A-HOM-011	HOM	27.11	xcomet/kiwi Δ disagree by 27.1	啊啊啊啊啊豆儿康康我	Ah ah ah ah Dou Er Kang Kang, I
A-NEO-062	NEO	26.70	xcomet/kiwi Δ disagree by 26.7	蹲蹲拼320的	I’ll bet 320.
A-NEO-072	NEO	25.50	xcomet/kiwi Δ disagree by 25.5	什么刀子都有[doge]	There are all kinds of knives [doge]
A-NEO-199	NEO	25.43	xcomet/kiwi Δ disagree by 25.4	吉隆坡超级无敌避雷的点！	The super invincible lightning-proof spot in Kuala Lumpur!
A-HOM-014	HOM	25.24	xcomet/kiwi Δ disagree by 25.2	大鸡毛（大金毛）	Big chicken feather (big golden hair)
A-NEO-167	NEO	25.23	xcomet/kiwi Δ disagree by 25.2; xcomet_noisy 92.0 but NTA miss	减肥四个月真的换了一个人！逆袭	Losing weight for four months really changed me!
A-NEO-133	NEO	25.13	xcomet/kiwi Δ disagree by 25.1; xcomet_noisy 85.6 but NTA miss	今日份晒澳白珍珠戒指	Today’s Australian white pearl ring
A-MIX-025	MIX	24.90	xcomet/kiwi Δ disagree by 24.9	“我是ENTP”接下来，生成一朵关于它的花：	“I am ENTP”, and then generate a flower about it:
A-NEO-043	NEO	24.82	xcomet/kiwi Δ disagree by 24.8	敦门永恒！	Dunmen is eternal!
A-NEO-205	NEO	24.73	xcomet/kiwi Δ disagree by 24.7	梦女&追星女发的文案	Copywriting from a girl who dreams and chases stars
