uid	table	category	src_noisy	src_clean	ref_en	noise_span	noise_gold_en	noise_std	source_meta
B-HOM-001	B	HOM	酱紫也行？那我也试试	这样子也行？那我也试试	this works? then let me try too	酱紫	like this ‖ this way	这样子	kuaishou 2026-07-25
B-HOM-002	B	HOM	你怎么酱紫说话，人家会误会的	你怎么这样子说话，人家会误会的	why do you talk like that, people will misunderstand	酱紫	like this	这样子	kuaishou 2026-07-25
B-HOM-003	B	HOM	各位童鞋注意了，期末考试要来了	各位同学注意了，期末考试要来了	attention classmates, final exams are coming	童鞋	classmates	同学	kuaishou 2026-07-25
B-HOM-004	B	HOM	童鞋们帮我看看这道题怎么做	同学们帮我看看这道题怎么做	classmates help me figure out this problem	童鞋	classmates	同学	kuaishou 2026-07-25
B-HOM-005	B	HOM	我真的好稀饭这个博主，太搞笑了	我真的好喜欢这个博主，太搞笑了	I really like this creator, too funny	稀饭	like ‖ love	喜欢	kuaishou 2026-07-25
B-HOM-006	B	HOM	你是不是稀饭我？直说嘛	你是不是喜欢我？直说嘛	do you like me? just say it	稀饭	like	喜欢	kuaishou 2026-07-25
B-HOM-007	B	HOM	今天又是杯具的一天，出门忘带钥匙	今天又是悲剧的一天，出门忘带钥匙	another tragic day, forgot my keys going out	杯具	tragedy ‖ tragic	悲剧	kuaishou 2026-07-25
B-HOM-008	B	HOM	人生就是一个杯具接着一个杯具	人生就是一个悲剧接着一个悲剧	life is one tragedy after another	杯具	tragedy	悲剧	kuaishou 2026-07-25
B-HOM-009	B	HOM	游戏过于神金，不确定先从哪里笑起	游戏过于神经，不确定先从哪里笑起	this game is so unhinged, not sure where to start laughing	神金	unhinged ‖ crazy	神经	bilibili 2026-07-25
B-HOM-010	B	HOM	都说我做饭神金，今天就做神金给你们吃	都说我做饭神经，今天就做神经给你们吃	y'all say I'm crazy in the kitchen, so today I'm cooking crazy for you	神金	crazy ‖ nuts	神经	bilibili 2026-07-25
B-HOM-011	B	HOM	世界上最神金的行为	世界上最神经的行为	the most unhinged behavior in the world	神金	unhinged ‖ insane	神经	bilibili 2026-07-25
B-HOM-012	B	HOM	被这离谱的主播笑拥了	被这离谱的主播笑晕了	I'm dead from this absurd streamer	笑拥了	dying laughing ‖ I'm dead ‖ cracked me up	笑晕了	bilibili 2026-07-25
B-HOM-013	B	HOM	笑拥了！带货主播推荐的迷惑水果太离谱了吧	笑晕了！带货主播推荐的迷惑水果太离谱了吧	I’m dying laughing! Those weird fruits promoted by live stream sales hosts are ridiculous.	笑拥了	dying laughing	笑晕了	bilibili 2026-07-25
B-HOM-014	B	HOM	新来的00后程序员写的代码，看到这段注释真的快把我笑拥了	新来的00后程序员写的代码，看到这段注释真的快把我笑晕了	the new Gen Z programmer's code, seeing this comment almost killed me laughing	笑拥了	killed me laughing	笑晕了	bilibili 2026-07-25
B-HOM-016	B	NEO	考试没复习直接寄，明年再来	考试没复习直接完了，明年再来	didn't study for the exam, it's over, see you next year	寄	it's over ‖ I'm done	完了	bilibili 2026-07-25
B-HOM-018	B	HOM	火钳流明，这帖子要火	火前留名，这帖子要火	leaving a name before this blows up, this post is about to go viral	火钳流明	leaving a name before this blows up	火前留名	tieba 2026-07-25
B-HOM-019	B	HOM	雀食好笑，不骗你	确实好笑，不骗你	it's genuinely funny, no cap	雀食	genuinely ‖ for real	确实	weibo 2026-07-25
B-HOM-021	B	HOM	沃草，这无人机表演太震撼了	我操，这无人机表演太震撼了	holy crap, this drone show is insane	沃草	holy crap ‖ damn	我操	weibo 2026-07-25
B-HOM-023	B	HOM	你想peach呢，哪有这么好的事	你想屁吃呢，哪有这么好的事	you're dreaming, how can something that good happen	想peach	dreaming ‖ wishful thinking	想屁吃	weibo 2026-07-25
B-HOM-024	B	HOM	别虾扯蛋了，老师说的都是真的吗	别瞎扯淡了，老师说的都是真的吗	stop talking BS, is what the teacher said even true	虾扯蛋	talking BS ‖ nonsense	瞎扯淡	tieba 2026-07-25
B-HOM-025	B	HOM	先报上自己的分数啊搞辣菜	先报上自己的分数啊搞拉踩	dropping your score first before throwing shade smh	辣菜	throwing shade	拉踩	weibo 2026-07-23
B-HOM-026	B	HOM	蚌埠住了，腾讯这泄密处理速度也太快了吧	绷不住了，腾讯这泄密处理速度也太快了吧	I can't hold it in anymore, Tencent's speed in handling this leak is just too fast	蚌埠住了	can't hold it in ‖ can't keep it together	绷不住了	weibo 2026-07-24
B-HOM-027	B	HOM	嗷利给，西班牙第一了	奥利给，西班牙第一了	Aigoo Spain took first place let's gooo	嗷利给	let's go	奥利给	douyin 2026-07-23
B-HOM-028	B	HOM	这配置针不戳，性价比拉满	这配置真不错，性价比拉满	This setup slaps, value for money off the charts	针不戳	slaps	真不错	tieba 2026-07-23
B-HOM-029	B	HOM	赛里木湖这操作针不戳啊，景区打人还能辞退就完事了？	赛里木湖这操作真不错啊，景区打人还能辞退就完事了？	Sarim Lake's handling is just great, beating people at a scenic spot and just firing them is that it?	针不戳	just great ‖ really great ‖ not bad	真不错	weibo 2026-07-24
B-HOM-030	B	HOM	蚌埠住了，这也太好笑了吧	绷不住了，这也太好笑了吧	bruh I can't hold it in this is too funny lmao	蚌埠住了	can't hold it	绷不住了	bilibili 2026-07-23
B-HOM-031	B	HOM	卧槽317万年终奖就这么没了？	我操317万年终奖就这么没了？	Wtf, 3.17 million year-end bonus just gone like that?	卧槽	Wtf ‖ Holy shit ‖ Damn	我操	weibo 2026-07-24
B-HOM-032	B	HOM	你就耗子尾汁吧，别折腾了	你就好自为之吧，别折腾了	watch yourself bro stop messing around	耗子尾汁	take care of yourself	好自为之	tieba 2026-07-23
B-HOM-033	B	HOM	王虹这波属实深藏blue了，拿完奖还这么低调	王虹这波属实深藏不露了，拿完奖还这么低调	Wang Hong has truly been hiding her talents, so low-key after winning the award	深藏blue	hiding her talents ‖ keeping a low profile	深藏不露	weibo 2026-07-24
