uid	category	xcomet_noisy	xcomet_clean	xcomet_d	kiwi_noisy	kiwi_clean	kiwi_d	nta_noisy	nta_clean	nta_d	src_noisy	hyp_noisy	src_clean	hyp_clean	ref_en
A-HOM-001	HOM	64.83	76.03	11.21	44.26	59.04	14.78	0	0	0	广0王，我也是	Grandpa, I am also.	广陵王，我也是	Grandson of the Lingling Emperor, I am also.	Prince of Guangling, same here.
A-HOM-002	HOM	92.48	98.32	5.84	83.37	85.36	1.99	0	100	100	3Q 祝你新年快乐 🎊🐍	3Q Wishing you a happy new year 🎊🐍	谢谢 祝你新年快乐 🎊🐍	Thank you. Wishing you a happy new year 🎊🐍	Thanks! Happy New Year 🎊🐍
A-HOM-003	HOM	89.66	92.76	3.10	81.93	84.21	2.28	0	100	100	我的玛雅太美了	My Maya is beautiful.	我的妈呀太美了	Oh my god, she's so beautiful.	Oh my God, mine is so beautiful!
A-HOM-004	HOM	63.44	62.33	-1.11	61.37	60.96	-0.41	0	0	0	有顺风顺水顺财神的郝性头像吗？	Do you have an avatar of Hao Xing with good winds, water, and fortune gods?	有顺风顺水顺财神的郝姓头像吗？	Do you have an Xie surname head image with good wind, water, and wealth gods?	Does anyone have a profile picture with the surname Hao that brings smooth sailing and the God of Wealth?
A-HOM-005	HOM	91.38	92.39	1.01	76.45	73.73	-2.72	0	0	0	➗25家政 15洗衣  10洗车	÷25 housekeeping 15 laundry 10 car wash	出售25家政 15洗衣  10洗车	Sell 25 housekeeping, 15 laundry, 10 car washing	Selling: housekeeping 25, laundry 15, car wash 10.
A-HOM-006	HOM	77.70	94.87	17.17	71.14	64.70	-6.44	0	100	100	马牙，谢谢劳斯🥺❤️❤️❤️	Mata, thank you for your kindness 😊❤️❤️❤️	妈呀，谢谢老师🥺❤️❤️❤️	Oh my goodness, thank you老师🥺❤️❤️❤️	Oh my God, thank you, teacher 🥺❤️❤️❤️
A-HOM-007	HOM	73.38	91.41	18.03	70.21	76.43	6.22	0	100	100	似吧我不拦你	Seems I don't stop you.	死吧我不拦你	Die. I don't stop you.	Go die if you want—I won't stop you.
A-HOM-008	HOM	94.79	96.86	2.07	58.14	77.79	19.66	0	0	0	哈雷哈雷，欢迎欢迎热烈欢迎	Hello, welcome, warmly welcome.	你好你好，欢迎欢迎热烈欢迎	Hello, welcome, warmly welcome.	Hello, hello—a very warm welcome!
A-HOM-009	HOM	37.25	93.01	55.76	53.89	70.07	16.18	0	0	0	国际大厦比	International Tower is taller than	国际大傻逼	International idiot	A world-class dumbass.
A-HOM-010	HOM	76.62	78.37	1.75	57.18	66.42	9.25	0	0	0	啊啊啊啊给青兰ee吃	Oh oh oh oh, eat this, Qinglan.	啊啊啊啊给青兰阿姨吃	Oh oh oh oh, eat this, Grandma Qinglan.	Give Auntie Qinglan something to eat!
A-HOM-011	HOM	59.43	73.47	14.04	48.38	64.23	15.85	0	100	100	啊啊啊啊啊豆儿康康我	Oh oh oh oh oh, Doudou Kangkang I	啊啊啊啊啊豆儿看看我	Oh oh oh oh oh, look at me, bean.	Dou'er, take a look at me!!!
A-HOM-012	HOM	58.49	92.92	34.43	63.11	82.52	19.41	0	100	100	蟹蟹宝宝夸奖	Cute baby crab praises	谢谢宝宝夸奖	Thank you, baby, for your kind praise.	Thanks, babe, for the compliment.
A-HOM-013	HOM	87.53	100.00	12.47	85.58	86.58	1.00	0	100	100	啊！谢谢劳斯！	Oh! Thank you, Lous!	啊！谢谢老师！	Oh! Thank you, teacher!	Ah, thank you, teacher!
A-HOM-014	HOM	65.52	81.85	16.32	39.06	58.48	19.42	0	100	100	大鸡毛（大金毛）	Big Flock (Big Golden Flock)	大金毛（大金毛）	Big Golden Retriever (Big Golden Retriever)	A big golden retriever (a big golden retriever).
A-HOM-015	HOM	95.49	99.12	3.63	80.88	83.98	3.10	0	0	0	每个月不用给chatgpt交20刀了	You don't have to pay 20 yuan a month for ChatGPT.	每个月不用给chatgpt交20美元了	No longer need to pay $20 per month for ChatGPT.	Now I don’t have to pay ChatGPT $20 a month.
A-HOM-017	HOM	86.52	96.28	9.76	83.83	77.61	-6.22	0	0	0	这就是史	This is history.	这就是屎	That's excrement.	This is literally shit.
A-NEO-253	NEO	70.05	84.75	14.70	63.96	71.63	7.67	0	0	0	知道为什么他父母接受他是0还配合拍视频吗 原因竟是...	Why would he have his parents accept him and cooperate with filming if the reason was...	知道为什么他父母接受他是受还配合拍视频吗 原因竟是...	Why did his parents accept him and cooperate with filming? The reason is...	Do you know why his parents accept that he’s a bottom and even cooperate in making videos? The reason turns out to be...
A-HOM-019	HOM	73.49	75.03	1.54	68.18	71.23	3.05	100	100	0	固体香薰挂！！有7.8个香味都好特别 不是那种浓郁型的，挂在衣柜里淡淡的香灰常舒心！每次来小韩都要囤一堆！！！！	Solid essential oil diffuser!! There are 7.8 different scents that are really special. It's not a strong fragrance, it's a light, subtle woody scent that makes you feel calm and comfortable. Every time I visit Xiao Han, I always buy a bunch of them!!	固体香薰挂！！有7.8个香味都好特别 不是那种浓郁型的，挂在衣柜里淡淡的香非常舒心！每次来小韩都要囤一堆！！！！	Solid essential oil diffuser!! There are 7.8 different scents, all very special. It's not a strong fragrance, it's a light and pleasant scent that is very soothing. Every time I visit Xiao Han, I always buy a bunch of them!!	Solid fragrance hangers!! There are seven or eight scents, and every one is so unique. They’re not overpowering; hanging one in the wardrobe leaves a soft scent that feels incredibly soothing! I stock up on a bunch every time I visit Xiao Han!!!!
A-PYA-001	PYA	82.18	92.19	10.01	45.03	44.53	-0.50	0	0	0	小窗口dd你吧	Small window, dd you.	小窗口联系你吧	Call you soon.	I'll DM you.
A-PYA-002	PYA	69.71	86.90	17.19	83.07	80.55	-2.52	0	0	0	350 q安	350 qian	350 QQ安卓区	350 QQ Android zone	Offering ¥350 on the QQ Android server.
A-PYA-003	PYA	85.82	98.24	12.42	82.68	87.17	4.49	0	0	0	我喜欢你 CPDD	I like you CPDD.	我喜欢你 想和你谈恋爱	I like you. I want to get involved in a relationship with you.	I like you—want to date?
A-PYA-004	PYA	76.03	84.84	8.81	59.66	61.54	1.88	0	0	0	好可爱cpdd...	How cute the cpdd...	好可爱想找对象...	How cute it is to look for a partner...	So cute—looking for someone to date...
A-PYA-005	PYA	84.86	93.88	9.02	51.95	69.51	17.56	0	100	100	Chuan搭🔴⚪️红白配	Chuan pairs red and white.	穿搭🔴⚪️红白配	Red and white outfit 🔴⚪️	Outfit 🔴⚪️ red and white.
A-PYA-006	PYA	95.08	87.14	-7.94	61.02	73.54	12.52	0	0	0	xhs是得加个翻译功能了	It's necessary to add a translation function.	小红书是得加个翻译功能了	Little Red Book needs a translation function.	Xiaohongshu really needs to add a translation feature.
A-PYA-007	PYA	63.61	64.36	0.75	54.72	51.78	-2.94	100	100	0	愿逆风如解意，蛇年多挣RMB	May the wind turn back and understand, and in the Snake Year, I will strive to earn RMB.	愿逆风如解意，蛇年多挣人民币	May the wind turn back and understand, and in the Snake Year, I will earn RMB.	May even the headwinds understand your wishes, and may you make lots of RMB in the Year of the Snake.
A-PYA-008	PYA	74.27	73.55	-0.72	78.47	56.14	-22.32	100	0	-100	说 WOC 和 NB 欢迎来中国旅游和交朋友	WOC and NB are welcome to travel and make friends in China.	说 我操 和 NB 欢迎来中国旅游和交朋友	Say, I'm sorry and welcome to China to travel and make friends.	Just say “holy crap” and “awesome.” Welcome to China—come travel and make friends!
A-PYA-009	PYA	35.65	53.59	17.94	51.52	49.54	-1.99	100	100	0	还是得看对口白话 对口白话兄弟yyds	Still have to watch the spoken-word brothers, spoken-word brothers, yyds.	还是得看对口白话 对口白话兄弟永远的神	Still have to watch the colloquial whiteface. The colloquial whiteface brothers are forever the gods.	You’ve got to watch Duikou Baihua. The Duikou Baihua guys are the GOAT.
A-PYA-010	PYA	93.65	96.39	2.74	76.16	75.35	-0.81	0	0	0	一打开小红书发现变成国际版le	Opening Xiaohongshu, I found it had changed to the international version.	一打开小红书发现变成国际版了	Upon opening Xiaohongshu, it turned into an international version.	I opened Xiaohongshu and found it had turned into an international app.
A-PYA-011	PYA	52.11	79.37	27.25	47.34	54.48	7.14	0	0	0	💙15w左右女生建议入手的BBA二手车	About 15 weeks ago, female suggestions for BBA used car.	💙15万左右女生建议入手的BBA二手车	About 15,000 RMB, female suggestions for BBA used car purchases	💙 Recommended used BBA cars for women with a budget of around ¥150,000.
A-PYA-012	PYA	70.63	64.81	-5.82	58.43	46.97	-11.46	0	0	0	上次还有人说瘦的是P的 搞不懂根本搞不懂	Last time someone said that P was slim, but I don't understand why it's so confusing.	上次还有人说瘦的是修图的 搞不懂根本搞不懂	Last time, someone said that the person was slim, but I don't understand why they are so confused.	Last time someone even said the slim look was photoshopped. I don’t get it—seriously, I just don’t.
A-NEO-001	NEO	76.26	24.33	-51.93	44.07	47.93	3.86	0	0	0	中中中哦[doge]	Oh my goodness! 🐶	好好好哦[doge]	"Okay, let's tackle this translation. The user provided the sentence ""好好好哦[doge]"" and wants it translated into English. First, I need to understand the original text.

The phrase ""好好好哦"" is a Chinese expression. ""好"" is often used to mean ""good"" or ""okay,"" and ""好好"" is a common way to express ""very good"" or ""very okay."" The ""哦"" at the end is a common exclamation, similar to ""oh"" or ""okay."" So putting it together, ""好好好哦"" could be translated as ""Very good, very okay"" or ""Okay, okay"" in English. 

The ""[doge]"" part is a meme or a hashtag, often used to express a humorous or ironic reaction. In English, this is commonly translated as ""doge"" or ""doge"" as a direct reference. 

So combining these elements, the translation would be ""Okay, okay [doge]"" or ""Very good, very okay [doge]."" However, since the user wants only the translated result, I need to choose the most natural and commonly used translation. 

In many online contexts, ""Okay, okay [doge]"" is a direct and widely recognized way to express the sentiment. Therefore, the final translation would be ""Okay, okay [doge]."""	Okay, okay, okay [doge].
A-NEO-002	NEO	72.22	99.43	27.21	72.52	84.15	11.63	0	0	0	噗哈哈哈还是你6666	Ha ha ha! Or you 6666	噗哈哈哈还是你最厉害	Ha ha ha, you're still the best.	Pfft, hahaha—you're still the best!
A-NEO-003	NEO	90.85	89.76	-1.09	67.63	76.26	8.64	0	100	100	想到他们的“快乐水”	"Thinking of their ""Happy Water"""	想到他们的“可乐”	"Thinking of their ""Coca-Cola"""	Thinking about their so-called “happy water”—Coke.
A-NEO-004	NEO	56.10	74.60	18.50	47.76	35.46	-12.31	0	0	0	来了中中中	Here comes Zhongzhongzhong.	来了好好好	Come on, come on.	I'm here—okay, okay, okay!
A-NEO-005	NEO	59.06	90.36	31.29	54.82	54.58	-0.24	0	0	0	割肉？22年1.1买的，1.7算割肉吗	Cutting the meat? Bought it in January 2022, and 1.7 is considered a cut loss?	亏本卖出？22年1.1买的，1.7算亏本卖出吗	Is it selling at a discount? I bought it in January 2022, and is it considered a loss if sold in January 2023?	Selling at a loss? I bought it for 1.1 in 2022; does selling at 1.7 really count as taking a loss?
A-NEO-006	NEO	64.37	83.88	19.51	46.75	48.25	1.50	0	100	100	不在鱼上了吗	Not on the fish, right?	不在闲鱼上了吗	Is it on Xianyu?	Aren't you selling it on Xianyu anymore?
A-NEO-007	NEO	71.77	93.00	21.24	82.36	81.04	-1.32	0	0	0	巴拉巴拉说的啥	What is Balabala saying?	说了这么多，到底在说什么	So much said, what is the point?	After all that rambling, what are you even talking about?
