uid	category	severity	reasons	src_noisy	hyp_noisy
B-NEO-082	NEO	56.76	xcomet/kiwi Δ disagree by 56.8	爷青回	Nostalgia.
B-MIX-132	MIX	41.65	xcomet/kiwi Δ disagree by 41.6	天磊：what can I say	Tianlei: what can I say
B-PYA-054	PYA	39.78	xcomet/kiwi Δ disagree by 39.8; xcomet_noisy 83.6 but NTA miss	马到成功yyds	Instant success, forever the best.
B-HOM-111	HOM	38.64	xcomet/kiwi Δ disagree by 38.6	扳机歪了，前来还怨	The trigger was crooked, yet they still complained.
B-PYA-110	PYA	37.95	xcomet/kiwi Δ disagree by 37.9	万恶的zi ben jia	Evil capitalist.
B-PYA-074	PYA	35.82	xcomet/kiwi Δ disagree by 35.8; xcomet_noisy 82.8 but NTA miss	这个耳朵前后的颜色变化xswl	The color change around this ear is so funny.
B-HOM-051	HOM	35.70	xcomet/kiwi Δ disagree by 35.7; xcomet_noisy 89.7 but NTA miss	看完女排比赛我直接鸭梨山大	After watching the women's volleyball match, I felt a lot of pressure.
B-PYA-109	PYA	34.08	xcomet/kiwi Δ disagree by 34.1; xcomet_noisy 82.0 but NTA miss	拍了拍博士的石棺盖子hhhhh	Tapped on the lid of the doctor's coffin hhhhh
B-NEO-034	NEO	33.77	xcomet/kiwi Δ disagree by 33.8	梅老板今年真可怜，这么强的个人发挥啥没有得到	Boss Mei is really pitiful this year; despite such strong personal performance, he hasn't received anything.
B-PYA-050	PYA	31.97	xcomet/kiwi Δ disagree by 32.0; xcomet_noisy 91.6 but NTA miss	dd我一下	Message me.
B-HOM-044	HOM	31.69	xcomet/kiwi Δ disagree by 31.7; xcomet_noisy 92.8 but NTA miss	这个操作太虾仁了	This action is too cruel.
B-NEO-061	NEO	31.45	xcomet/kiwi Δ disagree by 31.5; xcomet_noisy 95.5 but NTA miss	他好会营业	He's really good at engaging with fans.
B-NEO-085	NEO	31.12	xcomet/kiwi Δ disagree by 31.1	你这肯定是低段位炸鱼罢了	You're definitely just low-level smurfing.
B-HOM-054	HOM	30.47	xcomet/kiwi Δ disagree by 30.5; xcomet_noisy 94.5 but NTA miss	窝巢，这也太厉害了吧	Wow, this is amazing!
B-HOM-030	HOM	30.02	xcomet/kiwi Δ disagree by 30.0	蚌埠住了，这也太好笑了吧	I can't hold it in, this is just too funny.
B-MIX-135	MIX	27.75	xcomet/kiwi Δ disagree by 27.8	抽me,please抽me	Draw me, please draw me.
B-NEO-017	NEO	27.60	xcomet/kiwi Δ disagree by 27.6	纯爱战神轰然倒地	The pure love war god fell to the ground with a crash.
B-PYA-060	PYA	27.56	xcomet/kiwi Δ disagree by 27.6	cpf又在磕了	CPF is at it again.
B-MIX-071	MIX	27.11	xcomet/kiwi Δ disagree by 27.1	法法这期ooc了吧	Fafa is out of character this time, right?
B-PYA-005	PYA	27.04	xcomet/kiwi Δ disagree by 27.0; xcomet_noisy 95.5 but NTA miss	看到别人去欧洲旅游的照片，xmsl	Seeing photos of others traveling to Europe, I'm so envious.
B-NEO-074	NEO	26.79	xcomet/kiwi Δ disagree by 26.8; xcomet_noisy 83.3 but NTA miss	这波操作直接拉胯了	This move was a complete failure.
B-NEO-055	NEO	26.54	xcomet/kiwi Δ disagree by 26.5	拔草了不买	Decided not to buy it.
B-NEO-052	NEO	26.47	xcomet/kiwi Δ disagree by 26.5	无职孝子还在嘴硬洗，服了	The unemployed filial son is still stubbornly making excuses, I'm impressed.
B-HOM-110	HOM	26.29	xcomet/kiwi Δ disagree by 26.3	预计会火，火钳刘明	Expected to become popular, saving a spot to witness it.
B-PYA-055	PYA	26.21	xcomet/kiwi Δ disagree by 26.2	这操作nb啊，大佬带带我	This move is awesome, please guide me, master.
B-HOM-019	HOM	26.15	xcomet/kiwi Δ disagree by 26.1; xcomet_noisy 92.8 but NTA miss	雀食好笑，不骗你	Really funny, not kidding you.
B-NEO-054	NEO	26.10	xcomet/kiwi Δ disagree by 26.1	被种草了	Got influenced to like something.
B-HOM-034	HOM	25.99	xcomet/kiwi Δ disagree by 26.0	蚌埠住了这也太搞笑了	I can't hold it in, this is too funny.
B-HOM-071	HOM	25.31	xcomet/kiwi Δ disagree by 25.3	要泥寡,雨女无瓜!	It's none of your business!
B-HOM-018	HOM	25.26	xcomet/kiwi Δ disagree by 25.3	火钳流明，这帖子要火	This post is going to be popular.
B-HOM-038	HOM	24.96	xcomet/kiwi Δ disagree by 25.0; xcomet_noisy 99.1 but NTA miss	这个颜色灰常好看	This color looks very nice.
B-PYA-039	PYA	24.70	xcomet/kiwi Δ disagree by 24.7; xcomet_noisy 96.6 but NTA miss	bdjw这个怎么用	How do you use this?
B-NEO-010	NEO	24.31	xcomet/kiwi Δ disagree by 24.3; xcomet_noisy 96.1 but NTA miss	选择你的躲藏点，被抓到就芭比Q了	Choose your hiding spot, if you're caught, it's game over.
B-PYA-077	PYA	24.23	xcomet/kiwi Δ disagree by 24.2; xcomet_noisy 94.4 but NTA miss	哈哈哈哈哈xswl	Hahaha, laughing to death.
B-MIX-018	MIX	24.09	xcomet/kiwi Δ disagree by 24.1	这个行为好sus，不对劲	This behavior is really sus, something's off.
B-NEO-084	NEO	24.06	xcomet/kiwi Δ disagree by 24.1; xcomet_noisy 91.9 but NTA miss	基操	Basic operation
B-NEO-051	NEO	24.04	xcomet/kiwi Δ disagree by 24.0; xcomet_noisy 93.4 but NTA miss	互联网嘴替实锤	The internet mouthpiece is confirmed.
B-HOM-060	HOM	23.91	xcomet/kiwi Δ disagree by 23.9	可爱的小香猪变成了温暖的答辩	The adorable little piglet turned into a warm defense.
B-MIX-051	MIX	23.43	xcomet/kiwi Δ disagree by 23.4	被nerf了，变弱了	Got nerfed, became weaker.
B-MIX-093	MIX	23.28	xcomet/kiwi Δ disagree by 23.3	不会侵蚀后全是boss吧	After the erosion, it's all bosses, right?
B-PYA-044	PYA	22.87	xcomet/kiwi Δ disagree by 22.9	u1s1，这个视频做得真好	To be honest, this video is really well made.
B-MIX-087	MIX	22.79	xcomet/kiwi Δ disagree by 22.8	发现没火的作者belike	The author who found no fire be like
B-MIX-105	MIX	22.71	xcomet/kiwi Δ disagree by 22.7; xcomet_noisy 96.2 but NTA miss	回答我，鸟为什么会飞？ Look at my eye, tell me why!	Answer me, why do birds fly?
B-PYA-022	PYA	22.69	xcomet/kiwi Δ disagree by 22.7; xcomet_noisy 81.9 but NTA miss	白色真是yyds	White is truly eternal.
B-MIX-039	MIX	22.42	xcomet/kiwi Δ disagree by 22.4	这个GMV变高了	The GMV has increased.
B-NEO-036	NEO	22.39	xcomet/kiwi Δ disagree by 22.4; xcomet_noisy 87.3 but NTA miss	别搁这凡尔赛了，显摆啥呢	Stop showing off and being pretentious. What are you trying to flaunt?
B-NEO-071	NEO	22.37	xcomet/kiwi Δ disagree by 22.4	内卷到头秃，躺平又心慌	Stressed to the point of hair loss, yet anxious about doing nothing.
B-HOM-008	HOM	22.34	xcomet/kiwi Δ disagree by 22.3	人生就是一个杯具接着一个杯具	Life is just one tragedy after another.
B-MIX-009	MIX	22.32	xcomet/kiwi Δ disagree by 22.3; xcomet_noisy 84.1 but NTA miss	王虹这波演讲直接slay	Wang Hong's speech was a total slay.
B-PYA-016	PYA	22.30	xcomet/kiwi Δ disagree by 22.3	xswl，陈哲远在密逃里也太搞笑了吧	"LOL, Chen Zheyuan is so funny in ""Great Escape""!"
B-HOM-118	HOM	22.25	xcomet/kiwi Δ disagree by 22.2; xcomet_noisy 96.7 but NTA miss	雾草这幕太美了	Wow, this scene is so beautiful.
