uid	category	severity	reasons	src_noisy	hyp_noisy
B-HOM-110	HOM	52.32	xcomet/kiwi Δ disagree by 52.3	预计会火，火钳刘明	It is expected to be a hit, and the fire tongs are Liu Ming.
B-MIX-132	MIX	41.65	xcomet/kiwi Δ disagree by 41.6	天磊：what can I say	Tianlei: what can I say
B-NEO-074	NEO	41.20	xcomet/kiwi Δ disagree by 41.2; xcomet_noisy 87.5 but NTA miss	这波操作直接拉胯了	This wave of operations was a complete failure.
B-PYA-078	PYA	38.94	xcomet/kiwi Δ disagree by 38.9	真的栓Q了家人们	It really made my family members hooked.
B-PYA-022	PYA	33.24	xcomet/kiwi Δ disagree by 33.2; xcomet_noisy 85.5 but NTA miss	白色真是yyds	White is really yyds.
B-HOM-044	HOM	32.92	xcomet/kiwi Δ disagree by 32.9; xcomet_noisy 84.6 but NTA miss	这个操作太虾仁了	This operation is too much.
B-HOM-121	HOM	32.62	xcomet/kiwi Δ disagree by 32.6	年轻人不讲武德！耗子尾汁	Young people have no chivalry! Rat tail soup
B-MIX-105	MIX	32.17	xcomet/kiwi Δ disagree by 32.2	回答我，鸟为什么会飞？ Look at my eye, tell me why!	Answer me, why do birds fly? Look at my eye, tell me why!
B-HOM-071	HOM	30.78	xcomet/kiwi Δ disagree by 30.8	要泥寡,雨女无瓜!	If you want mud, you will get it, and if you want rain, you will get it!
B-HOM-081	HOM	29.27	xcomet/kiwi Δ disagree by 29.3	tree 波Q	tree Bo Q
B-MIX-039	MIX	28.91	xcomet/kiwi Δ disagree by 28.9	这个GMV变高了	The GMV has increased.
B-PYA-050	PYA	28.53	xcomet/kiwi Δ disagree by 28.5; xcomet_noisy 91.2 but NTA miss	dd我一下	dd me.
B-HOM-035	HOM	26.82	xcomet/kiwi Δ disagree by 26.8; xcomet_noisy 85.1 but NTA miss	看到50亿离婚案的消息我直接蓝瘦香菇	I was shocked when I saw the news of the 5 billion divorce case.
B-HOM-090	HOM	26.59	xcomet/kiwi Δ disagree by 26.6	香精煎鱼食不食	Do you eat fish cooked with flavorings?
B-HOM-008	HOM	26.35	xcomet/kiwi Δ disagree by 26.4	人生就是一个杯具接着一个杯具	Life is a series of tragedies.
B-NEO-049	NEO	25.46	xcomet/kiwi Δ disagree by 25.5	这主播开挂实锤了，封号吧	This anchor is cheating, ban him.
B-NEO-034	NEO	25.09	xcomet/kiwi Δ disagree by 25.1	梅老板今年真可怜，这么强的个人发挥啥没有得到	Boss Mei is really pitiful this year, such a strong personal performance and nothing was gained.
B-PYA-011	PYA	25.05	xcomet/kiwi Δ disagree by 25.0; xcomet_noisy 88.5 but NTA miss	jrm帮我看看这个怎么选	jrm, help me see how to choose this.
