uid	category	severity	reasons	src_noisy	hyp_noisy
A-HOM-009	HOM	38.24	xcomet/kiwi Δ disagree by 38.2	国际大厦比	International Mansion is taller than
A-NEO-046	NEO	37.78	xcomet/kiwi Δ disagree by 37.8	接接接 借你吉言	Hello hello hello, I'll take your good omen.
A-NEO-004	NEO	36.03	xcomet/kiwi Δ disagree by 36.0	来了中中中	Come on, Zhong Zhong Zhong
A-NEO-018	NEO	34.60	xcomet/kiwi Δ disagree by 34.6	老六，666	Old Six, 666
A-NEO-140	NEO	34.12	xcomet/kiwi Δ disagree by 34.1	这种健身又健脑的地方真的是牛马周末顶配	This fitness and brain-boosting place is really the top choice for oxen and horses on weekends.
A-NEO-162	NEO	33.85	xcomet/kiwi Δ disagree by 33.9	我的病娇猫，爱得太沉重。	My yandere cat, loves too heavily.
A-NEO-006	NEO	30.14	xcomet/kiwi Δ disagree by 30.1	不在鱼上了吗	Not going to the fish market anymore?
A-NEO-108	NEO	29.53	xcomet/kiwi Δ disagree by 29.5; xcomet_noisy 80.4 but NTA miss	又要威又要带头盔就是这种	Wanting both style and a helmet is exactly this kind of thing.
A-NEO-072	NEO	28.45	xcomet/kiwi Δ disagree by 28.5	什么刀子都有[doge]	There are all kinds of knives [doge]
A-PYA-002	PYA	27.80	xcomet/kiwi Δ disagree by 27.8	350 q安	350 qAn
A-HOM-011	HOM	26.42	xcomet/kiwi Δ disagree by 26.4	啊啊啊啊啊豆儿康康我	Ah ah ah ah ah Bean Kang Kang me
A-MIX-027	MIX	26.09	xcomet/kiwi Δ disagree by 26.1	像ins偷了喧嚣的毛	Like ins stole the fur of the noisy one.
A-NEO-233	NEO	25.22	xcomet/kiwi Δ disagree by 25.2	吃瓜吃到自己身上……	Eating melon until it comes to oneself...
A-NEO-009	NEO	24.95	xcomet/kiwi Δ disagree by 24.9	交?已关[doge]	Delivery? Already closed [doge]
A-MIX-025	MIX	23.11	xcomet/kiwi Δ disagree by 23.1	“我是ENTP”接下来，生成一朵关于它的花：	"""I am an ENTP."" Next, generate a flower about it:"
A-HOM-014	HOM	22.55	xcomet/kiwi Δ disagree by 22.6	大鸡毛（大金毛）	Big Fluffy (Big Golden Retriever)
A-NEO-069	NEO	22.51	xcomet/kiwi Δ disagree by 22.5	我！要！原！图！关啦	I want the original picture! Turn it off!
A-HOM-008	HOM	22.33	xcomet/kiwi Δ disagree by 22.3; xcomet_noisy 80.1 but NTA miss	哈雷哈雷，欢迎欢迎热烈欢迎	Hale Hale, welcome, welcome, warm welcome
A-NEO-148	NEO	21.78	xcomet/kiwi Δ disagree by 21.8	老夫子周边🥹	Old Master Q's merchandise 🥹
A-HOM-017	HOM	21.60	xcomet/kiwi Δ disagree by 21.6; xcomet_noisy 81.9 but NTA miss	这就是史	This is the history.
A-NEO-047	NEO	21.53	xcomet/kiwi Δ disagree by 21.5	瑶瑶公主，蹲蹲蹲蹲	Princess Yao Yao, squat, squat, squat
A-NEO-104	NEO	21.50	xcomet/kiwi Δ disagree by 21.5; xcomet_noisy 93.4 but NTA miss	导航有的时候真的太坑了，没开过真的会很害怕	Navigation can sometimes be really misleading; if you've never used it before, you can get really scared.
A-NEO-082	NEO	21.13	xcomet/kiwi Δ disagree by 21.1; xcomet_noisy 82.6 but NTA miss	天天收藏，从未开始	Collect every day, never start.
A-NEO-103	NEO	20.78	xcomet/kiwi Δ disagree by 20.8	网友的成功让人宫寒	The success of netizens makes the palace cold.
A-NEO-044	NEO	20.76	xcomet/kiwi Δ disagree by 20.8	瓜哥三分爆头	Watermelon Brother's three-pointer bullseye
A-MIX-002	MIX	20.43	xcomet/kiwi Δ disagree by 20.4; xcomet_noisy 80.3 but NTA miss	图fine秒mine[doge]	Picture fine second mine [doge]
A-NEO-016	NEO	20.27	xcomet/kiwi Δ disagree by 20.3	3.0下配套的限时常驻自选池子呀	The 3.0 version comes with a permanent optional pool of limited-time characters.
A-NEO-090	NEO	20.01	xcomet/kiwi Δ disagree by 20.0; xcomet_noisy 95.2 but NTA miss	永远抄底	Always buy at the bottom
A-NEO-023	NEO	19.27	xcomet_noisy 89.5 but NTA miss	耳朵动起来好可爱啊QQ弹弹	Her ears moving are so cute and squishy! QQ
A-NEO-161	NEO	19.27	xcomet_noisy 89.8 but NTA miss	MBTI各种眼神杀！你能接得住？	MBTI various eye-killer glances! Can you handle them?
A-NEO-168	NEO	18.00	xcomet_noisy 96.7 but NTA miss	老外已经在学习中国话这个事情上 卷起来了	Foreigners have already started to get really competitive in learning Chinese.
A-NEO-025	NEO	14.06	xcomet_noisy 87.3 but NTA miss	无盒200出	200 out of box
A-NEO-145	NEO	13.52	xcomet_noisy 94.8 but NTA miss	这个建构我是真整不了一点	I really can't handle this construction at all.
A-NEO-008	NEO	13.04	xcomet_noisy 88.2 but NTA miss	这是老广啊	This is the old Guangzhou style.
A-NEO-067	NEO	12.56	xcomet_noisy 82.8 but NTA miss	包姜晓的呀[doge]	It's Bao Jiangxiao's [doge]
A-NEO-003	NEO	12.07	xcomet_noisy 92.5 but NTA miss	想到他们的“快乐水”	"Thinking about their ""happy water"""
A-NEO-128	NEO	12.05	xcomet_noisy 93.0 but NTA miss	幸福到冒泡🫧	Happy enough to bubble over 🫧
A-NEO-113	NEO	11.96	xcomet_noisy 93.9 but NTA miss	需要我#互关吗，兄弟	Do you need me to follow you back, bro?
A-NEO-207	NEO	11.85	xcomet_noisy 92.5 but NTA miss	🇺🇸留子自制巴斯克大成功！	American student's homemade Basque cheesecake is a big success!
A-NEO-119	NEO	11.52	xcomet_noisy 92.6 but NTA miss	🔥这个神器有点东西啊❗️	🔥This magical tool is something else!❗️
A-NEO-032	NEO	11.44	xcomet_noisy 90.2 but NTA miss	雀魂 和 for the king+1	Mahjong Soul and for the King+1
A-NEO-126	NEO	11.23	xcomet_noisy 97.3 but NTA miss	大连最适合浪费生命的地方……	The best place in Dalian to waste time...
A-NEO-194	NEO	10.93	xcomet_noisy 93.1 but NTA miss	吉隆坡新晋网红餐厅•不得不试	New Popular Restaurant in Kuala Lumpur • A Must-Try
A-NEO-055	NEO	10.03	xcomet_noisy 84.8 but NTA miss	！蹲蹲！	Sit!
A-NEO-188	NEO	9.71	xcomet_noisy 88.4 but NTA miss	独居一人食🍓抹茶草莓牛乳和草莓三明治！	Solo dining for one 🍓 Matcha strawberry milk and strawberry sandwich!
A-NEO-039	NEO	9.01	xcomet_noisy 86.2 but NTA miss	卷成这样了	It's gotten so bad.
A-PYA-005	PYA	8.91	xcomet_noisy 81.3 but NTA miss	Chuan搭🔴⚪️红白配	Chuan's red and white combo 🟥⚪️
A-MIX-056	MIX	8.58	xcomet_noisy 94.3 but NTA miss	想看看大家的iwatch表盘！	Want to see everyone's iWatch watch faces!
A-PYA-014	PYA	8.38	xcomet_noisy 81.0 but NTA miss	a萍五官挺好的	Ping's facial features are quite good.
A-NEO-002	NEO	8.30	xcomet_noisy 96.1 but NTA miss	噗哈哈哈还是你6666	Hahaha, you're still the best!
A-PYA-004	PYA	8.00	xcomet_noisy 94.8 but NTA miss	好可爱cpdd...	So cute CPDD...
A-NEO-253	NEO	7.99	xcomet_noisy 82.6 but NTA miss	知道为什么他父母接受他是0还配合拍视频吗 原因竟是...	Do you know why his parents accepted him as 0 and even cooperated in making the video? The reason is...
A-HOM-007	HOM	7.99	xcomet_noisy 89.9 but NTA miss	似吧我不拦你	Maybe, but I won't stop you.
A-NEO-056	NEO	6.74	xcomet_noisy 80.6 but NTA miss	②没了哦，其他私	② Gone, private messages only
A-MIX-009	MIX	6.68	xcomet_noisy 83.3 but NTA miss	le｜我的故事是双女主	The story is dual female protagonists.
A-NEO-035	NEO	6.45	xcomet_noisy 85.2 but NTA miss	蹲蹲，南南新年快乐	Dudun, Happy New Year, Nannan!
A-NEO-036	NEO	6.28	xcomet_noisy 81.6 but NTA miss	蹲蹲，好可爱啊	Cutie, so adorable!
A-NEO-037	NEO	6.10	xcomet_noisy 100.0 but NTA miss	我去，这个帅啊	Wow, this is so cool.
A-NEO-065	NEO	6.10	xcomet_noisy 88.1 but NTA miss	19配 35/1	19 for 35/1
A-MIX-018	MIX	6.06	xcomet_noisy 89.8 but NTA miss	𝙡𝙞𝙫𝙚清清爽爽的幸福瞬间🐚🌾🍄‍🟫	Live in fresh and happy moments 🐚🌾🍄‍🟫
A-NEO-042	NEO	6.01	xcomet_noisy 82.8 but NTA miss	第二捏~欢迎欢迎	Second pinch~ Welcome welcome
A-HOM-005	HOM	5.74	xcomet_noisy 87.9 but NTA miss	➗25家政 15洗衣  10洗车	25 Housekeeping 15 Laundry 10 Car Wash
A-NEO-041	NEO	5.61	xcomet_noisy 89.5 but NTA miss	老师我也想要你	Teacher, I also want you.
A-NEO-209	NEO	5.51	xcomet_noisy 92.4 but NTA miss	在福州！找到了千与千寻同款汤屋！！	In Fuzhou! Found the same bathhouse as in Spirited Away!!
A-HOM-010	HOM	5.51	xcomet_noisy 82.0 but NTA miss	啊啊啊啊给青兰ee吃	Ah ah ah ah, give Qinglan ee to eat
A-NEO-007	NEO	5.37	xcomet_noisy 84.8 but NTA miss	巴拉巴拉说的啥	What is Balalala talking about?
A-HOM-003	HOM	5.21	xcomet_noisy 90.0 but NTA miss	我的玛雅太美了	My Maya is too beautiful.
A-NEO-171	NEO	5.08	xcomet_noisy 97.0 but NTA miss	‼️日本大阪USJ环球影城大攻略	Ultimate Guide to Universal Studios Japan in Osaka, Japan
A-NEO-142	NEO	4.97	xcomet_noisy 83.2 but NTA miss	2025年🌟属于春节的氛围感美甲💅	2025 🌟 Chinese New Year Atmosphere Nails 💅
A-NEO-210	NEO	4.95	xcomet_noisy 82.4 but NTA miss	2024🇹🇭曼谷米其林摘星🌟之旅全攻略	2024 🇹🇭 Bangkok Michelin Star Gazing 🌟 Travel Guide
A-NEO-143	NEO	4.89	xcomet_noisy 98.1 but NTA miss	我发现跳舞可以旺自己！！！	I found that dancing can boost my luck!!!
A-HOM-004	HOM	4.89	xcomet_noisy 88.7 but NTA miss	有顺风顺水顺财神的郝性头像吗？	Are there any Hao surname avatars that symbolize smooth sailing, good fortune, and prosperity?
A-NEO-156	NEO	4.51	xcomet_noisy 82.6 but NTA miss	张艺兴太旺了 福星啊	Honey, Zhang Yixing is so lucky! He's a lucky star!
A-NEO-029	NEO	4.24	xcomet_noisy 85.2 but NTA miss	已私，求图，谢谢	Private, please send the picture, thank you
A-NEO-163	NEO	4.04	xcomet_noisy 97.4 but NTA miss	鼓励你逆光上岸的励志文案	Inspirational words encouraging you to persevere and succeed against all odds.
A-PYA-015	PYA	3.94	xcomet_noisy 81.5 but NTA miss	已关注qiu fen xiang	Already followed qiu feng xiang
A-NEO-147	NEO	3.92	xcomet_noisy 89.6 but NTA miss	做出了人生鸡小胸｜真的太嫩了🥹减脂绝佳	Made the best chicken breast of my life | It's really so tender 🥹 perfect for weight loss
A-NEO-109	NEO	3.88	xcomet_noisy 83.5 but NTA miss	总发愁自己没客子，不知道怎么起号的可以戳戳我	Always worried about not having followers? If you don't know how to come up with a nickname, feel free to message me.
A-NEO-149	NEO	3.83	xcomet_noisy 90.5 but NTA miss	曼谷外卖别把我好吃晕了…	Don't make me faint from deliciousness with the Bangkok food delivery...
A-NEO-176	NEO	3.81	xcomet_noisy 87.7 but NTA miss	哭死❗️后悔没早点看到这篇马来西亚攻略🙏	Cry until death❗️ Regret not seeing this Malaysia travel guide earlier 🙏
A-NEO-085	NEO	3.51	xcomet_noisy 92.1 but NTA miss	这台词……放到某些作品里也不会有违和感吧	This line... wouldn't feel out of place in some works, right?
A-NEO-026	NEO	3.49	xcomet_noisy 89.2 but NTA miss	接出血停止，积血消失，宝宝健康平安出生。	Bleeding stopped, the accumulated blood disappeared, and the baby was born healthy and safely.
A-NEO-191	NEO	3.38	xcomet_noisy 92.8 but NTA miss	泉州探店｜好評多多的韓國料理店	Quanzhou restaurant exploration | A Korean restaurant with great reviews
A-NEO-070	NEO	3.28	xcomet_noisy 95.6 but NTA miss	蹲一下🐍	Crouch down 🐍
A-NEO-127	NEO	3.28	xcomet_noisy 93.0 but NTA miss	巴塞罗那🇪🇸打折村出行指南	Barcelona 🇪🇸 Outlet Travel Guide
A-NEO-169	NEO	3.27	xcomet_noisy 88.4 but NTA miss	🇯🇵 京都美食攻略 不踩雷 😋！	Kyoto Food Guide - No Landmines 😋!
A-NEO-153	NEO	3.23	xcomet_noisy 89.9 but NTA miss	以前画的黑暗欺骗同人图	Previously drawn dark deceptive doujinshi artwork
A-NEO-193	NEO	3.19	xcomet_noisy 93.1 but NTA miss	全国首家｜Kangaroo🦘落地杭州！！！	First in the country | Kangaroo🦘 lands in Hangzhou!!!
A-NEO-038	NEO	3.00	xcomet_noisy 85.8 but NTA miss	你是手控吗？	Are you into hand control?
A-NEO-189	NEO	2.99	xcomet_noisy 91.0 but NTA miss	哥哥上线后，一登陆两眼一黑……	After my older brother logged on, he got a black screen as soon as he logged in...
A-NEO-181	NEO	2.89	xcomet_noisy 96.5 but NTA miss	Costco 是懂华人节日需求的	Costco understands the needs of Chinese festivals.
A-NEO-243	NEO	2.87	xcomet_noisy 84.9 but NTA miss	约好在莱山上海滩附近贸易，当打开酒盖后，整个人麻了。怎么办？	We had agreed to do business near Lai Shan, Shanghai. When I opened the wine cap, I was completely stunned. What should I do?
A-NEO-132	NEO	2.75	xcomet_noisy 91.5 but NTA miss	零基础乍到书法新手村 我什么时候可以大成	Starting from zero, I've just arrived at the Calligraphy Newbie Village. When can I achieve mastery?
A-NEO-240	NEO	2.64	xcomet_noisy 90.4 but NTA miss	怎么伦敦地铁也开始上演“春运现场”了，乌泱泱一大片人群！	How come the London Underground has also turned into a Spring Festival travel rush scene, with a sea of people!
A-HOM-002	HOM	2.59	xcomet_noisy 96.8 but NTA miss	3Q 祝你新年快乐 🎊🐍	3Q wishes you a Happy New Year 🎊🐍
A-NEO-107	NEO	2.27	xcomet_noisy 82.3 but NTA miss	原版在主页这条视频的上一条，淡淡人机感也是被姚润昊拿捏了	The original version is the previous video on the homepage; the subtle human-machine feel is also captured by Yao Runhao.
A-MIX-030	MIX	1.99	xcomet_noisy 99.5 but NTA miss	可以做天文介紹的視頻，或是 #ufo外星人 相關的視頻	You can make videos introducing astronomy, or videos related to #UFOs and aliens.
A-NEO-196	NEO	1.78	xcomet_noisy 96.4 but NTA miss	🇬🇧伦敦好吃的漂亮饭	Delicious and beautiful meals in London 🇬🇧
A-HOM-015	HOM	1.73	xcomet_noisy 97.3 but NTA miss	每个月不用给chatgpt交20刀了	No need to pay $20 to ChatGPT every month anymore.
A-NEO-144	NEO	1.50	xcomet_noisy 90.1 but NTA miss	上海洛杉矶Long haul flight 带娃探险记	Shanghai to Los Angeles: A Long-haul Flight Adventure with Kids
A-HOM-013	HOM	1.41	xcomet_noisy 85.8 but NTA miss	啊！谢谢劳斯！	Ah! Thank you, Lao Si!
A-PYA-010	PYA	1.41	xcomet_noisy 96.8 but NTA miss	一打开小红书发现变成国际版le	When I opened Xiaohongshu, it turned into the international version.
A-NEO-238	NEO	1.40	xcomet_noisy 92.7 but NTA miss	发尾乱乱的有点二次元感	The ends of the hair are messy, giving a bit of a 2D/anime feel.
